code_tm,nom_competition,pays,type,tier,connue_dans_master,n_ligues_sources,n_joueurs_total,sources
FS,International Friendlies,Angleterre,league,,non,57,17826,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;LUX1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;COL1;PR1A;CLPD;EC1N;BRA2;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
ECLQ,UEFA Conference League Qualifiers,,cup,,non,57,6194,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;LUX1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;COL1;PR1A;CLPD;EC1N;BRA2;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
EL,UEFA Europa League,,cup,,non,57,6190,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;LUX1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;COL1;PR1A;CLPD;EC1N;BRA2;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
U21Q,UEFA European Under-21 Championship Qualifying,Belgique U21,cup,,non,52,6090,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;LUX1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
U19Q,UEFA EURO U19 Championship Qualifiers,France U19,cup,,non,54,6031,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;LUX1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;COL1;BRA2;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
ELQ,UEFA Europa League Qualifying,,cup,,non,57,5956,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;LUX1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;COL1;PR1A;CLPD;EC1N;BRA2;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
U17Q,UEFA European Under-17 Championship qualification,Turquie U17,cup,,non,52,4699,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;LUX1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
CL,UEFA Champions League,,cup,,non,55,4562,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;AZ1;MAL1;ISR1;LUX1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;COL1;PR1A;CLPD;EC1N;BRA2;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
CLQ,UEFA Champions League Qualifying,,cup,,non,57,4504,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;LUX1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;COL1;PR1A;CLPD;EC1N;BRA2;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
FAC,FA Cup,Angleterre,cup,,non,55,3920,L1;ES1;GB1;IT1;FR1;NL1;PO1;BE1;TR1;GR1;SC1;RU1;UKR1;DK1;A1;C1;PL1;SE1;NO1;TS1;KR1;SER1;RO1;IS1;IR1;EST1;AZ1;MAL1;ISR1;WAL1;SLO1;GB2;IT2;ES2;FR2;L2;GB3;FR3;L3;BRA1;ARG1;MLS1;MEX1;COL1;PR1A;CLPD;BRA2;SA1;JAP1;RSK1;AUS1;CSL;MAR1;ALG1;SFA1
