pays_fr,iso_alpha3,iso_alpha2,code_fifa,a_ligue,a_selection,nb_ligues,codes_tm_ligues,code_tm_selection,couverture
Albanie,ALB,AL,ALB,oui,non,1,AL1,,league_only
Argentine,ARG,AR,ARG,oui,oui,1,ARG1,ARG,both
Australie,AUS,AU,AUS,oui,oui,1,AUS1,AUS,both
Autriche,AUT,AT,AUT,oui,oui,1,A1,AUT,both
Azerbaïdjan,AZE,AZ,AZE,oui,non,1,AZ1,,league_only
Belgique,BEL,BE,BEL,oui,oui,1,BE1,BEL,both
Bulgarie,BGR,BG,BUL,oui,non,1,BG1,,league_only
Bosnie-Herzégovine,BIH,BA,BIH,oui,non,1,BH1,,league_only
Bolivie,BOL,BO,BOL,non,oui,0,,BOL,national_only
Brésil,BRA,BR,BRA,oui,oui,2,BRA1;BRA2,BRA,both
Canada,CAN,CA,CAN,non,oui,0,,CAN,national_only
Suisse,CHE,CH,SUI,oui,oui,1,C1,SUI,both
Chili,CHL,CL,CHI,oui,non,1,CLPD,,league_only
Chine,CHN,CN,CHN,oui,non,1,CSL,,league_only
Côte d'Ivoire,CIV,CI,CIV,non,oui,0,,CIV,national_only
Colombie,COL,CO,COL,oui,oui,1,COL1,COL,both
Costa Rica,CRI,CR,CRC,non,oui,0,,CRC,national_only
Chypre,CYP,CY,CYP,oui,non,1,CY1,,league_only
Tchéquie,CZE,CZ,CZE,oui,non,1,TS1,,league_only
Allemagne,DEU,DE,GER,oui,oui,3,L1;L2;L3,GER,both
Danemark,DNK,DK,DEN,oui,oui,1,DK1,DEN,both
Algérie,DZA,DZ,ALG,oui,oui,1,ALG1,ALG,both
Équateur,ECU,EC,ECU,oui,oui,1,EC1N,ECU,both
Égypte,EGY,EG,EGY,non,oui,0,,EGY,national_only
Espagne,ESP,ES,ESP,oui,oui,3,ES1;ES2;ES3,ESP,both
Estonie,EST,EE,EST,oui,non,1,EST1,,league_only
Finlande,FIN,FI,FIN,oui,non,1,FN1,,league_only
France,FRA,FR,FRA,oui,oui,3,FR1;FR2;FR3,FRA,both
Angleterre,GBR,GB,ENG,oui,oui,3,GB1;GB2;GB3,ENG,both
Écosse,GBR,GB,SCO,oui,non,1,SC1,,league_only
Irlande du Nord,GBR,GB,NIR,oui,non,1,NI1,,league_only
Pays de Galles,GBR,GB,WAL,oui,non,1,WAL1,,league_only
Géorgie,GEO,GE,GEO,oui,non,1,GE1,,league_only
Ghana,GHA,GH,GHA,non,oui,0,,GHA,national_only
Grèce,GRC,GR,GRE,oui,non,1,GR1,,league_only
Croatie,HRV,HR,CRO,oui,oui,1,KR1,CRO,both
Hongrie,HUN,HU,HUN,oui,non,1,HU1,,league_only
Irlande,IRL,IE,IRL,oui,non,1,IR1,,league_only
Iran,IRN,IR,IRN,non,oui,0,,IRN,national_only
Irak,IRQ,IQ,IRQ,non,oui,0,,IRQ,national_only
Islande,ISL,IS,ISL,oui,non,1,IS1,,league_only
Israël,ISR,IL,ISR,oui,non,1,ISR1,,league_only
Italie,ITA,IT,ITA,oui,oui,3,IT1;IT2;IT3,ITA,both
Jamaïque,JAM,JM,JAM,non,oui,0,,JAM,national_only
Jordanie,JOR,JO,JOR,non,oui,0,,JOR,national_only
Japon,JPN,JP,JPN,oui,oui,1,JAP1,JPN,both
Corée du Sud,KOR,KR,KOR,oui,oui,1,RSK1,KOR,both
Lituanie,LTU,LT,LTU,oui,non,1,LT1,,league_only
Luxembourg,LUX,LU,LUX,oui,non,1,LUX1,,league_only
Lettonie,LVA,LV,LVA,oui,non,1,LV1,,league_only
Maroc,MAR,MA,MAR,oui,oui,1,MAR1,MAR,both
Mexique,MEX,MX,MEX,oui,oui,1,MEX1,MEX,both
Malte,MLT,MT,MLT,oui,non,1,MAL1,,league_only
Nigeria,NGA,NG,NGA,non,oui,0,,NGA,national_only
Pays-Bas,NLD,NL,NED,oui,oui,1,NL1,NED,both
Norvège,NOR,NO,NOR,oui,oui,1,NO1,NOR,both
Nouvelle-Zélande,NZL,NZ,NZL,non,oui,0,,NZL,national_only
Panama,PAN,PA,PAN,non,oui,0,,PAN,national_only
Pologne,POL,PL,POL,oui,oui,1,PL1,POL,both
Portugal,PRT,PT,POR,oui,oui,2,PO1;PT2,POR,both
Paraguay,PRY,PY,PAR,oui,oui,1,PR1A,PAR,both
Qatar,QAT,QA,QAT,non,oui,0,,QAT,national_only
Roumanie,ROU,RO,ROU,oui,non,1,RO1,,league_only
Russie,RUS,RU,RUS,oui,non,1,RU1,,league_only
Arabie Saoudite,SAU,SA,KSA,oui,oui,1,SA1,KSA,both
Sénégal,SEN,SN,SEN,non,oui,0,,SEN,national_only
Serbie,SRB,RS,SRB,oui,oui,1,SER1,SRB,both
Slovaquie,SVK,SK,SVK,oui,non,1,SK1,,league_only
Slovénie,SVN,SI,SVN,oui,non,1,SLO1,,league_only
Suède,SWE,SE,SWE,oui,non,1,SE1,,league_only
Tunisie,TUN,TN,TUN,non,oui,0,,TUN,national_only
Turquie,TUR,TR,TUR,oui,oui,1,TR1,TUR,both
Ukraine,UKR,UA,UKR,oui,non,1,UKR1,,league_only
Uruguay,URY,UY,URU,non,oui,0,,URU,national_only
États-Unis,USA,US,USA,oui,oui,1,MLS1,USA,both
Ouzbékistan,UZB,UZ,UZB,non,oui,0,,UZB,national_only
Afrique du Sud,ZAF,ZA,RSA,oui,oui,1,SFA1,RSA,both
