competition_id,n_players_with_match
A1,518
ofb,507
FS,354
A2,306
JGD2,214
A1EL,210
JGD3,203
ELQ,187
ECLQ,174
U21Q,166
CLQ,166
EL,165
U19Q,160
U17Q,133
ATRM,129
UCOL,120
19YL,120
DFB,92
CL,87
ATRO,86
L2,61
L1,55
ATRW,48
DFBJ,48
WMQ6,44
L3,43
17EU,41
19EU,36
EMQ,36
A4ST,36
21EU,34
17WC,34
KLUB,32
AJ3,29
UNLB,27
BJ3,24
SCC,24
IT1,24
FRC,24
SU20,23
CIT,23
AJ17,23
C1,22
FR1,22
CGB,22
EURO,21
FAC,21
RLB3,21
DKP,19
DK1,19
RLW3,18
AJ2,18
NL1,18
A4T,18
DKRE,17
AJ,17
WMQ2,17
UNPO,17
JGD,17
GB2,17
NLP,17
RLWA,17
A4V,16
BE1,16
POWM,16
RLNA,16
BJ2,15
AFCQ,15
FR2,15
FRYC,15
DKMR,15
SER1,15
UNLA,15
GB1,15
PLIC,15
AJ1,14
A4O,14
GB21,14
RLSW,14
SERP,14
CCB,14
20WC,14
A1R,13
DKDL,13
RLN3,13
GBFL,13
DKAR,12
IT2,12
NOPO,12
SB19,12
FIWC,12
BJ1,11
SEC,11
NO1,11
PL1,11
A4B,11
AFCN,10
SE1,10
CHPR,10
L1PO,10
MLS1,10
KR1,10
AA17,10
BVP,9
FRR1,9
C2,9
21PL,9
CAFC,9
KRC,9
A4K,9
ARLS,9
19S2,8
ALPW,8
A4S,8
FR4C,8
ISPO,8
ACL,8
MLSP,8
POUS,8
SR1C,8
NL2,8
UNLC,8
BJ,8
19LA,8
CHAN,8
RLN4,8
POPU,8
SB17,8
CITP,8
TS1,7
A4N,7
SC1,7
ISR1,7
POEM,7
FR3,7
UNG1,7
USMX,7
TRP,7
SR1R,7
20AC,7
GR1,7
ELTI,7
GB18,7
SL1,7
FAYC,7
ELTA,7
TSP,6
PO1,6
POPO,6
SCP,6
A2RE,6
SAPO,6
19S1,6
FR4D,6
GEP1,6
GE1N,6
NP34,6
CHUC,6
CH18,6
DKRQ,6
FRL,6
UNGP,6
SER2,6
TR1,6
CCL,6
A4W,6
AUS1,6
A23Q,6
POCC,6
DK2,6
L2PO,6
BE2,6
GRP,6
F19A,6
DFL,6
IJ1,6
SLO1,6
SKC,6
FR5K,6
FR5I,6
SLP,6
CZ3C,5
MRPO,5
ISRA,5
ISR2,5
NPFL,5
FR5J,5
FFAC,5
AUSF,5
SFA,5
USL,5
23AF,5
E21P,5
CZ19,4
TDV,4
ELVA,4
SE2,4
ELSA,4
FR4B,4
WFVP,4
ISRF,4
