player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
746156,Kevin Radulovic,2157,FC Blau-Weiss Linz,Goalkeeper,23,Austria,31,7,3,4,192,14,1228,0,0,0,0,1,0,2019,2025
349536,Nico Mantl,2157,FC Blau-Weiss Linz,Goalkeeper,26,Germany,58,12,10,21,462,212,18860,0,0,0,0,13,5,2014,2026
694561,Valentin Oelz,2157,FC Blau-Weiss Linz,Goalkeeper,21,Austria,13,7,8,11,262,59,5184,0,0,0,0,0,4,2020,2026
947524,Viktor Baier,2157,FC Blau-Weiss Linz,Goalkeeper,21,Czech Republic,0,6,5,16,271,101,8821,0,0,0,0,7,14,2021,2026
316729,Thomas Turner,2157,FC Blau-Weiss Linz,Goalkeeper,28,Austria,24,12,8,8,367,69,6221,0,0,0,0,3,0,2013,2026
494830,Anderson,316,Grazer AK 1902,Right-Back,28,Brazil,28,10,8,7,273,182,13761,13,25,118,35,28,0,2016,2026
287995,Manuel Maranda,2157,FC Blau-Weiss Linz,Centre-Back,28,Austria,15,15,9,14,532,362,30584,14,12,48,17,34,15,2012,2026
434098,Martin Moormann,2157,FC Blau-Weiss Linz,Centre-Back,25,Austria,16,12,7,15,378,221,16325,12,6,42,10,32,23,2015,2026
243230,Simon Pirkl,2157,FC Blau-Weiss Linz,Left-Back,29,Austria,60,15,8,10,573,347,26162,16,36,47,12,62,34,2012,2026
795762,Elias Bakatukanda,2157,FC Blau-Weiss Linz,Centre-Back,22,DR Congo,4,7,6,14,232,104,8341,5,3,13,5,13,1,2020,2026
524539,David Riegler,2157,FC Blau-Weiss Linz,Centre-Back,23,Austria,22,10,5,8,267,169,12713,7,3,5,0,54,10,2017,2026
321850,David Bumberger,2157,FC Blau-Weiss Linz,Left-Back,27,Austria,23,12,9,11,435,245,18082,20,16,34,12,18,6,2014,2025
154140,Fabio Varesi-Strauss,2157,FC Blau-Weiss Linz,Centre-Back,31,Austria,2,18,6,8,612,312,24869,11,14,36,13,67,0,2009,2026
808711,Matthias Wetschka,2157,FC Blau-Weiss Linz,Centre-Back,21,Austria,32,7,7,15,190,95,7374,4,1,3,3,6,4,2020,2026
698560,Cheick Condé,2157,FC Blau-Weiss Linz,Defensive Midfield,25,Guinea,26,8,7,21,328,216,15494,3,11,112,20,56,10,2019,2026
501054,Isak Dahlqvist,2157,FC Blau-Weiss Linz,Right Midfield,24,Sweden,5,11,6,15,263,156,11189,23,17,12,4,16,3,2016,2026
531634,Alexander Briedl,2157,FC Blau-Weiss Linz,Defensive Midfield,24,Austria,19,10,8,11,289,203,13045,5,8,56,13,25,2,2017,2026
369580,Alem Pasic,2157,FC Blau-Weiss Linz,Defensive Midfield,28,Austria,17,10,3,4,303,197,14639,10,11,43,10,57,0,2015,2026
223954,Christopher Cvetko,316,Grazer AK 1902,Central Midfield,29,Austria,24,16,8,11,415,291,22534,23,40,158,43,63,14,2011,2026
563734,Mamadou Fofana,2157,FC Blau-Weiss Linz,Central Midfield,25,Mali,6,11,8,15,341,170,8972,12,9,99,36,25,0,2016,2026
307667,Dominik Reiter,2157,FC Blau-Weiss Linz,Right Midfield,28,Austria,29,13,11,18,534,274,15291,46,16,107,39,29,7,2013,2025
598541,Paul Mensah,2157,FC Blau-Weiss Linz,Attacking Midfield,26,Ghana,10,8,3,5,275,191,12785,28,28,58,22,18,0,2018,2025
696514,Felix Gerstmayer,2157,FC Blau-Weiss Linz,Central Midfield,21,Austria,21,7,5,7,167,80,5820,12,0,0,0,8,0,2019,2026
364375,Oliver Wähling,2157,FC Blau-Weiss Linz,Attacking Midfield,26,Germany,8,13,7,10,377,178,10821,28,25,16,4,22,0,2014,2026
509992,Marcel Schantl,2157,FC Blau-Weiss Linz,Central Midfield,25,Austria,0,10,2,5,293,62,3389,0,2,5,3,2,0,2016,2025
620496,Simon Seidl,122,SK Sturm Graz,Central Midfield,24,Austria,19,9,3,9,253,168,10496,29,20,139,52,16,9,2018,2026
247652,Shon Weissman,2157,FC Blau-Weiss Linz,Centre-Forward,30,Israel,18,16,10,22,595,414,24707,125,26,410,181,39,72,2010,2026
256167,Ronivaldo,2157,FC Blau-Weiss Linz,Centre-Forward,37,Austria,9,17,8,8,535,371,26843,202,50,223,87,36,0,2010,2026
189912,Thomas Goiginger,2446,WSG Tirol,Left Winger,33,Austria,36,17,9,15,638,466,31111,92,98,345,134,47,1,2010,2026
346904,Nico Maier,2157,FC Blau-Weiss Linz,Right Winger,25,Switzerland,30,12,8,18,387,236,14892,70,18,128,37,32,1,2014,2026
548235,Muharem Huskovic,2157,FC Blau-Weiss Linz,Centre-Forward,23,Austria,0,9,7,15,374,202,9887,41,20,96,37,34,35,2018,2026
580613,Jakob Knollmüller,2157,FC Blau-Weiss Linz,Centre-Forward,22,Austria,7,10,8,11,248,131,7552,42,14,19,14,11,21,2017,2026
717063,João Luiz,2157,FC Blau-Weiss Linz,Right Winger,27,Brazil,11,7,5,5,221,67,2735,5,6,10,2,14,0,2019,2025
1133950,Emmanuel Michael,413,LASK,Left-Back,20,Nigeria,41,5,5,8,128,27,1601,1,2,15,0,3,4,2022,2026
515650,Takumu Kawamura,409,Red Bull Salzburg,Defensive Midfield,26,Japan,16,11,4,14,398,184,12708,33,12,116,43,11,4,2015,2026
915896,Oliver Lukic,4467,TSV Hartberg,Central Midfield,19,Croatia,10,6,7,12,249,125,8428,28,16,71,24,22,19,2021,2026
804034,Valentin Sulzbacher,409,Red Bull Salzburg,Central Midfield,21,Austria,38,7,6,11,238,97,5611,12,9,55,20,14,3,2020,2026
953893,Clement Bischoff,409,Red Bull Salzburg,Left Winger,20,Denmark,7,6,6,16,226,163,8985,37,34,119,37,21,26,2021,2026
881297,Adam Daghim,409,Red Bull Salzburg,Right Winger,20,Denmark,24,6,8,22,273,183,10553,29,23,175,57,24,26,2021,2026
692756,Peter Kiedl,122,SK Sturm Graz,Centre-Forward,22,Austria,32,8,6,13,235,147,8130,42,13,24,12,16,2,2019,2026
