competition_id,n_players_with_match
ALB1,418
ALBP,416
FS,274
ECLQ,261
ALP3,167
ALB2,155
AL21,132
ELQ,129
ALBS,122
CLQ,119
U21Q,116
ALPO,113
U19Q,101
U17Q,80
KO1,61
ALP4,61
KOP1,55
19YL,41
MAZ1,34
GRP,31
ALP1,30
CITP,28
WMQ6,25
EMQ,25
EL,25
ROMP,25
TDV,25
UNLC,23
UCOL,22
RO1,21
KR1,20
GR1,20
GRS2,20
KRC,19
POPO,19
CIT,19
ALP5,17
IJ1,17
RO1R,16
GR20,16
PO2,16
CILP,16
CCB,16
BRC,16
TRP,16
ALP2,15
UNGP,14
UNG1,14
BU1,14
NMAP,14
CPO1,14
CAFC,14
SL1,14
TR2,14
AZ1,13
SLO1,13
POCP,13
BE1,13
BE2,13
KR2,12
BULP,12
IT1,12
WAFF,12
POPU,12
IT2,12
ZYP1,11
PT23,11
BRA3,11
CL,11
SLP,11
IJ2A,11
KO1R,11
PLIC,11
IT3A,11
UKR1,11
ASPK,10
CDR,10
GR2,10
PO1,10
ITJ7,10
SCC,10
SPjr,10
PL1,10
SKC,10
UNLD,9
S1PO,9
LET1,9
SKKO,9
ACL,9
RO2,9
TR1,9
FRC,9
ITJE,9
17EU,9
PL2,9
CHAN,9
AFCQ,9
KAS1,9
BRA2,9
PTPR,9
S2PO,9
S2PA,9
SLAR,8
BRNE,8
ISPO,8
MAZR,8
IT3B,8
WMQ2,8
C2,8
LETP,8
BRA4,8
NPFL,8
UKRP,8
POEM,7
EURO,7
KOBU,7
MALC,7
UZ1,7
ES1,7
19EU,7
NLP,7
ISR1,7
C1,7
ITJ4,7
ITJ5,7
ITC4,7
ZYPA,7
21PL,7
UNLB,7
CB20,7
IT3P,7
FAYC,7
POWM,6
21EU,6
TSP,6
MAL1,6
CS,6
DFB,6
ROPC,6
RO1C,6
FR4B,6
POBE,6
NL2,6
CLI,6
PT3A,6
TS1,6
MLSP,6
GB21,6
20WC,6
GE1N,6
GEP1,6
KAZP,6
IT3O,6
POGR,6
BOS1,6
ITJP,6
UNPO,5
GOCU,5
WMQ3,5
ALG1,5
ALGP,5
BRCG,5
ES2,5
NL1,5
SCIJ,5
RUP,5
ISR2,5
FRYC,5
FR2,5
GHPL,5
ITJ2,5
17WC,5
BRCM,5
NOPO,5
GBFL,5
SK2,5
BRA1,5
P23C,5
SWEP,5
FR1,5
SL2,5
LI1,5
LTVP,5
BIHP,5
NRPO,5
IT3C,5
SERP,4
BUEL,4
ZYPM,4
OLCC,4
TUN1,4
R2AP,4
FR4D,4
ITJ6,4
RU1,4
FR4A,4
ARPO,4
P3As,4
IRQ1,4
MO1N,4
20AC,4
NLAJ,4
CHFA,4
PLSC,4
IT4P,4
BE2A,4
FR3,4
NO1,4
NO2,4
CHUC,4
CH18,4
FAC,4
CYP2,4
CRPO,4
CRPD,4
CRPV,4
C220,4
PDV1,4
ofb,4
A2,4
SEC,4
UEQ,4
IJ2B,4
GB18,4
WER1,4
WRPO,4
C20P,4
BRPR,4
IT4F,4
SER1,3
E4G5,3
GR2N,3
TS2,3
RLN3,3
CNLB,3
TUNP,3
BEL3,3
BRNF,3
IRLP,3
CLPI,3
RORE,3
SA2L,3
ISRA,3
VZ1L,3
23AC,3
ARM1,3
CPSB,3
ES2P,3
SUC,3
E3FA,3
ES3D,3
FIWC,3
FI1,3
P23Q,3
POLL,3
CZ3C,3
MT1N,3
NLJV,3
UAEP,3
BRSC,3
BRCB,3
CLO,3
F19F,3
IT4D,3
CR19,3
T191,3
CGB,3
CHPR,3
SLMR,3
IRPO,3
IR1,3
2SAM,3
BCP1,3
SEN1,3
IT4O,3
GE2P,3
GEO2,3
RSK1,3
ES3C,3
T1AR,3
RTIP,3
UZSC,3
POSL,3
COLE,3
NLJB,3
MALS,3
BRVE,3
AFCN,3
GESC,3
BULS,3
SE1,3
RLW3,3
BAPO,3
PL34,3
LTSC,3
P3Au,3
ITJ8,3
CNLA,3
CDCO,2
ARY3,2
E3G1,2
ARLC,2
CDCA,2
CDLP,2
CYSC,2
MALD,2
MNE2,2
AJ1,2
BJ2,2
LUX1,2
PTRL,2
L3,2
NP34,2
CACG,2
OLYM,2
E3PL,2
AGSC,2
BRMA,2
ISRF,2
ARCA,2
OLCF,2
F19A,2
OBLG,2
PON2,2
ESJP,2
VZ1C,2
VZ1A,2
VZOC,2
IT18,2
ITJF,2
BU2,2
MALA,2
FRL,2
FRR1,2
FR5D,2
FR5C,2
MNP3,2
R2AO,2
LET2,2
BTCU,2
IN1L,2
BRNP,2
BCE1,2
BRCE,2
E4G4,2
GB4,2
MAR1,2
MARP,2
INIL,2
IT4C,2
P232,2
HRSC,2
IRNP,2
CSL,2
IRN1,2
PL33,2
NPPL,2
THFA,2
THLC,2
THA1,2
EJPL,2
BE2E,2
BESC,2
CH17,2
LIEP,2
BASU,2
GB3,2
C18E,2
L2,2
BJ1,2
PUSB,2
AA17,2
BRCF,2
DFBJ,2
IT4H,2
E3G2,2
BCPF,2
BRCR,2
2NPP,2
F1CL,2
AJ3,2
CSC2,2
PDV2,2
CNNF,2
CCL,2
CVF,2
CVSP,2
CCAC,2
NLBE,2
CH3B,2
BRAL,2
ARG2,2
SAM7,2
NO44,2
ROMS,2
A1,2
HBPO,2
CIF,2
AFCL,2
TDeC,2
TDeA,2
USL,2
WFVP,2
OLNI,2
SER2,2
PVRR,2
POSB,2
JUNO,2
LIM,2
RKPO,2
T211,2
LTU2,2
NO46,2
NO32,2
NO31,2
SU20,2
UKR2,2
ITJ1,2
SFA1,2
SFAL,2
NEDC,2
TELK,2
CAN,2
CDN1,2
ESTP,2
GB1,2
MOP2,2
MWP1,2
NLVB,2
SE2,2
GCQU,2
IT4G,2
KASC,2
MOL1,2
USC3,2
SCI,2
MT1P,2
GRP2,2
OLW3,2
WFPO,2
BRRS,2
MNE1,1
UZ2L,1
ECUP,1
EC1N,1
ECPE,1
ECSE,1
OBLN,1
AJ2,1
LUCL,1
IT4X,1
TUNM,1
TUSC,1
B3AU,1
TRS,1
L1,1
AR1N,1
PR1A,1
PR1C,1
BBPO,1
BRBL,1
SAKC,1
NLBV,1
VZOA,1
VEC1,1
FR4C,1
RU2,1
RO19,1
ROCJ,1
ILP1,1
MEC1,1
F1CE,1
FIS,1
F1CC,1
FIL,1
