player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1483790,Fjoraldo Bejdollari,12460,Flamurtari FC,Goalkeeper,17,Albania,0,1,1,2,27,0,0,0,0,0,0,0,0,2025,2025
216969,Igor Aleksovski,98106,AF Elbasani,Goalkeeper,31,North Macedonia,24,16,8,20,542,244,21743,0,0,0,0,15,28,2011,2026
344960,Todor Todoroski,12460,Flamurtari FC,Right-Back,27,North Macedonia,30,13,12,29,462,249,17152,8,8,24,8,42,45,2013,2025
487801,Ariol Kaloshi,12460,Flamurtari FC,Goalkeeper,26,Albania,1,10,5,6,236,102,8832,0,0,0,0,6,0,2016,2025
830310,Luciano Squadrone,12460,Flamurtari FC,Centre-Back,26,Argentina,6,9,7,12,224,146,11471,6,0,0,0,35,0,2017,2026
352602,Momcilo Raso,12460,Flamurtari FC,Centre-Back,29,Montenegro,4,14,11,24,428,254,21240,8,4,0,0,27,23,2012,2025
342346,Dimitrios Chantakias,12460,Flamurtari FC,Centre-Back,31,Greece,44,13,9,15,479,290,21980,10,7,1,0,60,0,2013,2025
289170,Lorenc Trashi,12460,Flamurtari FC,Left-Back,33,Albania,19,12,4,15,487,403,32190,24,52,7,1,59,15,2013,2025
553943,Alex Peralta,21234,FK Bylis,Left-Back,29,Ecuador,0,6,3,8,184,107,7944,4,4,0,0,32,0,2016,2025
251447,Eric Veiga,12460,Flamurtari FC,Centre-Back,29,Luxembourg,18,16,11,29,605,232,15285,11,15,29,9,29,22,2011,2026
268201,Denis Pjeshka,12460,Flamurtari FC,Centre-Back,30,Albania,5,13,4,5,438,230,17864,17,5,0,0,41,0,2012,2025
866541,Joao Urbáez,12460,Flamurtari FC,Right-Back,23,Dominican Republic,2,6,4,13,135,72,5381,2,3,6,1,13,26,2020,2025
481161,Stivian Janku,12460,Flamurtari FC,Centre-Back,28,Albania,23,10,8,11,369,168,12649,5,2,0,0,42,1,2016,2025
191711,Bruno Telushi,12460,Flamurtari FC,Centre-Back,35,Albania,0,18,8,18,675,386,28924,46,11,2,1,99,6,2006,2025
524969,Jacques Mbé,12460,Flamurtari FC,Defensive Midfield,27,Cameroon,11,8,3,10,231,147,11189,3,4,8,3,36,0,2016,2025
449879,William Baeten,12460,Flamurtari FC,Attacking Midfield,29,Belgium,0,11,6,17,393,254,16498,31,19,124,48,44,0,2016,2026
165012,José Rodríguez,12460,Flamurtari FC,Central Midfield,31,Spain,0,16,14,29,649,324,20029,14,21,28,9,76,18,2010,2025
635483,Hamza Ramani,12460,Flamurtari FC,Central Midfield,23,North Macedonia,27,8,5,9,198,150,9968,6,4,0,0,41,27,2018,2025
865120,Léo Melo,27114,KF Egnatia,Attacking Midfield,24,Brazil,0,6,6,13,210,94,3845,17,5,0,0,9,0,2020,2025
563815,Cristian Núñez,12460,Flamurtari FC,Defensive Midfield,28,Paraguay,22,10,11,16,353,152,8894,0,2,1,0,43,3,2016,2025
951492,Bangaly Diawara,12460,Flamurtari FC,Central Midfield,23,Cote d'Ivoire,25,7,7,17,212,122,7591,12,2,0,0,20,0,2020,2026
322389,Valentino Murataj,4040,FK Partizani,Central Midfield,30,Albania,21,13,4,8,322,264,19077,16,27,1,0,63,0,2013,2026
339598,Herald Marku,8671,KF Vllaznia,Central Midfield,30,Albania,21,16,7,12,451,311,21372,39,12,12,2,29,2,2011,2026
900688,Paulo Pjeshka,21234,FK Bylis,Central Midfield,23,Albania,15,7,6,10,255,98,5645,12,0,0,0,14,12,2018,2025
