player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1436768,Amayas Boudedja,42517,ES Ben Aknoun,Goalkeeper,21,Algeria,30,2,2,2,35,1,90,0,0,0,0,0,0,2025,2026
1256623,Mohammed El Koubi,30929,Paradou AC,Goalkeeper,18,Algeria,60,4,1,3,33,12,1062,0,0,0,0,0,7,2023,2026
697175,Ahmed Abdelkader,30929,Paradou AC,Goalkeeper,27,Algeria,30,10,5,10,278,42,3533,0,0,0,0,1,0,2015,2025
356476,Toufik Moussaoui,56165,JS El Biar,Goalkeeper,35,Algeria,0,14,7,9,383,225,20030,0,0,0,0,22,1,2011,2026
1526666,Kamel Benachour,30929,Paradou AC,Goalkeeper,0,Algeria,0,1,1,1,11,1,90,0,0,0,0,0,0,2025,2025
1159617,Fouad Kermiche,13365,CR Belouizdad,Right-Back,27,Algeria,0,4,2,2,99,76,6114,7,2,0,0,8,0,2023,2026
1134096,Abdelhak Ben Idder,30929,Paradou AC,Centre-Back,19,Algeria,35,3,1,4,40,31,2639,0,0,2,0,4,6,2022,2025
882537,Abdellah Bendouma,13366,JS Kabylie,Left-Back,24,Algeria,19,7,3,4,142,107,8778,6,3,0,0,18,1,2020,2026
1028846,Ouanisse Bouzahzah,30929,Paradou AC,Centre-Back,21,Algeria,5,5,1,3,104,42,3246,2,0,0,0,8,1,2021,2025
924177,Mohamed Imad Reguieg,56165,JS El Biar,Right-Back,24,Algeria,0,7,4,3,153,58,3435,1,2,0,0,8,1,2020,2026
698241,Hamza Salem,39035,MB Rouissat,Centre-Back,28,Algeria,0,8,4,3,231,141,11421,5,2,0,0,17,0,2019,2026
1028843,Salah Eddine Zaoui,30929,Paradou AC,Right-Back,22,Algeria,12,3,1,3,67,33,1803,0,4,0,0,4,2,2021,2025
1134095,Younes Badani,30929,Paradou AC,Left-Back,19,Algeria,42,2,1,3,16,5,312,0,0,2,0,2,3,2022,2025
1462071,Mohamed Hamed,30929,Paradou AC,Defender,20,Algeria,33,1,1,2,31,7,342,0,0,0,0,1,0,2025,2025
1450085,Mohamed Nazim Azouaou Bouderka,30929,Paradou AC,Centre-Back,21,Algeria,3,1,1,2,33,11,442,0,0,0,0,2,0,2025,2025
1028850,Mohamed Islam Abdelkader,8850,MC Algiers,Attacking Midfield,22,Algeria,21,5,2,4,71,42,2728,7,3,0,0,4,2,2021,2026
1174662,Samba Koné,30929,Paradou AC,Left-Back,23,Cote d'Ivoire,0,2,2,3,23,7,541,0,0,0,0,1,0,2023,2025
950867,Mohamed Ait El Hadj,30929,Paradou AC,Attacking Midfield,24,Algeria,9,5,2,6,198,108,5052,5,5,7,1,9,2,2021,2025
627358,Yassine Ben Hamed,30929,Paradou AC,Left-Back,23,Algeria,28,9,9,20,244,56,3659,1,0,0,0,2,12,2018,2026
951864,Taha Yassine Tahar,56165,JS El Biar,Defensive Midfield,25,Algeria,0,6,3,2,166,126,9634,3,6,0,0,11,0,2021,2026
1260299,Mohamed Lamine Tahar,30929,Paradou AC,Defensive Midfield,21,Algeria,19,3,1,2,47,31,1152,1,2,0,0,1,0,2023,2025
1328210,Salah Eddine Bouziani,6772,USM Alger,Central Midfield,20,Algeria,14,3,2,3,83,42,2539,0,1,0,0,13,8,2024,2026
1155576,Moncef Bisker,30929,Paradou AC,Central Midfield,23,Algeria,17,4,1,2,80,26,1674,0,2,0,0,5,0,2022,2025
1397416,Sid Ahmed Lahmer,30929,Paradou AC,Central Midfield,21,Algeria,20,2,1,2,39,27,1415,2,0,0,0,3,0,2024,2025
475753,Abdeldjalil Tahri,30929,Paradou AC,Defensive Midfield,27,Algeria,18,8,1,5,278,92,5783,1,1,0,0,14,3,2018,2025
995767,Lalaina,30929,Paradou AC,Central Midfield,22,Madagascar,25,5,3,8,76,31,2289,5,4,14,6,2,20,2021,2025
905953,Abdelkrim Namani,32178,ES Mostaganem,Defensive Midfield,22,Algeria,28,5,3,4,133,42,2113,1,2,0,0,4,0,2021,2025
990002,Abdoul Fatahou Ouattara,30929,Paradou AC,Defensive Midfield,24,Cote d'Ivoire,14,4,3,6,56,10,682,0,0,0,0,2,0,2021,2025
1427712,Djafar Zabaiou,30929,Paradou AC,Attacking Midfield,20,Algeria,27,2,1,2,26,6,149,0,0,0,0,1,0,2024,2025
1134088,Youcef Belkaid,30929,Paradou AC,Central Midfield,19,Algeria,0,2,1,2,5,3,121,0,0,2,1,0,3,2022,2025
1133118,Mohamed El Amine Ramdaoui,6772,USM Alger,Centre-Forward,21,Algeria,15,5,2,3,91,63,3658,15,8,0,0,10,3,2022,2026
1114557,Mustapha Djabril Soukkou,13366,JS Kabylie,Right Winger,23,Algeria,7,5,2,2,113,82,5309,6,10,0,0,9,0,2022,2026
321895,Youssouf Dao,30929,Paradou AC,Centre-Forward,28,Cote d'Ivoire,0,13,7,14,269,149,7912,30,12,20,6,13,10,2011,2026
1146044,Ben Ahmed Kohili,8850,MC Algiers,Centre-Forward,21,Algeria,11,5,2,5,126,74,4413,22,1,0,0,11,7,2022,2026
1072541,Abderrahmane Bacha,30929,Paradou AC,Second Striker,26,Algeria,29,4,4,4,151,90,3927,10,3,7,3,6,0,2022,2025
1256646,Houssem Tarzout,30929,Paradou AC,Left Winger,19,Algeria,0,3,1,3,37,9,450,2,0,0,0,1,7,2023,2026
1483003,Mohamed Guidoum,30929,Paradou AC,Centre-Forward,20,Algeria,0,1,1,2,21,9,245,2,1,0,0,0,0,2025,2025
1462067,Houssam Alla Eddine Abdelaziz,30929,Paradou AC,Attack,18,Algeria,0,2,1,2,11,6,374,1,0,0,0,0,6,2025,2026
714589,Adel Amar Belkacem Bouzida,30929,Paradou AC,Right Winger,24,Algeria,0,5,3,3,129,40,2391,7,2,0,0,5,0,2021,2025
1490845,Aimen Chegra,30929,Paradou AC,Attack,20,Algeria,0,1,1,2,20,9,244,0,0,0,0,0,0,2025,2025
414093,Abdesslam Hannane,37160,JS Saoura,Goalkeeper,30,Algeria,0,6,3,3,87,48,4229,0,1,0,0,7,0,2015,2026
1446531,Mounir Aziria,56165,JS El Biar,Goalkeeper,20,Algeria,0,2,2,3,33,12,1045,0,0,0,0,1,1,2025,2026
33465,Raïs M'Bolhi,32178,ES Mostaganem,Goalkeeper,40,Algeria,0,22,17,34,827,432,38837,0,3,0,0,36,96,2003,2025
862213,Chouaib Boulkaboul,13366,JS Kabylie,Left-Back,25,Algeria,24,7,3,3,121,63,4651,1,7,0,0,7,0,2020,2026
335185,Boualem Masmoudi,32178,ES Mostaganem,Centre-Back,32,Algeria,3,11,8,10,303,161,13171,11,1,6,4,41,0,2014,2025
326655,Mohamed Amine Ezzemani,42093,USM Khenchela,Left-Back,30,Algeria,0,11,8,5,263,190,14911,4,14,0,0,20,0,2013,2025
303523,Benali Benammar,39035,MB Rouissat,Centre-Back,31,Algeria,0,11,6,3,269,204,16846,10,8,0,0,14,0,2013,2026
209990,Djamel Eddine Benlamri,32178,ES Mostaganem,Centre-Back,36,Algeria,0,17,12,25,579,349,29130,12,10,41,10,84,36,2009,2025
118303,Mehdi Zeffane,32178,ES Mostaganem,Right-Back,33,Algeria,0,17,9,21,730,295,21268,5,18,80,13,30,19,2009,2026
416655,Abdeldjalil Bahoussi,40319,Olympique Akbou,Centre-Back,31,Algeria,0,6,4,2,128,78,5759,0,0,0,0,13,0,2015,2025
1155577,Aymene Boualleg,42517,ES Ben Aknoun,Centre-Back,25,Algeria,0,7,4,4,183,22,1491,0,0,0,0,3,0,2019,2026
1452029,Farid Hamza Laireche,32178,ES Mostaganem,Defender,19,Algeria,31,2,2,2,35,15,740,1,1,0,0,0,0,2025,2026
1435755,Abdel Illah Slimane,32178,ES Mostaganem,Right-Back,20,Algeria,33,2,1,2,25,12,732,0,0,0,0,2,0,2024,2025
1526661,Abdellah Benmehdi,32178,ES Mostaganem,Defender,19,Algeria,0,1,1,1,15,5,387,0,0,0,0,1,0,2025,2025
1505301,Rayane Ramdane,32178,ES Mostaganem,Defender,18,Algeria,0,1,1,2,16,6,187,0,0,0,0,1,0,2025,2025
415011,Taher Benkhelifa,32178,ES Mostaganem,Defensive Midfield,31,Algeria,8,11,5,7,325,243,17315,8,14,2,0,49,0,2015,2025
376653,Abdelhafid Benamara,31757,US Biskra,Defensive Midfield,30,Algeria,0,12,4,4,346,228,15729,5,5,0,0,40,0,2015,2026
336509,Abdellah El Moudène,32178,ES Mostaganem,Central Midfield,32,Algeria,10,13,11,8,402,253,14238,14,23,1,0,39,0,2012,2025
282235,Sid Ali Lamri,32178,ES Mostaganem,Central Midfield,35,Algeria,13,17,6,8,511,384,27111,18,33,13,5,34,0,2009,2025
354960,Ahmed Gagaâ,32178,ES Mostaganem,Defensive Midfield,32,Algeria,21,12,11,9,305,174,12158,8,6,0,0,29,3,2014,2025
449787,Mohamed Hacene Bengrina,32178,ES Mostaganem,Attacking Midfield,30,Algeria,14,9,6,6,268,109,5768,7,9,0,0,16,0,2016,2025
949946,Houssam Eddine Bayoud,32178,ES Mostaganem,Central Midfield,27,Algeria,17,3,3,3,103,32,2243,0,1,0,0,6,0,2021,2025
1453199,El Kacem Khodja,32155,CR Temouchent,Attacking Midfield,21,Algeria,0,2,2,2,33,8,520,0,0,0,0,1,0,2025,2026
1114924,Abdelhak Askar,42093,USM Khenchela,Left Winger,28,Algeria,9,5,4,2,104,88,6118,9,7,0,0,12,0,2022,2026
520835,Zoubir Motrani,13364,ASO Chlef,Left Winger,31,Algeria,7,10,6,5,288,199,13525,31,16,4,1,17,0,2017,2026
499982,Ali Haroun,32178,ES Mostaganem,Centre-Forward,29,Algeria,9,10,9,6,321,147,7966,23,7,0,0,11,0,2016,2025
926527,Abderraouf Othmani,39035,MB Rouissat,Centre-Forward,24,Algeria,0,6,4,7,166,74,2836,6,7,1,1,5,1,2020,2025
969984,Boualem Abdelghani Sryer,32178,ES Mostaganem,Right Winger,24,Algeria,26,5,3,5,135,45,1787,0,2,0,0,1,1,2021,2025
339675,Mohamed Toumi Sief,32155,CR Temouchent,Centre-Forward,31,Algeria,0,12,9,4,310,185,10287,36,12,0,0,21,0,2014,2026
1302285,Akram Abou Bakr Bibi,32178,ES Mostaganem,Right Winger,23,Algeria,19,2,1,2,67,31,1161,0,0,0,0,1,0,2024,2025
531811,Ameur Bouguettaya,32178,ES Mostaganem,Left Winger,30,Algeria,22,9,4,5,270,145,7617,15,8,0,0,14,0,2017,2025
1226238,Adem Aichouche,42093,USM Khenchela,Centre-Forward,21,Algeria,24,2,3,2,61,4,31,0,0,0,0,0,0,2024,2025
1505302,Abdelillah Benzina,32178,ES Mostaganem,Attack,20,Algeria,0,1,1,2,15,4,74,0,0,0,0,0,0,2025,2025
1522024,Ilyes Hamdi,32178,ES Mostaganem,Attack,20,Algeria,29,1,1,1,9,4,184,0,0,0,0,0,0,2025,2025
856664,Abdennasser Djoudar,37160,JS Saoura,Goalkeeper,24,Algeria,0,4,3,3,136,33,2910,0,1,0,0,7,0,2020,2025
295101,Abdelkadir Salhi,37160,JS Saoura,Goalkeeper,33,Algeria,1,15,8,13,422,245,22048,0,0,0,0,25,15,2012,2026
1540404,Khiar Seif Eddin,64129,MC El Bayadh,Goalkeeper,18,Algeria,0,1,1,1,13,0,0,0,0,0,0,0,0,2025,2025
852879,Mohamed Tayeb Cherif,64129,MC El Bayadh,Goalkeeper,26,Algeria,16,6,2,3,191,59,5340,0,0,0,0,16,0,2020,2025
1320014,Nabil Bouchikhi,64129,MC El Bayadh,Goalkeeper,21,Algeria,30,2,1,2,41,1,90,0,0,0,0,0,0,2024,2025
