competition_id,n_players_with_match
AUS1,212
FFAC,182
AUSF,171
FS,142
A2SW,53
AFCL,47
23AF,42
ACLE,42
A23Q,30
20WC,29
ACL2,28
ACLQ,28
NZNL,28
A2VI,28
FIWC,26
OFPL,26
A168,24
A920,24
NZP1,24
POWM,22
WMQ1,22
ELQ,22
17WC,21
AF19,21
FAC,20
AU2C,19
CGB,19
AFCC,17
NNL1,17
W23C,16
CLQ,16
AFAC,16
EL,16
AF16,15
A169,15
SCP,15
GB2,15
NZL1,15
ECLQ,13
GBFL,13
OLYM,13
SFA,13
SC1,12
CONC,12
GB3,12
OF19,12
KLUB,11
GB4,11
NCL1,11
TDV,10
DKP,10
U19Q,10
EAFC,10
U21Q,10
GB1,10
GB21,10
CL,10
RKPO,9
NL1,9
OFCN,9
PLIC,8
DK1,8
NLP,8
WMQ5,8
NZLP,8
OO23,8
NNLP,8
OCL,8
RSK1,7
DFB,7
SCPA,7
CIT,7
SAKC,7
21PL,7
17OF,7
U17Q,7
L2,6
JAP1,6
JAPC,6
JEMP,6
MLSP,6
DKRE,6
GRS2,6
GR1,6
GRP,6
NO1,6
NL2,6
19EU,6
SA1,6
AU3C,6
MLS1,6
BE1,5
CCB,5
CDR,5
L1,5
A198,5
NLBE,5
NOPO,5
IT1,5
NPVF,5
NZPO,5
SCPM,5
FAYC,5
CITP,5
POPO,5
19YL,4
JL11,4
JASP,4
JL12,4
ES2,4
L3,4
S1PO,4
UCOL,4
SASS,4
23OF,4
MNP3,4
S2PA,4
RLGR,4
FIC1,4
SSC,4
SC2,4
POCC,4
WMQ6,4
EMQ,4
GBR,4
RSK2,4
RSKA,4
PO1,4
POCP,4
TR1,4
JAP2,4
PO2,3
ES3A,3
ES1,3
ES3B,3
USL,3
FR2,3
TRP,3
FRC,3
PONL,3
PON2,3
MYS1,3
CS,3
USMX,3
NLBV,3
NCD1,3
TRIN,3
POG3,3
CNAT,3
FI1,3
POEM,3
UNLB,3
A192,3
NO45,3
INDC,3
INSC,3
IND1,3
C1,3
SCC,3
UNG1,3
ITJ3,3
ITJE,3
CILP,3
AG18,3
DKMR,3
DKPL,3
IT2,3
KRC,3
IRPO,3
POPU,2
PL1,2
PTPR,2
P23C,2
PT23,2
POBE,2
ES1P,2
ES3C,2
DKAR,2
NRPO,2
RLN3,2
OBLN,2
NLBB,2
NLBA,2
MYSP,2
MYC1,2
CLI,2
AFCQ,2
KOBU,2
UZ1,2
WMQ2,2
NPWF,2
OC24,2
BE2,2
USLP,2
URUI,2
AR1N,2
ARCA,2
URU1,2
URUC,2
CCL,2
NLN6,2
FIL,2
F1CE,2
FIS,2
F1CL,2
F1CC,2
EURO,2
GBKN,2
UNLA,2
KREG,2
INDP,2
AFQU,2
IJ1,2
AA17,2
UNGP,2
POGR,2
GR20,2
SCIJ,2
ITJ2,2
IT3P,2
IT3B,2
OQAF,2
SURU,2
RSKM,2
UNLC,2
NOSC,2
J1PO,2
RLSW,2
DKRQ,2
KR2,2
KR1,2
IRLC,2
IR1,2
POG2,2
PLSC,1
PL33,1
J1YV,1
SUNC,1
RLB3,1
C3PL,1
USLC,1
TR2,1
C3IF,1
L1PO,1
NDSP,1
OBLL,1
ARRN,1
SAPO,1
SHPO,1
DFBJ,1
DK2P,1
DK2,1
DKDL,1
NO46,1
NTD,1
NLAJ,1
NLJB,1
MYSC,1
BRC2,1
BRA1,1
RS2f,1
BRPE,1
BRC,1
BCP1,1
BRA3,1
BRRS,1
BRA2,1
BRNF,1
BRSC,1
BCPF,1
FARQ,1
IN1L,1
MO1N,1
J18C,1
OLNI,1
NLBP,1
DK3O,1
UL2P,1
EJPL,1
EJPD,1
BE2E,1
17EU,1
URUP,1
CDLP,1
CLPF,1
CLIY,1
URSC,1
URP1,1
POUS,1
FI2,1
ARM1,1
TFVP,1
ARPO,1
OBLG,1
SFA1,1
ACL,1
SFAL,1
TELK,1
NEDC,1
OFCP,1
GBEG,1
GBCS,1
CR19,1
GB18,1
NO31,1
POCO,1
NO41,1
PL2,1
HKFA,1
HKP2,1
PFL1,1
HKSC,1
HGKG,1
AFCN,1
CHAN,1
POSU,1
ofb,1
A1,1
ITJF,1
IJSC,1
LI1,1
SK2,1
LTVP,1
TSP,1
T1EL,1
ROMP,1
SERP,1
SER2,1
CZJ2,1
ROCL,1
SER1,1
SLO1,1
LTP2,1
TS1,1
RO1,1
SKC,1
SC3,1
GBQ2,1
ASCC,1
JAP3,1
CL2B,1
ALPL,1
RUP,1
RUSR,1
RU2,1
CH1C,1
SC5L,1
TRS,1
POLL,1
P23A,1
P23F,1
P232,1
21EU,1
UNLD,1
FR1,1
RLN4,1
RL3,1
ACQU,1
SE1,1
SEC,1
SCIC,1
ITJ1,1
IJ2A,1
IT3A,1
UNPO,1
BUEL,1
BU1,1
BULP,1
L2PO,1
OLRP,1
SA2P,1
SA2L,1
RLW3,1
IR12,1
IR2,1
SAUP,1
BOS1,1
BIHP,1
REKR,1
SCI,1
PUSB,1
KLCP,1
DFL,1
NSL1,1
GBRN,1
AR3L,1
NP34,1
RNME,1
NPAM,1
GBRS,1
ILIP,1
PDV1,1
CCAC,1
CNLA,1
COLE,1
CVSP,1
CISP,1
CIF,1
PDV2,1
CRPV,1
SCCR,1
CVF,1
CSC2,1
GOCU,1
CRPO,1
CRPD,1
WMQ3,1
PDRL,1
GBQ1,1
CHSC,1
QEC1,1
ISRF,1
QSCP,1
CHFA,1
NLSC,1
ISR1,1
CSL,1
QUC1,1
ISPO,1
QSL,1
NLC,1
E21P,1
SC1P,1
