competition_id,n_players_with_match
AZ1,404
ASPK,392
FS,271
ECLQ,203
ELQ,171
U21Q,141
CLQ,117
U19Q,117
U17Q,88
EL,79
19YL,75
WMQ6,66
POPO,63
EMQ,57
UNLC,54
PO2,46
CL,46
POCP,45
UCOL,44
PO1,39
FRC,32
TRP,27
FR2,24
BRC,24
WMQ2,23
AFCQ,23
TR2,22
UNLD,21
BRA2,21
PT23,20
RUP,19
PT3A,18
CPO1,18
ZYP1,17
RU1,17
TR1,17
FR3,17
BRA4,17
BRA1,17
AZ1M,16
FRL,16
FR1,15
RUJL,14
CN2B,14
ISPO,14
ISR1,14
ROMP,13
20WC,13
CN2A,13
BRA3,13
CS,13
AFCN,13
CDR,13
RO1,12
RO1R,12
BU1,12
BULP,12
17EU,12
ES2,12
RU2,12
UKR1,12
19EU,12
FRYC,12
CHAN,12
CCB,12
P3Au,11
DFB,11
P3As,11
LTVP,11
LI1,11
CN2D,11
SL1,11
SLP,11
SER1,11
BRPR,11
UKRP,11
NLP,10
PL1,10
POPU,10
PLIC,10
SERP,10
AZ1A,10
ISRA,10
BE1,10
POLL,9
ZYPM,9
CAFC,9
CN2C,9
SPjr,9
TDV,9
NL2,8
DFBJ,8
C3HF,8
FAC,8
PTRL,8
BCP1,8
ISRF,8
BRCG,8
CLI,8
ACL,8
NOPO,7
ISR2,7
GEP1,7
GE1N,7
GRP,7
POEM,7
RUSR,7
C3NA,7
E3G1,7
IT2,7
IT1,7
CIT,7
PTPR,7
BE2,7
GESC,7
LET1,7
PON2,6
NO2,6
RLW3,6
AJ2,6
L2,6
WER1,6
WRPO,6
GB3,6
GBFL,6
GB21,6
CGB,6
21PL,6
UNPO,6
UNLB,6
C1,6
SCC,6
PL2,6
C3PL,6
GOCU,6
CNLA,6
C3BR,6
KRC,6
KR1,6
L3,6
FRR1,6
BRNE,6
ES1,6
BRRS,6
SER2,6
ES3A,6
21EU,6
20AC,6
POT2,6
TSP,6
BRSC,6
BRCR,6
SKC,6
SLO1,6
NO1,5
C3AR,5
AFCL,5
BOS1,5
GR1,5
KAS1,5
BJ2,5
GB2,5
POWM,5
CNLB,5
BCP2,5
WMQ3,5
BRCB,5
ES1P,5
UNG1,5
E3G2,5
CB20,5
SEC,5
RO2,5
RO1C,5
DKP,5
NLBV,5
UKR2,5
ES2P,5
17WC,5
RPLW,5
RS2f,5
P2RL,5
LETP,5
IN1L,5
C3NO,4
F19A,4
MO1N,4
RLSW,4
KO1,4
KAZP,4
L1,4
FIWC,4
GCQU,4
GE2P,4
AA17,4
SR1C,4
NL1,4
BIHP,4
BRNF,4
BRVE,4
BRCF,4
UNGP,4
BCPF,4
C20P,4
UKRA,4
SE1,4
SFA,4
POSB,4
CITP,4
ROPC,4
GB4,4
BRPE,4
ZYPA,4
DKRE,4
DK1,4
POBE,4
SK2,4
BRC2,4
RPLZ,4
JEMP,4
CZ3C,4
TS1,4
RPLU,4
SR1R,4
P232,3
CYP2,3
MT1P,3
MALC,3
NPFL,3
ALBP,3
ALB1,3
IRNP,3
IRN1,3
AJ3,3
BJ3,3
L2PO,3
LUXP,3
LUX1,3
MAZ1,3
MWP1,3
ACQU,3
FAYC,3
UI,3
KOP1,3
MRPO,3
RU17,3
NEDC,3
SFA1,3
SFAL,3
SU20,3
EURO,3
UNLA,3
CNNF,3
C3BF,3
KR2,3
SA2L,3
CYSC,3
PL2L,3
RECO,3
RPLS,3
COPA,3
RORE,3
SCP,3
SC1,3
ROCL,3
ofb,3
ITJE,3
ITJ3,3
RO2B,3
UA3L,3
BUEL,3
P23C,3
BRNP,3
ROMS,3
ITJ2,3
CILP,3
CPSB,3
C3VL,3
CZ21,3
SLAR,3
SLMR,3
ES3B,3
GRS2,3
DK2,3
C3IF,3
BRCE,3
INPP,3
R2AO,3
NLAE,2
NLJB,2
510,2
BE2E,2
IRN2,2
IRSC,2
POLU,2
RLN3,2
BPP,2
RLN4,2
3PTP,2
HEPO,2
MAL1,2
IRPO,2
IR1,2
POG3,2
IRLC,2
WFPO,2
TELK,2
PL32,2
PLJF,2
P23A,2
P23F,2
UZ1,2
A920,2
JPP1,2
CNLQ,2
JPL1,2
SAKC,2
C2,2
CHPR,2
PLSC,2
KLUB,2
P23Q,2
COLE,2
RTIP,2
SC1P,2
PR1A,2
PR1C,2
SCIJ,2
POSU,2
R2BP,2
MEXA,2
M20C,2
CLIY,2
MEX1,2
TS2,2
MNE1,2
MNEC,2
USC3,2
MLS1,2
NLBB,2
DKMR,2
1CY2,2
CNAT,2
UARP,2
TRS,2
BVP,2
THA1,2
SK2P,2
THFA,2
THLC,2
RSK1,2
SC2,2
ACLE,2
ITJP,2
IT3C,2
A1,2
FRR2,2
LTSC,2
GEPO,2
GE2H,2
GEO1,2
BRMA,2
LTU2,2
VIE1,2
RSK2,2
CZJ3,2
R3D2,2
R3D1,2
T1AR,2
CCL,2
CEF1,2
JAP2,2
DK2R,2
DOM1,2
MOP2,2
IRLP,2
SB19,2
ASCC,2
GEO2,2
E3FA,2
BRGO,2
MYSP,2
MYC1,2
MYS1,2
BCE1,2
CSUS,2
SE2,2
CPSA,2
MT1F,2
NLBE,2
CPSP,2
NLAP,1
NLJV,1
NLEV,1
NLAJ,1
19D9,1
19D3,1
AJ,1
19LA,1
W23C,1
BJ,1
RNME,1
HBPO,1
IS1,1
ML1P,1
MO1P,1
NLS6,1
NIRF,1
NIRE,1
NIR1,1
NIRC,1
NO42,1
NO32,1
E4G4,1
NILC,1
GB18,1
WALE,1
WAL1,1
KAZM,1
QFLC,1
KASC,1
CIR5,1
OLMR,1
PLJZ,1
POGR,1
C3GE,1
KOBU,1
CF20,1
23AF,1
A23Q,1
OLYM,1
FIL,1
HRSC,1
CO17,1
POSL,1
SL2,1
F19C,1
TFVP,1
OBLG,1
211F,1
211S,1
C3OC,1
PLJW,1
PL31,1
BI19,1
PHU2,1
UN2,1
F19B,1
E3PP,1
E4G2,1
brti,1
BRCM,1
GR20,1
UKRL,1
SE3S,1
NO44,1
JUSÖ,1
BOS2,1
BRDF,1
ATRO,1
SCI,1
