competition_id,n_players_with_match
CCB,625
BE1,613
FS,527
POBE,319
BE2,316
EJPL,310
ECLQ,231
ELQ,218
EL,216
U19Q,210
BPO4,190
U21Q,183
CL,160
U17Q,156
UCOL,153
ESJP,151
19YL,150
CLQ,148
BESC,142
EJPD,114
BE2E,114
FRC,110
NLP,77
BEL3,77
FR1,75
FR2,74
17EU,70
NL2,60
NL1,60
PLIC,60
WMQ6,60
FRYC,58
FIWC,57
BE3V,57
FAC,56
21EU,56
WMQ2,54
BE2A,51
VFVA,50
EMQ,50
VFVB,47
DFB,47
CGB,45
17WC,45
2NPP,43
AFCQ,43
BE3A,41
TDV,38
BE21,38
FRL,37
AFCN,37
GB1,34
GB2,34
BEY1,34
L2,33
L1,33
UNLA,33
BE3B,33
NLJB,32
CIT,32
PON2,31
IT1,31
GB21,30
FR3,30
20WC,30
CHAN,28
SCC,27
FR4A,26
C1,26
JEMP,26
FR4B,25
F19A,25
JAPC,25
FRR1,24
GBFL,24
UNLB,24
TR1,23
ofb,23
EURO,23
19EU,22
SU20,22
TRP,22
DKP,22
FR4C,22
JAP1,22
UNPO,21
DK1,21
ES1,21
NLVB,21
FR5I,20
NLAJ,20
A1,20
CDR,19
21PL,18
FAYC,18
GB18,18
IT2,18
FR4D,18
NLBJ,18
POWM,18
DKRE,18
L3,18
PONL,17
POEM,17
UNLC,17
DKDL,17
POPO,17
POCP,17
AFCL,17
A2,17
IJ1,16
A23Q,16
SE1,16
SEC,16
NOPO,16
20AC,16
FR5E,16
23AF,16
MLS1,15
FR5G,15
NO1,15
F19F,15
PO1,15
OLYM,15
JAP2,15
NLBE,14
NLJV,14
FR5H,14
CITP,14
PL1,14
WMQ1,14
DKMR,14
BEYO,14
SC1,14
FR5J,13
DKRQ,13
F19D,13
PO2,13
DKAR,13
SFA,13
GOCU,12
DFBJ,12
RLW3,12
FR5C,12
NLSC,12
GB3,12
CAFC,12
USMX,12
SER1,12
SERP,12
AJ2,11
POPU,11
CLI,11
181F,11
KLUB,11
AA17,11
AJ3,11
KRC,10
KR1,10
TS1,10
SLO1,10
NLBV,10
DK2,10
CS,10
181S,10
PT23,10
C2,10
BEYP,10
UNFI,10
FR5F,10
SCP,10
ACFF,9
POUS,9
E21P,9
CNNF,9
COPA,9
ITJE,9
TSP,9
ES2,9
AFAC,9
NLAP,9
NO2,9
EBEL,9
SL1,9
EAFC,9
18GB,9
BE5B,9
JASP,9
NLAE,8
SE2,8
FR5B,8
UNG1,8
FR5A,8
BJ2,8
SB19,8
BASU,8
MLSP,8
F19B,8
SKC,8
211F,7
LUXP,7
LUX1,7
GR1,7
L1PO,7
E3G2,7
ARCP,7
UNGP,7
B3AU,7
PTPR,7
EL1A,7
ECUP,7
SLP,7
CH18,7
ES2P,7
POCC,7
FRCH,7
19S2,7
