player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
463601,Guillaume Dietsch,9010,FCV Dender EH,Goalkeeper,25,France,30,10,5,18,373,141,12484,0,0,0,0,5,15,2016,2025
717604,Luc Marijnissen,354,KV Mechelen,Centre-Back,23,Netherlands,0,8,7,16,307,136,10845,4,1,45,14,15,0,2019,2026
193256,Gauthier Gallon,9010,FCV Dender EH,Goalkeeper,33,France,93,15,6,14,596,275,24586,0,1,1,0,22,0,2011,2025
706859,Louis Fortin,9010,FCV Dender EH,Goalkeeper,24,Belgium,1,6,3,14,330,34,3015,0,0,0,0,3,0,2021,2026
288259,Michael Verrips,9010,FCV Dender EH,Goalkeeper,29,Netherlands,34,16,14,22,549,232,20628,0,0,0,0,10,8,2011,2026
452296,Joedrick Pupe,475,Sint-Truidense VV,Centre-Back,29,Belgium,23,10,9,15,341,148,11984,3,8,57,14,38,0,2016,2026
579084,Fabio Ferraro,968,KVC Westerlo,Left-Back,23,Belgium,88,8,4,8,189,110,6936,7,10,67,24,7,7,2017,2026
1071138,Benjamin Fredrick,9010,FCV Dender EH,Centre-Back,20,Nigeria,22,4,4,13,123,48,3925,0,3,9,2,4,18,2022,2025
921995,Luc De Fougerolles,9010,FCV Dender EH,Centre-Back,20,Canada,44,5,4,20,263,120,8612,1,8,29,7,21,18,2021,2025
340162,Kobe Cools,9010,FCV Dender EH,Centre-Back,28,Belgium,21,14,6,17,330,212,16914,13,3,70,28,35,0,2013,2026
790238,Bo De Kerf,9010,FCV Dender EH,Centre-Back,22,Belgium,6,7,5,8,170,130,9878,2,2,16,4,17,0,2020,2026
316709,Marsoni Sambu,9010,FCV Dender EH,Right-Back,29,Angola,70,13,6,9,383,293,21157,16,11,53,14,35,0,2013,2026
340487,Bryan Goncalves,9010,FCV Dender EH,Centre-Back,29,France,7,11,10,15,289,203,16452,15,11,48,13,49,0,2014,2025
1528441,Victoir Lembi,9010,FCV Dender EH,Centre-Back,20,Belgium,0,1,1,2,7,2,43,0,0,0,0,0,0,2025,2025
748808,Nail Moutha-Sebtaoui,9010,FCV Dender EH,Left-Back,20,Morocco,67,6,2,8,118,65,3959,1,4,17,5,8,2,2019,2026
743395,Noah Mbamba,9010,FCV Dender EH,Central Midfield,21,Belgium,17,7,7,19,317,131,7901,6,5,61,19,13,15,2019,2025
840688,Malcolm Viltard,9010,FCV Dender EH,Defensive Midfield,23,France,24,8,5,13,289,183,13064,11,6,38,10,33,0,2019,2026
400649,Roman Kvet,9010,FCV Dender EH,Central Midfield,28,Czech Republic,16,12,9,22,529,351,24205,52,21,245,88,59,5,2015,2026
481171,Nathan Rôdes,9010,FCV Dender EH,Defensive Midfield,28,Belgium,18,11,4,13,300,187,15214,10,4,80,21,13,0,2016,2026
471621,David Hrncar,9010,FCV Dender EH,Right Midfield,28,Slovakia,20,12,7,19,406,262,17715,36,51,198,69,18,1,2015,2026
393018,Kéres Masangu,9010,FCV Dender EH,Defensive Midfield,26,Belgium,0,12,8,17,344,144,8507,9,3,71,17,25,19,2015,2026
920209,Krzysztof Koton,9010,FCV Dender EH,Defensive Midfield,22,Poland,15,6,2,11,192,148,9345,12,9,12,4,14,3,2021,2026
951960,Amine Daali,9010,FCV Dender EH,Attacking Midfield,22,Belgium,45,4,3,7,81,23,997,1,2,7,4,3,0,2021,2026
497175,Aurélien Scheidler,172,Royal Charleroi SC,Centre-Forward,28,France,21,11,12,16,426,297,19647,83,16,345,132,42,0,2016,2026
707803,Desmond Acquah,9010,FCV Dender EH,Central Midfield,23,Belgium,23,4,3,7,163,86,4832,9,1,20,7,11,0,2022,2025
542338,David Toshevski,9010,FCV Dender EH,Centre-Forward,24,North Macedonia,9,11,10,23,278,147,7463,34,10,106,36,29,23,2016,2026
880330,Moïse Sahi Dion,9010,FCV Dender EH,Centre-Forward,24,Cote d'Ivoire,0,7,4,7,217,100,4385,35,4,118,55,0,1,2020,2026
410854,Ragnar Oratmangoen,9010,FCV Dender EH,Left Winger,28,Indonesia,26,11,9,19,438,283,17249,28,29,209,74,19,19,2015,2025
895402,Mohamed Berte,9010,FCV Dender EH,Second Striker,24,Belgium,90,7,4,9,197,141,6703,27,13,133,53,16,0,2020,2026
