competition_id,n_players_with_match
BOS1,566
BIHP,476
ECLQ,317
FS,298
ELQ,193
BI19,189
CLQ,160
KRC,148
BI17,145
U19Q,140
KR2,139
KR1,126
U17Q,124
BOS2,123
U21Q,115
BH2S,111
UCOL,101
BHSC,98
SERP,73
SER1,71
SL1,70
19YL,67
SLP,60
SER2,57
CR19,45
EL,40
SB19,34
17EU,32
PLIC,29
WMQ6,29
SR1C,28
EMQ,28
SR1R,27
SL2,25
CDR,25
ofb,23
MAZ1,19
CL,19
UNLB,19
SLO1,18
TRP,18
RO1,18
HRSC,17
CCB,17
SKC,17
A2,17
ZYP1,17
ROMP,17
UNG1,17
UNGP,17
RSER,17
POEM,17
TDV,16
A1,16
ES2,16
REKR,15
PVRR,15
BE1,15
PL1,15
CPO1,15
PVCR,15
GRP,14
KAS1,14
TR1,14
UNLA,14
LI1,13
LTVP,13
DFB,13
POPU,13
NLP,13
TR2,13
E3G1,13
BU1,12
ES2P,12
GR1,12
SB17,12
NMAP,11
POPO,11
AND1,11
NL1,11
TSP,11
CITP,10
PL2,10
NL2,10
SLMR,10
ALB1,10
ANDP,10
ES3A,10
21EU,10
17WC,10
POBE,10
SCC,9
BJ3,9
L2,9
POSL,9
E3G2,9
UKR1,9
ISPO,9
UNLC,9
CIT,9
RO1R,9
SK2,9
C1,8
ISR2,8
L3,8
UZ1,8
GEP1,8
SWEP,8
GE1N,8
JGD2,8
JGD3,8
ALBP,8
E4G5,8
ES1,8
NLBE,8
MNEC,8
MNE1,8
19EU,8
UKRP,8
TS1,8
KAZP,8
FRC,8
AZ1,7
ATRO,7
AFCQ,7
BULP,7
ISR1,7
POWM,7
IT2,7
FIWC,7
RU2,7
ZYPA,7
DKP,7
PO2,6
PT23,6
PO1,6
AJ3,6
IJ1,6
SAKC,6
KOBU,6
SA2L,6
SLAR,6
TS2,6
CEF1,6
ES3D,6
ES3B,6
ES3C,6
GB2,6
CGB,6
FAC,6
SEC,6
WMQ2,6
MALC,6
GBFL,6
NLJB,6
PON2,6
IT1,6
RO1C,6
BE2,6
RKPO,6
EJPL,6
DKRE,6
DK1,6
WER1,6
WRPO,6
GRS2,6
FR4D,6
AFCL,5
L1,5
2RHR,5
C2,5
MNP3,5
COPO,5
MT1N,5
RO2,5
CZ21,5
ANSC,5
E3PL,5
E3PP,5
IT3A,5
ITC4,5
CILP,5
NLAJ,5
SE2,5
ASPK,5
GB21,5
FAYC,5
NLBV,5
DFBJ,5
RSK1,5
A1EL,5
BVP,5
DK2,5
GB3,5
UEQ,4
POCP,4
RLB3,4
AJ,4
ITJE,4
FI1,4
CHC2,4
E4G1,4
IT3C,4
E3FI,4
KGPO,4
KG1L,4
RLN3,4
E3FD,4
A4K,4
E4G3,4
AFCN,4
MAL1,4
BRA4,4
BRC,4
GB18,4
ISRA,4
ITJ3,4
UNLD,4
RLW3,4
LTSC,4
RUP,4
RU1,4
SE1,4
POGR,4
ARPO,4
ARM1,4
ATRM,4
