player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1371501,Luís Gustavo,330,Clube Atlético Mineiro,Right-Back,20,Brazil,32,2,4,10,77,3,43,0,0,0,0,0,0,2024,2025
1116636,João Loiola,2462,Fluminense Football Club,Centre-Back,21,Brazil,41,4,4,10,140,42,3139,1,1,0,0,12,0,2022,2025
1083971,Lucas Eduardo,978,Clube de Regatas Vasco da Gama,Defensive Midfield,22,Brazil,0,7,4,9,140,31,1442,0,0,1,1,7,0,2019,2025
1004736,Figueiredo,1023,Sociedade Esportiva Palmeiras,Central Midfield,20,Brazil,38,5,2,10,184,19,956,4,1,2,1,1,4,2021,2025
531916,Pedro Henrique,2125,Esporte Clube Vitória,Centre-Forward,29,Brazil,9,11,12,18,380,261,16766,92,15,348,137,45,0,2015,2025
388519,Kike Saverio,2125,Esporte Clube Vitória,Left Winger,26,Ecuador,19,9,10,19,343,165,8209,20,10,68,28,11,1,2017,2025
1220465,Igor Toledo,330,Clube Atlético Mineiro,Defensive Midfield,20,Brazil,35,5,5,9,139,22,1062,1,0,0,0,4,0,2022,2026
62415,Panagiotis Tachtsidis,10997,Clube do Remo (PA),Defensive Midfield,35,Greece,77,20,19,41,906,481,33307,35,55,218,59,101,47,2007,2026
1064930,Freitas,10997,Clube do Remo (PA),Defensive Midfield,23,Brazil,35,6,4,11,139,30,1594,1,1,1,0,3,0,2020,2025
1083238,Gui Meira,609,Cruzeiro Esporte Clube,Attacking Midfield,21,Brazil,0,6,4,8,120,97,5731,14,5,5,1,13,0,2021,2026
964591,Naves,1023,Sociedade Esportiva Palmeiras,Centre-Back,24,Brazil,0,8,4,15,356,122,8833,3,0,33,6,26,0,2019,2026
1019701,Pedrão,609,Cruzeiro Esporte Clube,Centre-Back,22,Brazil,0,6,4,15,293,69,5581,6,1,1,0,8,0,2015,2025
720294,Lautaro Díaz,609,Cruzeiro Esporte Clube,Centre-Forward,28,Argentina,0,8,6,17,319,197,10381,35,15,184,72,12,0,2018,2025
1083245,Murilo Rhikman,609,Cruzeiro Esporte Clube,Defensive Midfield,20,Brazil,35,4,3,11,179,73,4373,2,2,1,0,11,3,2022,2025
742034,Léo Linck,537,Botafogo de Futebol e Regatas,Goalkeeper,25,Brazil,24,8,4,15,351,114,10047,0,0,0,0,6,3,2019,2026
1083600,Nathan Fernandes,537,Botafogo de Futebol e Regatas,Right Winger,21,Brazil,16,6,4,16,239,97,3127,7,5,47,22,9,5,2021,2026
195810,Bastos,537,Botafogo de Futebol e Regatas,Centre-Back,35,Angola,15,17,6,30,726,368,29622,25,3,69,22,66,50,2009,2025
1116834,Samuel,330,Clube Atlético Mineiro,Centre-Back,20,Brazil,34,4,4,10,176,41,2839,1,0,0,0,3,0,2022,2025
1083635,Davi Schuindt,2462,Fluminense Football Club,Centre-Back,22,Brazil,40,6,3,9,172,19,1437,0,0,1,1,3,0,2021,2026
