competition_id,n_players_with_match
C1,577
SCC,533
FS,420
ECLQ,317
CHPR,248
ELQ,240
CH18,229
C2,224
CHUC,216
U19Q,189
CH17,189
CLQ,182
UCOL,163
EL,161
U21Q,157
U17Q,152
C191,136
C19C,122
C18E,116
CHC1,114
BASU,105
19YL,104
CHC2,99
SU20,94
CL,89
C9EP,86
FRC,81
DFB,80
CHC3,78
FR1,70
L1,61
SUIP,60
WMQ6,56
EMQ,56
L2,56
C17C,54
17EU,54
FR2,48
21EU,39
17WC,38
CIT,38
C9PO,38
C17P,37
IT1,37
LIEP,36
CCB,36
FIWC,35
SUIC,35
FRL,34
CHP2,32
BE1,32
FAC,31
AFCQ,29
WMQ2,29
FRYC,29
C9PL,28
DFBJ,28
EURO,28
ofb,28
CITP,28
CHP1,27
CGB,27
L3,27
UNLA,27
A1,26
PLIC,26
IJ1,26
GB2,25
GB1,23
CIR2,23
AJ3,22
AFCN,22
20WC,21
POWM,21
RLB3,21
CIR1,21
19EU,20
UNLC,19
IT2,19
GB21,19
NLP,19
ITJE,19
C7PO,18
BJ3,18
FR4D,18
MLS1,18
ES2,17
BE2,17
FR4B,17
C7PL,16
L1PO,16
NL1,16
C3P1,16
RLSW,16
TR1,16
FR3,16
CDR,16
CHAN,15
EJPL,15
F17M,15
A2,14
TDV,14
ITJ7,14
GBFL,14
RLW3,14
PO1,14
FR4C,14
FR4A,14
FR5A,14
ES1,14
FRR1,14
GRP,13
GR1,13
NL2,13
UNLB,13
FR5E,13
PL1,12
21PL,12
UNPO,12
L2PO,11
UNLD,11
FAYC,11
GB18,11
C3P3,11
RLN3,11
USMX,11
TRP,11
CIR3,11
SEC,11
SE1,11
F19F,11
POEM,10
CR3,10
CR2,10
SC1,10
POPU,10
BVP,10
POBE,10
GOCU,10
KLUB,10
AJ2,10
WMQ3,10
FR5D,10
POGR,9
ZYP1,9
IT3A,9
POPO,9
FR5G,9
MLSP,9
FR5C,9
ACL,9
CAFC,9
ITJF,9
NLJB,9
