competition_id,n_players_with_match
CDN1,217
CAN,213
CAPL,114
CCL,105
FS,77
USL,41
MLS1,41
C220,37
MNP3,32
CO17,28
MLSP,25
POUS,24
USMX,23
USLP,22
17WC,22
CAN1,20
CA1F,20
NCD1,19
C20Q,18
COLE,15
GOCU,12
WMQ3,11
MNPP,11
MEXA,10
MEX1,10
POMX,10
U19Q,9
FRC,9
POME,9
OLCC,8
CNLA,8
M20A,8
FR2,7
TDV,7
19YL,7
NLBE,7
USSP,7
M20C,7
NL1,7
AFCQ,6
20WC,6
GB21,6
PLIC,6
ELQ,6
NOPO,6
M23C,6
M2L2,6
M2L1,6
CPMX,6
SEC,6
MXCC,6
MXCA,6
MEXB,6
MEX2,6
NLP,6
USLC,6
FAC,6
CN2D,5
CN2C,5
WMQ2,5
FRL,5
U21Q,5
21PL,5
FAYC,5
NLJB,5
BE1,5
CNLB,5
NO1,5
USC3,5
M23A,5
CS,5
MXBA,5
MXBC,5
NLBV,5
CGB,5
GBFL,5
FRYC,4
FR3,4
CPO1,4
U17Q,4
NLJV,4
BE2,4
DFB,4
CNLQ,4
NL2,4
GCQU,4
UL2P,4
C3VL,3
FR1,3
C3CM,3
C3IF,3
ZYPA,3
ZYP1,3
ECLQ,3
IT3B,3
CILP,3
CITP,3
GB18,3
SC1,3
SFA,3
SCP,3
SCPM,3
WMQ1,3
NLAE,3
L1,3
CCB,3
CN2B,3
CN2A,3
CAMC,3
M21C,3
IR1,3
CLI,3
KLUB,3
PON2,3
NLBA,3
NLBB,3
NLAJ,3
GB4,3
NLEV,3
SE1,3
L3,3
MLSR,3
GB2,3
CIT,3
IT1,3
AFCN,2
21EU,2
SER1,2
SERP,2
GRS2,2
ALB1,2
CLQ,2
E21P,2
ALBP,2
IT3C,2
IT3O,2
IJ2B,2
SCPA,2
NASC,2
NAFC,2
NAPL,2
NLBP,2
BEL3,2
POBE,2
L2,2
EL,2
LI1,2
F19A,2
CL,2
LTVP,2
ITJ7,2
ITC4,2
IT4I,2
ITJ4,2
POPO,2
AJ2,2
M21A,2
M2LC,2
SE2,2
FI1,2
FIS,2
IRPO,2
F1CC,2
NO2,2
ES2,2
CDR,2
KR2,2
LETP,2
LET1,2
DKP,2
CACG,2
OLYM,2
MXSC,2
SC14,2
NZL1,2
A2VI,2
ACQU,2
FARQ,2
SPjr,2
CB20,2
ACL,2
FFAC,2
AUSF,2
AUS1,2
19EU,2
ELSA,2
RLSW,2
RLN3,2
POPU,2
UCOL,2
GB1,2
SC2,2
SSC,2
SC4,2
RLN4,2
SAPO,2
17EU,2
GB3,2
IT2,2
P3As,2
EGYP,2
20AC,2
P3Au,2
EGY1,2
POCP,2
PT3A,2
BU1,2
BULP,2
F19F,2
C3NO,2
CNNF,2
TS1,1
TS2,1
TSP,1
CZ3M,1
CHAN,1
C3OC,1
SR1R,1
C3NA,1
BIHP,1
BOS1,1
PVCR,1
S2PA,1
SER2,1
ALBS,1
ALP3,1
GR20,1
SMR1,1
SMRP,1
SMP1,1
18GB,1
QEC1,1
QU2L,1
UAEP,1
BE2E,1
RLW3,1
EJPL,1
BPO4,1
FRCH,1
IT4C,1
ITJ8,1
M23L,1
VEC1,1
VZ1C,1
VZOC,1
VZ1A,1
ES3B,1
ES3P,1
NO32,1
FAPO,1
NO44,1
N3P2,1
FARO,1
TR2,1
ES1P,1
TRP,1
ES3C,1
E3G2,1
21MA,1
KRC,1
CR19,1
UNG1,1
RU1,1
RUP,1
LTSC,1
UNGP,1
RU2,1
CL2B,1
CH1C,1
CHDP,1
CHIÜ,1
CLPD,1
CH2C,1
DK1,1
DKMR,1
DKRE,1
DKPL,1
DKDL,1
DKRQ,1
M20H,1
ANDP,1
CONC,1
CA16,1
AND1,1
A2,1
ofb,1
ESTR,1
EST3,1
ELME,1
EST2,1
ELMP,1
EST1,1
EE19,1
ESTP,1
ES17,1
TRIN,1
SAC1,1
AFAC,1
AJ1,1
DFBJ,1
BJ1,1
19S2,1
19S1,1
DK3O,1
EC2L,1
EL1S,1
ECUP,1
ECP2,1
EC1N,1
EL1A,1
2SAM,1
COBI,1
PER2,1
PERF,1
PERE,1
OLCF,1
TDeA,1
TDeC,1
VLBE,1
MARP,1
BESC,1
MAR1,1
OLRP,1
S2PO,1
C17Q,1
CO2T,1
COPO,1
CO22,1
AFCL,1
A23Q,1
JUNO,1
510,1
S21P,1
JUSL,1
RESE,1
IJ1,1
NO42,1
BU2,1
AU3C,1
A2SW,1
NPVF,1
AJ3,1
WFVP,1
OBLK,1
ARRN,1
PL34,1
PL2L,1
MAL1,1
MALC,1
CNAT,1
NLC,1
POSD,1
SC3,1
AFSE,1
OF19,1
BVP,1
TFVP,1
L2PO,1
VLW1,1
SHPO,1
WFPO,1
OBLG,1
LBSO,1
GBKN,1
NO45,1
S21S,1
GBQ1,1
IJ2A,1
FIL,1
NCL1,1
F4LA,1
OO23,1
NZP1,1
NNL1,1
NZNL,1
URUP,1
URUC,1
URU1,1
POGR,1
URP1,1
GRP,1
URPL,1
GR1,1
URU3,1
URU2,1
212F,1
EGLC,1
3PTP,1
PO2,1
EGRP,1
C3GE,1
F19B,1
SKC,1
SLMR,1
SLO1,1
ITJF,1
IRLC,1
PL1,1
211F,1
NLBJ,1
211S,1
NLVB,1
CCC1,1
E3PL,1
P232,1
PO1,1
PT23,1
BULS,1
C3HF,1
NLS6,1
IT3P,1
IT4H,1
MWP1,1
MO1N,1
MOP2,1
TUNP,1
TUN1,1
SA2L,1
CAFS,1
CAFC,1
TUNM,1
LUXP,1
C3BF,1
LUX1,1
ISL,1
IS2,1
ISP,1
