player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
918989,Max Piepgrass,68221,Pacific FC,Midfield,22,Canada,0,4,2,4,87,24,1228,1,1,11,2,4,0,2020,2025
351025,Erling Myklebust,79097,Atlético Ottawa,Centre-Forward,30,Norway,9,13,7,11,325,241,15769,94,16,3,2,23,0,2013,2025
806684,Justin Araujo-Wilson,79097,Atlético Ottawa,Centre-Forward,23,Trinidad and Tobago,0,8,5,5,246,138,7247,25,4,12,4,17,3,2018,2026
1250604,Matheus de Souza,94560,Vancouver FC,Goalkeeper,20,Canada,34,3,2,4,40,1,90,0,0,0,0,0,0,2023,2025
798768,Bakary Kaboré,136159,FC Supra du Québec,Right Winger,25,France,19,5,4,7,120,26,1089,0,2,6,0,1,0,2018,2025
1539765,Damian Jamal-Olander,68221,Pacific FC,Midfield,18,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1393222,Emrick Fotsing,94560,Vancouver FC,Central Midfield,18,Canada,17,2,2,6,70,46,2757,7,1,30,11,6,7,2024,2025
1393221,Henri Godbout,94560,Vancouver FC,Right Winger,21,United States,24,2,1,3,44,23,723,1,0,14,3,2,0,2024,2025
1017421,Tyler Crawford,94560,Vancouver FC,Left-Back,22,Canada,12,4,1,3,111,40,1909,0,0,4,1,1,0,2022,2025
1002284,Dino Bontis,68029,Forge FC,Goalkeeper,22,Canada,36,5,1,6,107,1,89,0,0,0,0,0,0,2019,2025
371816,Dimitry Bertaud,68029,Forge FC,Goalkeeper,28,DR Congo,16,13,4,21,553,165,14320,0,0,0,0,4,25,2013,2025
403534,Rezart Rama,68029,Forge FC,Right-Back,25,Albania,24,10,5,18,369,209,16179,4,6,50,10,48,25,2015,2025
990800,Jay Herdman,67000,Cavalry FC,Attacking Midfield,22,New Zealand,11,5,4,11,194,104,5807,16,13,28,12,12,17,2021,2025
1510613,Noah Bickford,68029,Forge FC,Defender,22,Canada,0,1,1,2,4,2,3,0,0,0,0,0,0,2025,2025
586895,Marko Jevremović,68029,Forge FC,Left-Back,30,Croatia,3,8,6,16,287,217,16730,5,31,66,20,37,1,2018,2025
1375241,Alexander White,68029,Forge FC,Right-Back,18,El Salvador,0,2,1,4,17,3,156,0,0,0,0,1,3,2024,2025
503782,Ben Paton,68029,Forge FC,Left Midfield,26,Canada,6,9,4,15,271,132,8191,9,10,74,26,8,0,2016,2025
971614,Maxime Bourgeois,68029,Forge FC,Right-Back,24,Canada,87,2,1,4,30,22,1083,0,2,4,0,3,3,2018,2025
916422,Anthony Aromatario,68029,Forge FC,Central Midfield,23,Canada,23,4,4,12,155,68,4737,0,1,1,0,22,0,2021,2025
985695,Noah Jensen,68029,Forge FC,Central Midfield,27,Canada,22,7,2,5,169,135,5679,14,7,119,44,6,0,2019,2025
1130259,Khadim Kane,68029,Forge FC,Defensive Midfield,21,Canada,64,4,1,5,136,48,1260,1,0,16,3,5,2,2022,2025
218451,Kyle Bekker,68029,Forge FC,Central Midfield,35,Canada,10,16,9,19,545,397,29038,40,56,290,85,43,22,2010,2025
364640,Mo Babouli,68029,Forge FC,Attacking Midfield,33,Syria,18,10,5,13,321,208,14219,46,21,224,84,25,6,2014,2025
