player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
950627,Francisco Rivera,2433,CSD Colo-Colo,Right Winger,22,Chile,0,4,4,5,60,17,855,2,2,2,0,0,0,2020,2025
1149105,Rodrigo Dubó,5747,Deportes La Serena,Left Winger,22,Chile,0,4,2,6,92,26,1125,1,0,1,1,8,0,2022,2025
950591,Benjamín Morales,2433,CSD Colo-Colo,Goalkeeper,22,Chile,0,4,3,3,29,1,90,0,0,0,0,0,0,2020,2024
1242977,Martín Ramírez Alfaro,14604,Deportes Concepción,Centre-Back,21,Chile,0,2,1,5,43,3,11,0,0,0,0,0,0,2024,2025
1003912,Ignacio Sáez,5747,Deportes La Serena,Goalkeeper,20,Chile,0,5,3,11,159,32,2880,0,0,0,0,0,9,2021,2025
877255,Cristóbal Castillo,11470,CD O'Higgins,Defensive Midfield,23,Chile,17,6,3,10,216,91,5466,0,0,9,2,17,13,2020,2025
910009,Jonathan Espínola,14604,Deportes Concepción,Left-Back,24,Paraguay,0,6,2,8,170,41,2352,2,2,1,0,5,0,2020,2025
189785,Gabriel Castellón,1037,Club Universidad de Chile,Goalkeeper,32,Chile,25,13,3,17,510,299,26748,0,2,2,1,29,0,2013,2025
1202655,Dilan Acevedo,14604,Deportes Concepción,Central Midfield,22,Chile,0,4,3,4,48,18,1193,1,1,0,0,0,0,2022,2025
841340,Marcelo Morales,1037,Club Universidad de Chile,Left-Back,23,Chile,14,7,3,13,247,154,11699,4,21,98,30,43,10,2019,2025
667616,Franco Calderón,1037,Club Universidad de Chile,Centre-Back,28,Argentina,2,8,2,11,282,229,19596,9,0,88,27,53,0,2018,2025
371988,Fabián Hormazábal,1037,Club Universidad de Chile,Right-Back,30,Chile,17,12,4,14,439,272,19708,15,24,181,60,38,10,2014,2025
72903,Cristopher Toselli,1037,Club Universidad de Chile,Goalkeeper,38,Chile,1,20,6,27,1066,387,34623,0,1,0,0,35,21,2006,2025
418464,Nicolás Ramírez,1037,Club Universidad de Chile,Centre-Back,29,Chile,5,12,4,16,430,268,21730,4,2,58,17,33,15,2013,2025
980152,Bianneider Tamayo,1037,Club Universidad de Chile,Centre-Back,21,Venezuela,31,5,4,14,170,64,4962,3,1,21,6,16,6,2021,2025
929851,Felipe Salomoni,1037,Club Universidad de Chile,Left-Back,23,Argentina,0,6,5,17,193,108,5549,1,11,32,8,12,0,2020,2025
168259,Matías Zaldivia,1037,Club Universidad de Chile,Centre-Back,35,Chile,22,16,4,20,685,388,31413,21,11,125,40,108,1,2010,2025
549597,Nicolás Fernández,1037,Club Universidad de Chile,Right-Back,26,Chile,6,10,2,13,393,226,15490,1,14,44,12,29,19,2016,2025
1450798,Agustín Korn,1037,Club Universidad de Chile,Left-Back,19,Chile,0,2,1,4,11,0,0,0,0,0,0,0,0,2024,2025
1119920,Diego Vargas,1037,Club Universidad de Chile,Left-Back,19,Chile,4,3,1,7,79,10,521,0,0,1,0,0,3,2022,2025
718213,Lucas Assadi,1037,Club Universidad de Chile,Attacking Midfield,22,Chile,10,7,1,13,272,164,7668,23,13,139,52,7,18,2018,2025
