competition_id,n_players_with_match
COLP,547
COPO,543
COL1,508
COLF,403
CS,366
COLO,360
CLI,330
CO2T,292
CO22,222
COSP,210
CO2P,170
FS,162
C2P2,140
2SAM,70
C1P1,66
ARCA,63
AR1N,57
WMQ4,55
MEXA,49
20WC,46
MEX1,46
BRC,44
BRA1,44
USMX,38
CDLP,37
CCL,34
COPA,33
POPO,30
MLS1,29
POMX,29
MLSP,28
ARG1,28
POME,28
RECO,26
CA16,25
CLIY,25
POUS,24
MXCC,24
VZ1C,23
VZ1A,23
ARG2,22
ARGC,22
M20A,22
CDR,22
ARLC,22
EL,21
URU1,21
URUC,21
17WC,21
CDCA,21
C1P2,21
CLQ,20
MXCA,20
BRA2,20
KLUB,20
PO1,20
ELQ,19
URUI,19
SAM2,19
POCP,19
FIWC,18
SAM7,18
URP1,18
OLCF,18
CL,17
ES2,17
VEC1,17
CH1C,17
MNP3,16
TDV,16
VZOA,16
ECUP,15
M20C,14
CLPD,14
PR1A,14
PR1C,14
MXSC,13
CPMX,13
EL1S,13
ES1,13
VZOC,13
SCAG,13
VZ1P,13
EL1A,12
BO1A,11
URUP,11
URU2,11
CACG,11
PN1A,11
PO2,11
SURU,11
USL,10
ARY3,10
A2TP,10
TDCS,10
PN1C,10
BCP1,10
ECLQ,10
IT1,9
CIT,9
URSC,9
A1P1,9
MEXB,9
TDeC,9
BRGO,9
TRP,9
TR1,9
PN1F,9
PT23,9
CCB,9
AR2T,8
BCPF,8
TDeA,8
SCIN,8
A1P2,8
BRVE,8
EC1N,8
USLP,7
SA1,7
GB1,7
CGB,7
BRCG,7
BRPR,7
BRCM,7
MEX2,7
VZ1L,7
SC14,7
MARG,7
GRP,7
SAKC,6
FR1,6
FRC,6
FAC,6
BRCF,6
PNF1,6
BRRS,6
OLYM,6
PR1P,6
COBI,6
BE1,6
BRNE,6
GR1,6
USSP,5
UALC,5
UAEP,5
BRCR,5
LPPL,5
MXBA,5
KRC,5
COLE,5
USLC,5
CAMC,5
CL2B,5
ES1P,5
UAE1,4
GBCS,4
IT2,4
CITP,4
GRS2,4
EC2L,4
CPO1,4
ZYP1,4
HOC1,4
CHL1,4
KR1,4
ACLE,4
RU1,4
ECSE,4
ECPE,4
M23C,4
M2L2,4
CLPI,4
POSU,4
BE2,4
BRCE,4
S1PO,4
USC3,4
P23C,4
PER2,4
AFCL,3
FRL,3
URUE,3
BRA4,3
MNPP,3
S2PO,3
GB2,3
CDCO,3
RS2f,3
HOCP,3
CCAC,3
HO1A,3
MXBC,3
BO1C,3
MYS1,3
MYC1,3
GB21,3
RUP,3
URU3,3
SLP2,3
SL1C,3
M21A,3
ES3C,3
BRNF,3
CB20,3
DOMP,3
DO1P,3
DOM1,3
CL2P,3
