player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
988408,Kevin Cataño,17425,Internacional de Bogotá,Goalkeeper,23,Colombia,33,5,3,9,196,90,8041,0,0,0,0,12,0,2021,2025
260381,Dairon Asprilla,8172,Atlético Nacional,Right Winger,33,Colombia,27,16,6,18,708,423,22875,83,37,395,139,54,0,2010,2025
652707,Harlen Castillo,8172,Atlético Nacional,Goalkeeper,32,Colombia,15,12,3,14,538,236,20803,0,2,1,0,15,0,2014,2025
470324,Juan Bauzá,8172,Atlético Nacional,Attacking Midfield,29,Argentina,30,11,11,26,394,249,14902,39,28,173,62,24,0,2016,2026
73396,David Ospina,8172,Atlético Nacional,Goalkeeper,37,Colombia,1,23,6,36,1180,622,54799,0,3,0,0,28,132,2004,2026
189425,Guillermo de Amores,2350,Millonarios FC,Goalkeeper,31,Uruguay,1,16,9,28,656,254,22578,0,1,0,0,13,10,2010,2025
178118,Diego Novoa,6495,Atlético Bucaramanga,Goalkeeper,37,Colombia,12,17,4,9,840,390,34739,1,0,2,0,42,0,2009,2025
465677,Edgar Elizalde,2350,Millonarios FC,Centre-Back,26,Uruguay,4,10,11,31,495,164,12115,3,2,27,3,43,19,2016,2025
977089,Beckham Castro,2350,Millonarios FC,Left Winger,22,Colombia,11,6,4,12,218,139,6973,28,11,142,57,12,0,2021,2026
332558,Nicolás Giraldo,39252,Jaguares de Córdoba,Left-Back,33,Colombia,0,13,11,12,496,193,13166,0,7,74,14,35,0,2013,2025
356455,Jorge Soto,20590,Rionegro Águilas,Goalkeeper,33,Colombia,1,12,8,12,513,209,18643,0,1,1,0,19,0,2014,2025
911946,Jorge Hurtado,10503,Deportes Tolima,Centre-Forward,22,Colombia,7,6,9,24,272,118,6354,25,9,75,34,26,20,2020,2025
74421,Andrés Mosquera,20590,Rionegro Águilas,Centre-Back,36,Colombia,4,19,7,20,853,505,41252,21,11,70,10,77,3,2006,2025
1343067,Joel Sebastián Romero,2352,CD América de Cali,Central Midfield,20,Colombia,25,3,2,10,117,48,2049,1,1,27,6,5,8,2024,2026
304870,Álex Castro,2350,Millonarios FC,Left Winger,32,Colombia,33,14,8,17,605,443,27417,34,56,170,59,72,0,2012,2025
978950,Jhomier Guerrero,2350,Millonarios FC,Right-Back,25,Colombia,34,5,4,11,211,160,12474,4,6,68,15,24,0,2021,2025
1210202,Yojan Garcés,17425,Internacional de Bogotá,Centre-Forward,20,Colombia,21,4,2,7,167,62,2033,7,4,36,13,11,2,2022,2025
572044,José Ortiz,6495,Atlético Bucaramanga,Centre-Back,27,Colombia,24,10,9,15,442,306,25059,10,6,57,16,60,0,2016,2025
796973,Lucas Monzón,11854,Junior FC,Centre-Back,24,Uruguay,33,7,7,19,311,129,9878,2,0,7,3,32,1,2019,2025
224009,José Luis Chunga,10093,Independiente Medellín,Goalkeeper,34,Colombia,0,17,4,10,963,176,15288,2,0,2,1,13,3,2009,2025
312575,Daniel Londoño,6984,Once Caldas,Left-Back,31,Colombia,30,11,6,12,517,326,26676,13,12,146,40,76,4,2013,2025
480684,Leyser Chaverra,9961,Deportivo Cali,Right-Back,29,Colombia,15,12,4,13,452,271,21240,24,13,87,26,42,12,2014,2025
1127950,Juan Viveros,10093,Independiente Medellín,Right-Back,21,Colombia,88,4,3,6,122,73,6008,4,3,1,1,13,0,2022,2025
657092,Francisco Chaverra,2350,Millonarios FC,Left Winger,26,Colombia,13,8,5,8,327,244,15700,34,21,258,78,53,0,2018,2025
337921,Francisco Fydriszewski,11854,Junior FC,Centre-Forward,33,Argentina,0,13,11,20,503,311,22410,116,29,575,230,72,0,2013,2025
992869,Yeicar Perlaza,8172,Atlético Nacional,Right-Back,23,Colombia,27,5,3,8,188,79,3153,2,3,31,16,7,0,2021,2025
613201,Edwin Mosquera,11648,Independiente Santa Fe,Left Winger,24,Colombia,22,9,9,20,335,175,7124,11,13,122,44,31,6,2017,2025
650824,Jhon Meléndez,20590,Rionegro Águilas,Right Winger,24,Colombia,13,8,3,11,345,183,10763,12,8,20,4,20,0,2018,2025
189393,Andrés Correa,6984,Once Caldas,Left-Back,32,Colombia,3,15,8,14,722,375,30656,3,20,107,27,86,6,2011,2025
641122,Marco Espíndola,9961,Deportivo Cali,Goalkeeper,27,Colombia,0,8,5,10,264,55,4886,0,0,0,0,11,0,2018,2025
260377,Felipe Aguilar,9961,Deportivo Cali,Centre-Back,33,Colombia,2,16,9,26,882,347,27847,7,4,48,12,73,9,2010,2025
331057,Luis Orejuela,9961,Deportivo Cali,Right-Back,30,Colombia,28,14,9,29,703,289,21030,11,10,63,14,46,14,2012,2025
655335,Yani Quintero,2352,CD América de Cali,Defensive Midfield,24,Colombia,18,9,7,14,284,106,5673,2,3,22,5,16,4,2011,2025
203138,Julián Quiñónes,10090,Asociación Deportivo Pasto,Centre-Back,36,Colombia,0,17,4,8,928,469,38477,28,6,111,30,128,0,2009,2025
648309,Andrés Colorado,6984,Once Caldas,Defensive Midfield,27,Colombia,23,10,7,21,414,208,12291,12,10,104,36,50,1,2016,2025
260740,Iván Arboleda,20590,Rionegro Águilas,Goalkeeper,30,Colombia,1,14,9,23,548,160,14049,0,0,0,0,22,1,2012,2025
1179859,Jhon Aponzá,9961,Deportivo Cali,Centre-Forward,20,Colombia,11,4,2,5,107,76,5139,12,1,15,1,14,0,2022,2025
655631,Andrés Salazar,20590,Rionegro Águilas,Goalkeeper,32,Colombia,12,15,11,19,442,126,11265,0,0,0,0,21,0,2011,2025
943604,Diego Hernández,20590,Rionegro Águilas,Centre-Back,25,Colombia,5,8,6,11,238,159,12178,5,2,37,9,39,0,2018,2026
421194,Joaquín Varela,10093,Independiente Medellín,Centre-Back,28,Uruguay,5,12,10,19,399,191,14853,15,3,30,12,45,5,2014,2025
146215,Hernán Lópes,13379,Cúcuta Deportivo,Centre-Back,35,Argentina,0,16,12,19,475,275,22712,5,4,39,6,64,0,2009,2025
1071293,Jorge Rivaldo,20590,Rionegro Águilas,Centre-Forward,22,Colombia,9,5,4,8,131,64,3449,26,1,63,28,7,0,2021,2025
756981,Cristián Cañozales,20590,Rionegro Águilas,Right Winger,27,Colombia,11,7,9,16,210,127,7275,21,5,59,24,25,0,2019,2025
414773,Jorge Obregón,10090,Asociación Deportivo Pasto,Centre-Forward,29,Colombia,0,12,10,18,467,275,13445,47,19,224,79,22,8,2014,2025
214269,Bryan Urueña,20590,Rionegro Águilas,Left Winger,33,Colombia,0,15,10,16,570,254,18559,21,32,38,11,18,0,2011,2025
1068272,Cristian Caicedo,20590,Rionegro Águilas,Right Winger,24,Colombia,0,4,5,9,153,64,3235,10,1,8,2,5,0,2022,2025
868074,Kalazán Suárez,9961,Deportivo Cali,Left-Back,24,Colombia,24,7,6,11,236,141,11260,7,5,11,1,27,2,2019,2025
1223490,Dereck Moncada,17425,Internacional de Bogotá,Right Winger,18,Honduras,18,4,3,13,146,75,3912,18,6,52,16,11,8,2023,2026
989926,Kevin Parra,8172,Atlético Nacional,Left Winger,23,Colombia,0,5,4,9,177,117,6872,12,13,110,43,9,0,2021,2025
1106878,Juan Valencia,17425,Internacional de Bogotá,Centre-Forward,22,Colombia,9,5,3,8,138,90,4452,21,8,33,16,12,0,2022,2026
392763,Ian Poveda,8172,Atlético Nacional,Right Winger,26,Colombia,0,11,13,21,580,232,12479,40,28,159,58,16,36,2015,2025
332056,James Aguirre,2350,Millonarios FC,Goalkeeper,34,Colombia,12,15,3,8,548,224,19723,0,0,0,0,33,0,2011,2025
1054917,Kevin Cuesta,6984,Once Caldas,Centre-Back,26,Colombia,23,7,7,9,191,108,8977,7,1,28,11,32,0,2019,2026
848561,Yeferson Rodallega,7136,Envigado FC,Left-Back,25,Colombia,0,8,4,9,283,120,8660,2,7,14,1,8,0,2018,2025
1106881,Kevin Tamayo,13379,Cúcuta Deportivo,Left-Back,26,Colombia,0,4,4,7,155,103,7712,0,3,24,7,14,0,2022,2025
572818,Robert Mejía,6984,Once Caldas,Defensive Midfield,25,Colombia,88,12,7,16,353,238,17834,8,3,120,27,64,13,2015,2026
474677,Iván Rojas,20590,Rionegro Águilas,Defensive Midfield,29,Colombia,6,12,4,9,499,375,26158,10,9,72,19,68,5,2011,2025
648483,Luis Sánchez,10503,Deportes Tolima,Attacking Midfield,25,Colombia,10,8,6,11,384,175,9285,18,9,162,55,14,0,2018,2025
686718,Johan Beltrán,39252,Jaguares de Córdoba,Attacking Midfield,26,Colombia,0,8,3,8,281,99,3570,7,4,43,13,13,0,2011,2025
352566,Déinner Quiñones,22902,Alianza FC,Right Winger,31,Colombia,10,14,14,24,602,347,17201,24,40,169,59,20,11,2012,2025
1007972,Élan Ricardo,10503,Deportes Tolima,Central Midfield,22,Colombia,14,6,4,11,174,61,3783,9,3,77,21,8,0,2021,2026
1031802,Juan Torres,10503,Deportes Tolima,Attacking Midfield,21,Colombia,10,6,3,9,236,113,5636,15,13,126,54,16,0,2021,2026
260391,Juan Pablo Nieto,6984,Once Caldas,Central Midfield,33,Colombia,0,15,4,11,862,418,26739,23,25,171,55,52,5,2011,2025
772843,Jersson González,10503,Deportes Tolima,Right Winger,24,Colombia,7,8,4,11,344,198,10073,27,19,150,62,21,2,2019,2026
366711,Israel Alba,22902,Alianza FC,Right-Back,31,Colombia,0,14,9,9,518,284,22554,13,10,170,57,45,0,2012,2025
653441,Carlos de las Salas,6495,Atlético Bucaramanga,Left-Back,28,Colombia,25,10,5,9,320,224,19156,12,4,40,11,50,0,2016,2025
189390,Jefferson Mena,14649,Boyacá Chicó FC,Centre-Back,37,Colombia,2,17,8,16,735,370,29564,12,1,57,14,69,0,2009,2025
422990,Faber Gil,39252,Jaguares de Córdoba,Right Winger,31,Colombia,0,11,10,19,392,238,13336,21,17,119,44,30,0,2013,2025
1434659,Gleyfer Medina,6495,Atlético Bucaramanga,Centre-Forward,21,Colombia,13,2,1,5,54,25,398,3,0,10,2,2,0,2024,2025
465647,Miguel Ortega,10503,Deportes Tolima,Goalkeeper,31,Mexico,13,12,7,20,618,148,13039,5,0,0,0,13,0,2014,2025
655427,Edwin Laszo,38628,Llaneros FC,Defensive Midfield,27,Colombia,0,9,8,16,299,159,9989,4,5,69,17,50,0,2017,2025
859214,Jhonier Blanco,32041,Fortaleza CEIF,Centre-Forward,25,Colombia,20,6,4,9,177,88,4495,23,4,35,10,10,0,2020,2025
911997,Érik Bodencer,38628,Llaneros FC,Centre-Forward,26,Argentina,24,7,7,7,193,110,5957,10,3,16,2,9,0,2019,2025
983539,Jhon Lerma,14680,Unión Magdalena,Right-Back,23,Colombia,27,5,3,10,199,117,8576,3,5,19,6,26,0,2021,2025
583812,Andrey Estupiñán,2350,Millonarios FC,Left Winger,32,Colombia,11,10,7,8,402,256,16183,63,15,208,89,69,0,2016,2025
984107,Johan Caicedo,10090,Asociación Deportivo Pasto,Defensive Midfield,22,Colombia,6,6,3,13,224,91,6212,3,1,91,27,34,0,2021,2026
356098,Edwin Velasco,9961,Deportivo Cali,Left-Back,34,Colombia,28,15,8,10,710,351,27938,7,16,66,12,83,0,2011,2025
907596,Juan Pablo Arcila,39252,Jaguares de Córdoba,Left-Back,26,Colombia,0,5,4,7,135,69,5361,3,1,0,0,18,0,2020,2025
74065,Wilson Morelo,10090,Asociación Deportivo Pasto,Centre-Forward,38,Colombia,0,20,14,21,851,596,38646,177,31,223,105,69,0,2006,2025
652349,Edison López,7136,Envigado FC,Central Midfield,26,Colombia,21,9,2,8,297,169,9754,15,3,59,22,39,0,2017,2025
623623,Juan Montoya,2352,CD América de Cali,Goalkeeper,27,Colombia,12,7,3,5,195,105,9238,0,0,0,0,16,0,2018,2025
906696,Leandro Angulo,11648,Independiente Santa Fe,Defensive Midfield,24,Colombia,0,6,4,10,228,95,6539,3,2,1,0,27,0,2019,2025
832162,Carlos Lucumí,10093,Independiente Medellín,Centre-Forward,26,Colombia,0,8,7,16,330,160,8167,43,3,113,50,17,0,2018,2025
906393,Brayam Palacios,14649,Boyacá Chicó FC,Centre-Back,27,Colombia,0,8,6,10,211,72,5222,2,1,6,0,8,0,2019,2026
261182,Darío Denis,14649,Boyacá Chicó FC,Goalkeeper,34,Uruguay,23,14,5,12,440,296,26536,0,0,0,0,62,0,2012,2025
983577,Albin Valencia,14649,Boyacá Chicó FC,Left-Back,22,Colombia,0,1,1,1,20,3,136,0,0,0,0,0,0,2024,2024
981189,Kevin Cortés,14649,Boyacá Chicó FC,Midfield,22,Colombia,0,4,6,12,149,38,2091,0,0,13,1,11,0,2021,2025
917422,Yordy Bedoya,14649,Boyacá Chicó FC,Attacking Midfield,24,Colombia,0,2,2,3,44,8,208,0,1,1,1,1,0,2021,2024
541568,Ítalo Montaño,32041,Fortaleza CEIF,Centre-Forward,27,Colombia,7,9,13,22,224,118,7403,26,9,116,38,26,0,2017,2025
1230822,Jhonny Jordán,9811,Deportivo Pereira,Left Winger,25,Colombia,0,3,2,4,118,36,1756,3,2,15,4,4,0,2023,2025
254123,Jairo Molina,14649,Boyacá Chicó FC,Centre-Forward,33,Colombia,9,15,13,17,572,244,15648,56,7,226,80,39,0,2011,2025
742519,Luis Segura,14649,Boyacá Chicó FC,Right Winger,21,Colombia,0,5,3,5,77,38,2197,0,2,0,0,3,8,2019,2024
1426100,Andrés Dieppa,14649,Boyacá Chicó FC,Attack,25,Colombia,0,1,1,1,11,5,71,0,0,1,0,0,0,2024,2024
565001,Miguel Pernía,17425,Internacional de Bogotá,Left-Back,25,Venezuela,13,7,5,12,236,165,12797,8,10,94,20,39,0,2017,2025
662458,Andrés Arroyo,32041,Fortaleza CEIF,Attacking Midfield,24,Colombia,33,9,7,15,362,217,10905,36,11,154,57,23,6,2018,2026
486838,Miguel Silva,32041,Fortaleza CEIF,Goalkeeper,25,Venezuela,1,10,7,18,328,167,14863,0,2,0,0,18,10,2016,2025
536653,Carlos Sierra,2352,CD América de Cali,Central Midfield,35,Colombia,23,14,10,18,583,417,30617,62,21,321,79,66,0,2012,2025
211251,Darwin Machís,2352,CD América de Cali,Left Winger,33,Venezuela,11,15,16,27,830,497,29782,104,56,475,162,67,53,2011,2025
119235,Carlos Bacca,9961,Deportivo Cali,Centre-Forward,39,Colombia,70,18,7,25,991,713,45073,285,106,298,140,85,52,2008,2025
