competition_id,n_players_with_match
DK1,515
DKP,461
DKRE,437
FS,396
DKAR,325
DKMR,302
DKDL,279
ECLQ,259
DK2,239
U19Q,192
DK2P,184
DKPL,180
ELQ,179
CLQ,151
U21Q,146
U17Q,145
DKRQ,129
EL,119
UCOL,102
19YL,81
CL,77
21EU,64
17EU,58
NO1,55
DK3O,54
WMQ6,54
DKDD,53
19EU,53
NOPO,50
EMQ,48
DKRL,46
DK2R,45
DFB,45
PLIC,43
SEC,43
DK3V,42
SE1,41
NL1,40
NLP,39
FIWC,39
FRC,39
UNLB,37
L1,35
FAC,35
L2,34
NL2,33
CGB,32
POWM,31
POEM,28
UNLA,27
GB2,25
FR1,25
BE1,24
EURO,23
AA17,22
CCB,22
GB1,21
POPO,20
WMQ2,20
NO2,20
PO2,20
IT1,20
CIT,20
AFCQ,19
L3,18
IS1,18
DKDA,18
FR2,18
TDV,17
MLS1,17
NLJB,16
GB21,16
SCC,16
PON2,15
AFCN,15
SU20,15
ISL,15
17WC,15
PL1,15
PO1,14
UNPO,14
SE2,14
C1,14
POCP,13
NLBE,13
GBFL,13
ISP,13
EJPL,12
NO46,12
PONL,12
21PL,12
20WC,12
DFBJ,12
NLBV,11
NLAJ,11
USMX,11
A1,11
POPU,11
KR1,10
UNLC,10
ofb,10
PT23,10
RTIP,10
POUS,10
CITP,9
CDR,9
DK4L,9
FAYC,9
NO31,9
S21N,9
FRL,9
BE2,9
GB3,9
MLSP,9
KRC,8
TRP,8
UEFA,8
TR1,8
GB18,8
NO32,8
WMQ1,8
NO42,8
RLN3,8
L1PO,8
IT2,8
BJ1,8
CCL,8
JAP1,8
SC1,8
AJ1,8
NLJV,7
UEQ,7
ES1,7
FRR1,7
C2,7
GR1,7
UNFI,7
CHPR,7
GRP,7
NO45,6
KR2,6
BESC,6
POBE,6
RLSW,6
CHAN,6
FRYC,6
FR4B,6
IS1P,6
P23Q,6
TSP,6
TS1,6
CAFC,6
RLW3,6
AJ2,6
ITJE,6
CS,6
23AF,6
NLSC,6
GOCU,6
UNG1,6
IJ1,6
FFAC,6
AUS1,6
AUSF,6
IS2,6
SL1,5
NLBB,5
BIHP,5
BOS1,5
NTD,5
FIL,5
FI1,5
RESE,5
SER1,5
SERP,5
FR3,5
JUNO,5
S21P,5
RU1,5
S21S,5
20AC,5
L2PO,5
AJ,5
17AC,5
COPA,5
SFA,5
USSP,5
CNNF,5
JAPC,5
JEMP,5
WMQ3,5
OLYM,5
RUP,5
ACL,5
NLAE,5
SLP,4
GE1N,4
UKR1,4
UKRP,4
GESC,4
GEP1,4
BULP,4
NRPO,4
BU1,4
NLAP,4
ARCP,4
RO1,4
D4P1,4
FR4C,4
FIS,4
F17M,4
PTPR,4
SE3S,4
SE3N,4
POCC,4
NO41,4
T1MR,4
JUSÖ,4
AFAC,4
BVP,4
PT3A,4
BRA1,4
BRC,4
F19A,4
KLUB,4
SCPM,4
NLBA,4
DFL,4
SCP,4
UNGP,4
A1EL,4
AJ3,4
ITJ7,4
SL2,3
ES2,3
ESJP,3
GHPL,3
ROMP,3
ISR1,3
NLBJ,3
FAPO,3
FARO,3
E21P,3
SR1C,3
EAFC,3
BPO4,3
S1PO,3
BJ2,3
BJ,3
RLB3,3
FRCH,3
2SAM,3
WMQ4,3
CH18,3
CHUC,3
P3Au,3
FR5G,3
PL33,3
AFCL,3
23AC,3
FR5I,3
POGR,3
C220,3
USC,3
USL,3
NO44,3
ACLE,3
W23C,3
NLVB,3
FR5B,3
E3G2,3
212S,3
GEO2,2
BULS,2
TR2,2
UI,2
A2,2
RO1C,2
RO1R,2
ISRA,2
ISPO,2
FR5K,2
FASC,2
FAR2,2
BTCU,2
D4P2,2
181F,2
P232,2
SER2,2
RSK1,2
RKPO,2
AG18,2
FR5D,2
NOSC,2
CZ3C,2
EGYP,2
EGY1,2
AGUC,2
ITJ2,2
ITJ4,2
ITJ1,2
POSB,2
CZ19,2
CZ21,2
TS2,2
SEN1,2
BRA2,2
BRNE,2
BRCB,2
SAM2,2
CHC1,2
ZYP1,2
CPO1,2
