player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1017271,Gustav Knudsen,443,Vejle Boldklub,Goalkeeper,19,Denmark,33,5,3,5,153,43,3833,0,0,0,0,3,0,2021,2025
610440,Valdemar Lund,443,Vejle Boldklub,Centre-Back,22,Denmark,5,9,8,20,348,184,12521,10,6,33,6,35,25,2018,2026
613975,Tobias Haahr,443,Vejle Boldklub,Goalkeeper,22,Denmark,24,9,6,12,299,97,8628,0,0,0,0,1,6,2018,2026
341535,Igor Vekic,443,Vejle Boldklub,Goalkeeper,27,Slovenia,1,14,5,22,396,197,17395,0,0,0,0,5,14,2013,2026
1115582,Oskar Fenger,206,Bröndby IF,Centre-Forward,18,Denmark,51,4,6,8,61,40,1718,14,0,1,0,5,7,2023,2026
599634,Marius Elvius,443,Vejle Boldklub,Right-Back,23,Denmark,0,9,7,13,320,234,13803,26,18,109,40,21,5,2018,2026
482106,Thomas Gundelund,443,Vejle Boldklub,Right-Back,24,Denmark,2,11,3,14,401,214,14854,2,11,29,6,13,26,2016,2026
241420,Damian van Bruggen,443,Vejle Boldklub,Centre-Back,30,Netherlands,14,16,15,24,588,418,32209,15,4,44,12,38,31,2011,2026
227352,Stefan Velkov,443,Vejle Boldklub,Centre-Back,29,Bulgaria,13,16,7,27,633,317,26329,19,2,95,29,55,36,2011,2026
809899,Luka Latsabidze,443,Vejle Boldklub,Centre-Back,22,Georgia,15,7,6,17,234,80,5971,3,3,0,0,9,20,2019,2026
802547,Lasse Flø,443,Vejle Boldklub,Right-Back,20,Denmark,23,6,4,11,187,106,7239,1,5,7,3,4,7,2021,2026
510256,Luka Hujber,443,Vejle Boldklub,Right-Back,26,Croatia,0,11,7,17,370,199,13691,2,10,57,16,41,9,2016,2026
900480,Giorgi Tabatadze,443,Vejle Boldklub,Left-Back,20,Georgia,21,7,4,15,151,90,4184,11,11,8,4,20,34,2020,2026
1130086,Anders Sønderskov,443,Vejle Boldklub,Centre-Back,20,Denmark,0,5,6,7,151,66,4363,4,1,6,2,4,0,2022,2026
104918,Christian Sørensen,443,Vejle Boldklub,Left-Back,33,Denmark,3,19,13,17,639,386,27005,43,62,120,30,47,3,2008,2026
752778,Mads Enggård,443,Vejle Boldklub,Central Midfield,22,Denmark,30,6,6,16,370,205,13427,5,13,71,15,36,30,2020,2025
805055,Tobias Lauritsen,443,Vejle Boldklub,Central Midfield,21,Denmark,8,7,3,9,225,142,8684,15,15,51,11,19,3,2020,2026
527467,Lundrim Hetemi,443,Vejle Boldklub,Defensive Midfield,26,Albania,34,11,4,9,382,185,11830,5,5,80,23,22,0,2016,2026
167798,Andrew Hjulsager,443,Vejle Boldklub,Central Midfield,31,Denmark,17,17,8,24,727,373,23283,48,54,275,91,40,44,2010,2026
42913,Lasse Nielsen,443,Vejle Boldklub,Centre-Back,38,Denmark,4,22,9,36,995,614,50327,22,20,108,22,90,10,2005,2026
601092,Masaki Murata,443,Vejle Boldklub,Attacking Midfield,26,Japan,0,10,6,13,249,201,13978,13,10,1,1,22,1,2016,2026
1026866,Tobias Lykkebak,443,Vejle Boldklub,Central Midfield,19,Denmark,0,5,4,8,134,71,4506,11,12,0,0,8,0,2022,2026
512160,Mike Vestergård,443,Vejle Boldklub,Defensive Midfield,28,Denmark,6,11,8,14,356,266,19282,7,7,38,7,54,0,2016,2026
1018658,Sander Ravn,443,Vejle Boldklub,Central Midfield,19,Denmark,26,4,3,7,157,71,4725,2,6,2,0,6,3,2023,2026
1192270,Max Jensen,443,Vejle Boldklub,Central Midfield,18,Denmark,0,3,3,8,79,45,2307,1,2,0,0,3,11,2024,2026
1324742,Eman Subasic,443,Vejle Boldklub,Attacking Midfield,17,Bosnia-Herzegovina,0,3,3,6,66,49,3252,5,8,0,0,9,6,2024,2026
1017261,Amin Chiakha,190,FC Copenhagen,Centre-Forward,19,Algeria,19,5,6,18,214,137,8959,72,12,103,45,17,25,2021,2025
