player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1146112,Bruno Klimek,2865,Betis Deportivo Balompié,Goalkeeper,18,Poland,0,3,2,4,30,4,305,0,0,0,0,0,4,2022,2025
1335868,José Romero,2865,Betis Deportivo Balompié,Goalkeeper,19,Spain,0,2,2,2,6,2,180,0,0,0,0,1,0,2024,2025
1061277,Germán García,2865,Betis Deportivo Balompié,Goalkeeper,22,Spain,1,5,2,8,309,16,1385,0,0,0,0,0,0,2022,2026
1225038,Manu González,2865,Betis Deportivo Balompié,Goalkeeper,19,Spain,31,4,3,14,211,61,5296,0,0,0,0,2,21,2023,2026
723823,Vlad Rafailă,2865,Betis Deportivo Balompié,Goalkeeper,21,Romania,13,9,7,16,182,80,6624,0,0,0,0,2,35,2016,2026
1054909,Pablo Busto,13241,UD Ibiza,Right-Back,20,Spain,0,6,3,9,250,78,4374,0,2,1,0,17,6,2021,2026
1018922,Òscar Masqué,2865,Betis Deportivo Balompié,Right-Back,19,Spain,35,3,2,6,82,33,2248,1,6,1,0,4,3,2024,2026
1052283,Darling Bladi,2865,Betis Deportivo Balompié,Left-Back,21,France,23,7,7,12,250,138,10213,2,3,13,7,10,0,2020,2026
914539,Yoan Koré,2865,Betis Deportivo Balompié,Centre-Back,21,France,0,6,6,11,284,130,9167,13,3,19,9,15,20,2021,2026
961945,Félix Garreta,12697,UE Sant Andreu,Centre-Back,22,Spain,2,5,4,10,232,97,7378,5,1,12,5,18,7,2021,2025
946275,Ian Forns,2865,Betis Deportivo Balompié,Left-Back,22,Spain,3,5,5,7,147,71,5353,5,6,1,0,12,0,2022,2026
362744,Elyaz Zidane,2865,Betis Deportivo Balompié,Centre-Back,20,France,4,6,3,11,154,85,5938,3,1,6,2,22,45,2021,2026
1106258,Jorge Oreiro,2865,Betis Deportivo Balompié,Centre-Back,19,Spain,21,4,2,4,86,41,2933,0,0,0,0,12,1,2022,2026
1094415,Mohamed Hamdoune,2865,Betis Deportivo Balompié,Centre-Back,21,Morocco,15,6,3,4,114,41,2896,1,0,0,0,14,0,2021,2026
1427879,Fabián Embalo,2865,Betis Deportivo Balompié,Centre-Back,19,Spain,12,1,1,1,38,14,687,0,0,0,0,1,0,2025,2025
972448,Marcos Solís,2865,Betis Deportivo Balompié,Centre-Back,21,Spain,0,4,2,4,18,7,443,0,0,0,0,0,1,2021,2025
1474500,Jean Emmanuel N'Agoran,2865,Betis Deportivo Balompié,Centre-Back,19,Cote d'Ivoire,45,1,2,2,23,17,1352,2,0,3,1,5,0,2025,2025
1307658,Carlos de Roa,2865,Betis Deportivo Balompié,Left-Back,18,Spain,32,2,3,5,74,12,704,1,0,5,2,2,0,2024,2025
1127772,Miguel Cuevas,2865,Betis Deportivo Balompié,Centre-Back,18,Spain,0,4,2,5,50,12,510,0,0,0,0,2,7,2022,2025
1066219,Mario Navarro,2865,Betis Deportivo Balompié,Right-Back,18,Spain,0,3,2,3,18,13,821,1,0,0,0,1,7,2022,2025
1113427,Robson,2865,Betis Deportivo Balompié,Centre-Back,19,Brazil,6,5,3,6,95,60,4742,1,0,0,0,17,0,2022,2026
972730,Mawuli Mensah,142,Real Zaragoza,Central Midfield,21,Ghana,26,6,5,7,202,123,7562,12,4,12,4,33,0,2021,2026
986300,Daouda Traoré,2865,Betis Deportivo Balompié,Central Midfield,19,France,0,6,8,15,215,100,5334,5,5,28,10,10,18,2021,2026
1228383,Ismael Barea,2865,Betis Deportivo Balompié,Central Midfield,20,Spain,5,4,2,5,85,56,3210,3,1,2,1,12,2,2023,2026
895331,Dani Pérez,2865,Betis Deportivo Balompié,Attacking Midfield,20,Spain,8,6,4,16,376,126,8172,1,7,4,2,23,28,2021,2026
1061281,Carlos Reina,2865,Betis Deportivo Balompié,Attacking Midfield,21,Spain,10,5,4,9,156,84,4726,15,2,0,0,13,0,2022,2026
961944,Ginés Sorroche,2865,Betis Deportivo Balompié,Central Midfield,22,Spain,16,6,2,8,191,87,4582,10,3,0,0,15,1,2021,2026
646735,Aitor Gismera,7971,Hércules CF,Central Midfield,22,Spain,0,8,4,12,310,138,9530,7,3,3,2,37,14,2018,2026
