competition_id,n_players_with_match
EC1N,559
ECUP,538
CS,382
EL1S,339
CLI,312
EL1A,310
EC2L,235
FS,175
ECSC,165
ECP1,142
LPPL,133
ECSE,132
ECPE,124
ECP2,110
ARCA,80
2SAM,73
CLIY,68
WMQ4,63
ARG2,61
ECP3,57
ECPL,54
ECY1,54
AR1N,53
ECB2,48
COPA,47
RECO,45
CDLP,41
20WC,40
ARG1,37
SAM7,34
17WC,32
ARGC,30
A2TP,30
ARY3,30
OLCF,29
CLPI,28
URU1,27
CCL,27
MEXA,27
USMX,25
MEX1,25
MLS1,24
FIWC,24
URP1,23
URUC,23
URUI,23
SAM2,22
COPO,22
CDCA,20
MLSP,20
TDeC,19
COL1,19
BRC,18
POME,18
COLP,18
URU2,17
ARLC,16
CH1C,15
AR2T,15
POMX,15
TDeA,14
CA16,14
ARG3,14
CO2T,13
BRA1,13
CLPF,13
POUS,13
PR1A,13
CO22,12
CLPD,12
POPO,12
ECY2,12
CDR,12
MXCA,12
BO1A,12
ECB3,12
PR1C,11
SA15,11
URU3,11
MXCC,11
M20C,11
CDCO,11
MARG,10
KLUB,10
URUP,10
COLO,10
COLF,10
UR2T,10
CPMX,10
COLE,10
SCAG,9
BRA2,9
C2P2,9
M20A,9
PN1A,9
MNP3,8
VZ1C,8
BCP1,8
A1P1,8
BO1C,8
B1AP,8
WMQ3,8
PN1C,8
PNF1,8
CCAC,8
CPP2,8
BVC1,8
PO1,7
AR3P,7
ES2,7
PO2,7
MEX2,7
GOCU,7
CO2P,7
AR3B,7
VZ1A,6
POCP,6
COBI,6
URUE,6
CHL1,6
CHLA,6
MEXB,6
CNLA,6
CL2B,6
VZOC,6
VZ1L,6
PN1F,6
CPP1,6
ELQ,5
BRCG,5
URSC,5
BCPF,5
SURU,5
TDCS,5
BRPR,5
PR1P,5
ECLQ,5
MXSC,5
VEC1,5
GU1C,5
GU1A,5
AR3D,5
AR3C,5
BE1,4
EL,4
BRCF,4
COSP,4
CB20,4
A1P2,4
BRCM,4
UAE1,4
PDV1,4
VZOA,4
C220,4
CNNF,4
GUPC,4
SAKC,4
HO1A,4
MNPP,3
ACO1,3
CIT,3
IT1,3
CCB,3
CLQ,3
C20P,3
USSP,3
BRC2,3
BRCR,3
UKRP,3
CHL2,3
M2L1,3
SCIN,3
BRNE,3
SPjr,3
E3PL,3
CCC1,3
BO12,3
B1P1,3
UASC,3
UALC,3
UAEP,3
GR1,3
GRP,3
BU1,3
BULP,3
ES1,3
FRC,3
CRPD,3
MXBC,3
NLP,3
NL1,3
CAMC,3
UKR1,3
GUPA,3
PER2,3
TDV,3
SL1A,3
HOC1,3
BE2,2
CPO1,2
ZYPM,2
POBE,2
ZYP1,2
ITJE,2
GRS2,2
PERF,2
EGYP,2
EGY1,2
ES3A,2
ES3B,2
CL2P,2
CNLB,2
CNLQ,2
POWM,2
CHDP,2
Inka,2
S1PO,2
QSL,2
QEC1,2
BRVE,2
FR2,2
FRL,2
VZ1P,2
MXBA,2
ALPL,2
NLBV,2
POAR,2
19YL,2
RUP,2
RU1,2
PL1,2
CHLP,2
DO1P,2
PT23,2
DOM1,2
ES3D,2
IRN1,2
RU2,2
SA1,2
CLO,2
CHFA,2
CSL,2
SLP2,2
SL1C,2
USL,2
IRQ1,2
BOP2,2
C1P1,2
SLP1,2
F1CL,2
FI1,2
DK1,1
CYSC,1
GB1,1
DKAR,1
DKP,1
ITJ2,1
BE2E,1
PTRL,1
KR1,1
INIL,1
INSC,1
INDC,1
IND1,1
ISCC,1
PERD,1
CAFC,1
UCOL,1
TR1,1
C1,1
TRP,1
SCC,1
E3FI,1
ES2P,1
E3G1,1
DFL,1
ALPS,1
E3PP,1
E4G1,1
BRAL,1
JAP1,1
