competition_id,n_players_with_match
EGYP,874
EGY1,822
EGLC,797
EGRP,560
EGCP,376
FS,306
CAFC,260
ESCU,247
ACL,233
CAFS,122
WMQ2,115
AFCQ,114
AFCN,89
ARCP,85
20AC,79
23AC,69
KLUB,65
FIC1,60
FIWC,54
20WC,42
OLYM,37
W23C,29
AFOL,27
CHAN,25
MAR1,20
MARP,20
TUN1,17
TUNP,17
LPL,14
A23Q,13
SAKC,13
ELQ,12
NPFL,12
17AC,11
SA1,11
MEC1,10
FARQ,10
TUNM,10
BE1,10
ECLQ,10
JO1L,9
CCB,9
POPO,9
CLQ,9
FRC,8
PO1,8
ALG1,8
TR1,7
TRP,7
LPL2,7
17WC,7
TUSC,7
FR2,7
WMQ1,7
EL,7
ALGP,7
AFCC,7
UAEP,6
GHPL,6
AG18,6
SEC,6
BE2,6
POCP,6
POBE,6
NLP,5
POWM,5
FAC,5
ACLQ,5
UAE1,5
IRQ1,5
T191,5
CONC,4
GRS2,4
2AGC,4
AU2C,4
TELK,4
SFA1,4
SFAL,4
NEDC,4
ZYP1,4
CPO1,4
PT23,4
EBEL,4
FRL,4
CDR,4
SE2,4
SA2L,4
CGB,4
SAUP,4
23AF,4
UALC,4
MLS1,4
SCC,4
AFAC,4
ALLP,4
SEN1,3
PO2,3
NL1,3
NL2,3
PON2,3
EJPD,3
ZYPM,3
GB21,3
GB1,3
BU1,3
UCOL,3
CZ3C,3
AFCL,3
TDV,3
SE1,3
UNG1,3
UNGP,3
QSL,3
QEC1,3
QSCP,3
FRR1,3
NO1,3
NOPO,3
MLSP,3
ACQU,3
USMX,3
TUPL,3
LPL3,3
UGL1,3
IRQC,3
510,2
UKRP,2
S2PO,2
LIB1,2
RU2,2
S21N,2
ZYPA,2
ACHQ,2
FI1,2
P23Q,2
NLJB,2
211F,2
NLAJ,2
PONL,2
NLVB,2
NLJV,2
211S,2
T211,2
ES2,2
BULP,2
TS1,2
CZ21,2
TS2,2
CZJ2,2
TSP,2
GB3,2
GBFL,2
BPO4,2
FR1,2
SL1,2
SLP,2
ACLE,2
NO41,2
C1,2
CL,2
S21S,2
NO2,2
RESE,2
WAF1,2
PTPR,2
CYP2,2
POUS,2
CCL,2
RUP,2
RU1,2
TUNR,2
U17Q,2
THFA,2
THA2,2
SUIC,2
CN2D,2
C2,2
CHFA,2
SER1,2
SERP,2
UA3L,1
LLM1,1
MRPO,1
OLMR,1
TR2,1
ETP1,1
MOL1,1
KAZM,1
RO1,1
ROCL,1
KAS2,1
WER1,1
WRPO,1
KAS1,1
KAZP,1
BAPO,1
POPU,1
PL2L,1
PL2,1
SAPO,1
VSAE,1
MPPO,1
OBLF,1
VLSA,1
RLN4,1
GI1,1
GIRC,1
NPPL,1
GN1P,1
HK2L,1
NPP1,1
NPL1,1
HFA4,1
FIS,1
CPSD,1
NLBJ,1
NLBE,1
NLBV,1
NLAE,1
511,1
LB1M,1
UEFA,1
21PL,1
SKC,1
SLMR,1
SLO1,1
T1MR,1
T1EL,1
JOSC,1
ACL2,1
A920,1
DKAR,1
DKPL,1
DK1,1
DKRE,1
UNLB,1
EURO,1
U21Q,1
SL2,1
WMQ6,1
UNPO,1
SASS,1
QUC1,1
UASC,1
CN2B,1
TRS,1
EJPL,1
PLIC,1
C3AR,1
212S,1
JUSÖ,1
212F,1
AFQU,1
SCPM,1
SFA,1
SC1,1
CB20,1
BRCG,1
C20P,1
BRCF,1
BRC,1
BRA1,1
UKR1,1
SPjr,1
C3IF,1
CAN,1
T1AR,1
FLAP,1
AND1,1
ANSC,1
E3PL,1
ES3D,1
ANDP,1
E3FD,1
ES3C,1
ANCR,1
SFAR,1
AMCQ,1
QU2L,1
RESU,1
FAYC,1
GRP,1
GR2,1
ES3A,1
ES2P,1
ES3B,1
P23F,1
P23A,1
P23C,1
ARPO,1
ARM1,1
MAJC,1
FAPO,1
MAL2,1
MLP2,1
MT2P,1
FAR2,1
MALC,1
MT1N,1
MT1P,1
SUIP,1
CIR1,1
CHC1,1
CHPR,1
THLC,1
NTD,1
RUSR,1
KR2,1
KR1,1
U19Q,1
19EU,1
RTIP,1
POMX,1
CSL,1
MEXA,1
MEX1,1
ALB1,1
ALBS,1
ALBP,1
T19P,1
ATRO,1
ATRM,1
CLO,1
ML1P,1
MO1P,1
KOBU,1
UZR,1
UZ1,1
POCO,1
POG2,1
CNAT,1
GB4,1
AJR1,1
RLN3,1
ES1,1
OBLG,1
AJ1,1
USL,1
USSP,1
RL2,1
IQP1,1
SB19,1
SER2,1
PVRR,1
C3PL,1
C191,1
CHC2,1
C19C,1
AUSF,1
FFAC,1
A198,1
AUS1,1
LPL1,1
TRIN,1
KHM1,1
