competition_id,n_players_with_match
ES1,931
CDR,842
FS,602
ES2,469
CL,427
EL,383
ES2P,290
SUC,277
U21Q,253
19YL,250
U19Q,229
E3G2,204
ES1P,192
ECLQ,173
U17Q,172
E3G1,165
FIWC,158
WMQ6,143
PLIC,141
ELQ,138
EMQ,138
UCOL,138
21EU,135
E3PL,128
KLUB,123
GB1,122
FAC,122
CGB,121
EURO,121
UNLA,117
ES3C,117
ES3B,116
CLQ,112
17EU,106
19EU,101
USC,95
ES3A,89
UNFI,88
E4G3,87
17WC,86
FRC,85
20WC,83
E3PP,83
CIT,82
IT1,80
FR1,79
AA17,71
E4G5,68
E3FA,67
E4G2,66
CLI,59
L1,57
OLYM,57
DFB,55
PO1,53
ES3D,53
GB2,49
POPO,49
WMQ2,48
FRL,47
GB21,46
CS,46
E4G4,45
POCP,45
UNLB,43
NL1,41
AFCQ,41
WMQ4,41
COPA,41
POWM,40
AFCN,40
ARCA,38
AFT,38
GBCS,37
NLP,37
FR2,37
E4G1,36
AR1N,35
CEF1,34
2SAM,33
CHAN,33
E3FD,33
E3FI,32
FIC1,32
BE1,30
CCB,28
POEM,28
UNPO,26
UNLC,26
FRCH,24
DFL,24
ES3P,24
FAYC,24
FRYC,24
USMX,24
GBFL,23
SU20,23
CDLP,23
TR1,22
SCI,21
CDCA,20
EJPL,20
IT2,20
CITP,20
TRP,19
BRA1,19
NL2,19
POSU,19
ES3E,19
PO2,19
21PL,18
BRC,18
GR1,18
MLS1,18
TDV,18
URU1,17
ARGC,17
OLCF,16
ARG1,16
NLJB,15
SCAG,15
URUC,15
GB18,15
IJ1,15
CONC,14
ARY3,14
GRP,13
ITJE,13
CCL,13
MEXA,13
CLPI,12
SA1,12
L2,12
SCC,12
C1,12
GOCU,12
FRR1,12
FR5H,11
BCP1,11
NLBE,11
NLSC,11
FR3,11
MLSP,11
MEX1,11
URUI,11
ARLC,11
POUS,10
RUP,10
RU1,10
SEC,10
SE1,10
PT23,10
SAKC,10
SAM2,10
POCC,10
SER1,10
SERP,10
POME,10
A1,10
FR4C,10
20AC,10
KR1,9
L1PO,9
TDCS,9
FR4D,9
AFCL,9
GB3,9
PL1,9
WMQ3,9
ofb,9
BCPF,8
SAM7,8
UEFA,8
PONL,8
POGR,8
FR5A,8
BESC,8
SC1,8
POSB,8
F17M,8
FIYO,8
FR4B,8
NLBV,8
URUP,8
CNNF,8
A2,8
UKRP,7
KRC,7
CB20,7
CA16,7
COPO,7
NLAJ,7
SCP,7
ITJ3,7
ITJ2,7
FR5B,7
POMX,7
URP1,7
CILP,7
POPU,7
AJ3,7
FR5E,7
CLIY,7
RECO,7
FR4A,7
PON2,7
UKR1,6
KR2,6
SPjr,6
ARCP,6
COLF,6
COLP,6
NLJV,6
POBE,6
RLW3,6
E21P,6
F19F,6
F19A,6
SCIN,6
URU2,6
NOPO,6
NO1,6
CH18,6
BJ3,6
DK1,6
BE2,6
ITJ4,6
JAP1,5
GBEG,5
TRS,5
DFBJ,5
C20P,5
TSP,5
TS1,5
FR5I,5
FR5F,5
COL1,5
ESJP,5
RUSS,5
SFA,5
SCPM,5
ITJ1,5
IJ2A,5
JEMP,5
EAFC,5
WMQ1,5
FR5J,5
CHUC,5
ITJF,5
ACLE,5
NLVB,5
NLAE,5
DKP,5
DKDL,5
IT3B,5
ARG2,5
FR5G,5
NLBB,5
BJ,4
AJ2,4
T1MR,4
NLAP,4
FR5C,4
CSL,4
CHFA,4
UKRM,4
L3,4
17AC,4
ACL,4
AFAC,4
JAPC,4
23AF,4
CPSA,4
23AC,4
IT3A,4
NO2,4
C220,4
BRCG,4
OLCC,4
CNLA,4
GBR,4
18GB,4
DKRE,4
FR5K,4
URU3,4
JGD3,4
JGD2,4
CLPD,4
CH1C,4
UAE1,4
NLBJ,4
181S,4
SURU,4
SCBR,3
CLPF,3
VZ1A,3
COSP,3
UKRS,3
UNGP,3
UNG1,3
ITJP,3
COLO,3
ALBP,3
ALB1,3
RLSW,3
F19C,3
PT3A,3
SB19,3
ZYP1,3
QSL,3
QEC1,3
QSCP,3
A1P2,3
SL1,3
SLP,3
MNP3,3
A1P1,3
CHPR,3
SCIJ,3
GBKN,3
DKMR,3
RS2f,3
BRRS,3
PLSC,3
A23Q,3
CNLB,3
CO2T,3
CAMC,3
MARG,3
P232,3
URSC,3
SASS,3
PTPR,3
SE2,3
SE3N,3
CHLA,3
CHL1,3
CSUC,3
GE1N,3
CHC2,3
181F,3
BASU,3
CAFC,3
NLBA,3
HRSC,2
BJ2,2
RL3,2
CZ21,2
CZ19,2
TS2,2
VZ1C,2
UEQ,2
MAZ1,2
URPL,2
FINJ,2
UI,2
ITJ5,2
SK2,2
F19D,2
TR2,2
UNLD,2
JAP3,2
P23C,2
M20C,2
MXSC,2
IT3P,2
SB17,2
RLN3,2
M23A,2
NO46,2
MNPP,2
SLO1,2
MARP,2
MAR1,2
CDCO,2
A920,2
AU2C,2
J1YL,2
F19B,2
ITJ7,2
GCQU,2
NLEV,2
DKPL,2
EGYP,2
EGY1,2
ESCU,2
EGLC,2
BEYP,2
BEY1,2
AJ1,2
BRC2,2
ALPL,2
CPO1,2
BRga,2
USL,2
PL2,2
SC14,2
CHSC,2
P23Q,2
FR5L,2
EJPD,2
NCD1,2
RPLW,2
RUJL,2
RU17,2
DKRQ,2
DK2,2
SSC,2
S21P,2
JUNO,2
S21N,2
NO31,2
NO32,2
BRSC,2
UALC,2
UAEP,2
CH17,2
SUIP,2
RLB3,2
CHLP,2
BOS1,2
C18E,2
ALPS,2
BRCM,2
CNLQ,2
211S,2
211F,2
IT3C,2
FR5D,2
C2,2
GEP1,2
GESC,2
PL2L,2
NTD,2
URUE,2
BRA2,2
UA19,1
GB4,1
BU2,1
CZJ3,1
FLAP,1
VZOC,1
ACLQ,1
C1P1,1
SCPA,1
FJE,1
KO1,1
JL12,1
JL11,1
SUNC,1
JASP,1
ROMP,1
RO1R,1
ROCL,1
ROMS,1
R2AP,1
RO1C,1
RO2,1
RO1,1
SCJ2,1
SR1C,1
ARPO,1
ARM1,1
QUC1,1
M20A,1
CSLR,1
RTIP,1
NO44,1
