player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1281078,Laro Gómez,630,Racing Santander,Goalkeeper,19,Spain,0,2,3,4,114,44,3960,0,0,0,0,7,0,2024,2025
883759,Álvaro Jiménez,630,Racing Santander,Goalkeeper,23,Spain,0,4,2,4,140,51,4519,0,1,0,0,4,0,2021,2025
1088712,Simon Eriksson,630,Racing Santander,Goalkeeper,20,Sweden,13,4,4,8,129,55,4836,0,0,0,0,2,0,2022,2025
379548,Jokin Ezkieta,2687,Cádiz CF,Goalkeeper,29,Spain,1,12,6,11,538,210,18871,0,0,1,0,8,1,2014,2025
825199,Facundo González,630,Racing Santander,Centre-Back,22,Uruguay,16,6,5,19,232,126,9412,5,3,38,7,33,19,2020,2025
740253,Javi Castro,2687,Cádiz CF,Centre-Back,25,Spain,0,7,5,7,303,219,17252,8,2,54,14,29,0,2019,2025
859218,Plamen Andreev,630,Racing Santander,Goalkeeper,21,Bulgaria,0,7,5,23,292,121,10659,0,0,0,0,5,18,2019,2025
1262996,Jorge Salinas,630,Racing Santander,Left-Back,19,Spain,32,3,2,7,150,72,5674,4,9,32,8,17,13,2024,2026
396161,Manu Hernando,630,Racing Santander,Centre-Back,27,Spain,4,12,7,15,416,255,20546,16,6,84,30,51,2,2013,2025
629511,Pablo Ramón,630,Racing Santander,Centre-Back,24,Spain,21,8,8,15,286,151,11847,3,2,32,3,37,10,2018,2025
636116,Álvaro Mantilla,630,Racing Santander,Right-Back,25,Spain,2,7,2,9,251,135,10043,7,3,35,12,38,0,2019,2025
889459,Mario García,630,Racing Santander,Left-Back,22,Spain,3,4,2,4,205,114,8406,5,7,38,13,17,0,2022,2025
318520,Clément Michelin,366,Real Valladolid CF,Right-Back,29,France,0,13,9,22,511,293,19043,5,21,86,27,52,26,2013,2025
249471,Saúl García,630,Racing Santander,Left-Back,31,Spain,0,14,11,8,601,364,26078,2,17,45,12,54,0,2012,2025
741577,Carlos Sánchez,630,Racing Santander,Centre-Back,21,Spain,0,4,3,4,88,29,1387,2,0,0,0,5,3,2019,2025
1106905,Samuel Calera,630,Racing Santander,Left-Back,21,Spain,0,4,2,4,140,64,3855,3,4,0,0,6,0,2022,2025
197131,Marco Sangalli,630,Racing Santander,Right-Back,34,Spain,15,15,7,7,705,536,33388,40,54,172,58,97,0,2011,2025
1106904,Aitor Crespo,630,Racing Santander,Centre-Back,20,Spain,0,3,2,4,158,22,1354,1,0,0,0,3,0,2023,2025
1056966,Peio Canales,630,Racing Santander,Attacking Midfield,21,Spain,18,5,4,13,205,117,7401,14,16,113,34,6,26,2021,2025
663258,Aritz Aldasoro,2497,Real Oviedo,Central Midfield,27,Spain,8,8,2,6,282,209,12830,8,11,106,27,50,0,2018,2025
