competition_id,n_players_with_match
FI1,353
FIS,329
FIL,304
FS,207
ECLQ,174
F1CL,164
FI2,154
F1CC,140
ELQ,105
U19Q,96
U17Q,91
FI3B,91
FINJ,89
YKCP,85
CLQ,81
FI3A,79
F1CE,76
FI3C,74
FIKP,73
FIYK,69
U21Q,68
UCOL,61
POFI,58
FJE,54
19YL,51
YKAU,46
FI3P,37
YKAB,37
SEC,36
F4LA,31
KCUP,30
KP3B,28
FI2P,23
SE1,23
EL,22
SE2,20
KP3C,18
NOPO,17
DKP,17
WMQ6,17
F18Q,16
FI4R,16
FI3R,15
DK2,15
EMQ,14
NLP,13
SE3N,13
NL2,13
NO2,13
NO1,12
IJ1,12
FP3A,12
KOG2,11
FAC,11
CITP,11
WMQ2,11
DKRE,11
UNLB,11
F3KB,11
21EU,10
DK1,10
AA17,9
GB21,9
PLIC,9
DKDL,9
CIT,9
UNLC,9
CGB,8
NL1,8
PO2,8
POPO,8
KOG1,8
FIP1,8
CDR,8
DK2P,8
TDV,8
IT1,8
GBFL,7
POPU,7
CPO1,7
CL,7
PON2,7
FI3,7
FRC,7
FR2,7
GB2,7
IT2,7
NLAJ,7
FI3N,7
19EU,7
SKC,7
SLO1,7
20AC,7
FARO,7
FAPO,7
EURO,7
SE3S,7
NLJB,7
21PL,6
FAYC,6
PT3A,6
CCB,6
GRP,6
GRS2,6
JUNO,6
RESE,6
SFA,6
SCP,6
NO32,6
NO2R,6
RTIP,6
NO44,6
NO31,6
GB18,5
GB1,5
BE1,5
17EU,5
BE2,5
GR1,5
PL1,5
S2PA,5
ZYP1,5
ofb,5
RLN3,5
AFCN,5
AFCQ,5
ES2,5
GHPL,5
ROMP,5
S21S,5
FI3S,5
SC1,5
SLAR,5
SWEP,5
F4KP,5
211S,5
KOG3,5
RESU,5
TS2,4
DFBJ,4
ES3D,4
GB3,4
PL2,4
ZYPA,4
DFB,4
A2,4
AJ1,4
ES3C,4
DKRQ,4
FI4P,4
RO1,4
EST1,4
ESTP,4
17WC,4
JUSÖ,4
DK2R,4
MLS1,4
MLSP,4
ITJ7,4
S21N,4
NO46,4
SPjr,4
CPSA,4
PT23,4
BRC,4
NO43,4
SC2,4
NLJV,4
NLVB,4
FI18,4
P3As,4
RUP,4
RU1,4
IR1,3
18GB,3
NTD,3
BE2E,3
BRA4,3
PL33,3
S1PO,3
SCC,3
L1,3
DKMR,3
RO1R,3
USL,3
FR3,3
NLBP,3
CNLA,3
CLI,3
GOCU,3
WMQ3,3
E3PL,3
CS,3
GCQU,3
POBE,3
S21P,3
SU20,3
DK3O,3
DKDD,3
SLMR,3
USMX,3
POUS,3
ITJF,3
FR1,3
FR5A,3
FR4B,3
FRL,3
L3,3
TR2,3
IT3B,3
CAFC,3
CILP,3
P23F,3
P23A,3
P23Q,3
CB20,3
PTPR,3
CPSB,3
LTVP,3
LI1,3
TSP,3
LET1,3
NO42,3
181F,3
211F,3
212S,3
PONL,3
F3KA,3
E3G2,3
MNP3,2
ES3B,2
ES2P,2
EJPD,2
E3G1,2
NO45,2
GR2,2
POGR,2
GR20,2
L2,2
20WC,2
CHAN,2
C1,2
CHC1,2
NCD1,2
FI4L,2
ITJP,2
SAM7,2
IN1L,2
ISPO,2
EST2,2
ESTR,2
NLBE,2
NLBB,2
CNLB,2
VZ1A,2
VZ1L,2
2SAM,2
VZ1C,2
BESC,2
DKDA,2
DK3V,2
CH17,2
KR2,2
BU1,2
BULP,2
KR1,2
KRC,2
AJ2,2
BJ2,2
USSP,2
CCL,2
IT18,2
FR5K,2
PO1,2
FRYC,2
FRR2,2
ES1,2
UEFA,2
CAN,2
FI3W,2
ITJ5,2
IRPO,2
TRP,2
SK2,2
ITJE,2
IS1P,2
ISP,2
IS1,2
ISL,2
C20P,2
BRES,2
ACLE,2
TS1,2
UKR1,2
BRGO,2
UKRP,2
BRA2,2
ALB1,2
ALBP,2
ALBS,2
A1,2
SSC,2
POSB,2
CNNF,2
181S,2
NLBJ,2
19S1,2
19S2,2
WFPO,2
BJ1,2
1CY2,2
CYP2,2
POCP,2
182S,2
182F,2
RO2,2
FR4C,2
FR5E,2
FR5C,2
NLBV,2
F3KC,2
GESC,2
GE1N,2
SCPA,2
RU2,2
RUJL,2
LETP,2
AUS1,2
FFAC,2
AUSF,2
FR5D,2
P23C,2
E4G3,2
510,2
USLC,2
PRTD,2
E3FI,2
CEF1,2
NO41,1
BE2A,1
BE5B,1
SL2,1
SLP,1
ATRW,1
JGD3,1
RLB3,1
JGD2,1
FIWC,1
BJ3,1
IND1,1
INSC,1
INDC,1
ISR1,1
ISRF,1
ISRA,1
IRLP,1
KOBU,1
PLSC,1
UZ1,1
UZSC,1
CNIC,1
ILI2,1
NC1C,1
CENC,1
NC1A,1
NCP2,1
ES3A,1
NCP1,1
GCQ5,1
CNLQ,1
COLE,1
PR1C,1
BAPO,1
E21P,1
SER2,1
SERP,1
SR1R,1
SER1,1
SUIP,1
BIHP,1
BOS1,1
BPO4,1
ATRO,1
ITJ4,1
FR5H,1
BVP,1
POEM,1
HBPO,1
AJ3,1
RLSW,1
TUN1,1
IRLC,1
TR1,1
SCIJ,1
IT3C,1
IT3O,1
WRPO,1
WRSP,1
WER1,1
NPFL,1
ITJ9,1
MYSP,1
MYS1,1
BRVE,1
MYC1,1
L1RL,1
CAPL,1
CDN1,1
USC3,1
CZ3C,1
GBQ1,1
RLGR,1
GBR,1
SEN1,1
AZ1,1
BRDF,1
LET2,1
KLUB,1
BRA1,1
ACFF,1
FAR2,1
FASC,1
BTCU,1
SC1P,1
HRSC,1
BI17,1
2RHR,1
LTU2,1
PUSB,1
BK19,1
IT3A,1
IT3P,1
A1R,1
ITJ1,1
OLW3,1
A4N,1
RO1C,1
IT4H,1
ITC4,1
UEQ,1
R2AO,1
FR5F,1
RORE,1
FRR1,1
R2AP,1
COPO,1
COL1,1
POLL,1
P3Au,1
SK19,1
23AC,1
17AC,1
GB4,1
CNAT,1
CSL,1
CHFA,1
SCPM,1
CR1,1
DKAR,1
ITJ6,1
RPLU,1
CH18,1
C18E,1
CHPR,1
CHUC,1
UKRS,1
ITJ2,1
RUSS,1
RUSR,1
