player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1003599,Gabriel Oksanen,23777,SJK Seinäjoki,Right-Back,19,Finland,2,5,3,11,163,70,4712,1,9,2,1,11,9,2021,2025
1364210,Miguel Yinkfu Chuye,23564,IF Gnistan,Centre-Back,15,Finland,34,2,3,8,56,33,2249,3,0,0,0,2,17,2024,2025
1244111,Sayibu Yakubu,23777,SJK Seinäjoki,Centre-Back,20,Ghana,32,4,4,9,124,56,4298,4,1,9,2,12,0,2023,2026
1120423,Tatu Hukkanen,6251,Kuopion Palloseura,Centre-Back,18,Finland,31,5,4,14,197,54,3787,2,0,0,0,9,12,2022,2026
462698,Brooklyn Lyons-Foster,1008,HJK Helsinki,Right-Back,25,England,2,11,6,20,394,232,16899,11,3,105,26,36,6,2016,2026
1373274,Dan Lauri,2275,Turun Palloseura,Goalkeeper,17,Finland,35,2,2,9,79,19,1710,0,0,0,0,0,2,2024,2025
1063842,Luka Smyth,1102,Vaasan Palloseura,Centre-Forward,22,Australia,15,5,6,12,166,84,5272,41,9,84,42,16,0,2021,2025
300340,Matej Markovic,1008,HJK Helsinki,Goalkeeper,30,Croatia,44,12,10,22,354,161,14288,0,0,0,0,16,0,2013,2026
693981,Markus Arsalo,7008,AC Oulu,Central Midfield,23,Finland,0,8,7,14,275,179,11838,12,13,72,13,26,0,2018,2025
530740,Yeboah Amankwah,8042,FC Inter Turku,Centre-Back,25,England,30,10,9,18,291,138,10374,0,3,14,4,9,0,2017,2026
1067923,Mitja Haapanen,1008,HJK Helsinki,Goalkeeper,18,Finland,12,5,3,10,159,37,3180,0,0,0,0,5,3,2022,2026
93456,Jesse Öst,1008,HJK Helsinki,Goalkeeper,35,Finland,1,19,6,15,642,342,30085,1,2,0,0,11,0,2008,2026
1108049,Amara Nallo,1008,HJK Helsinki,Centre-Back,19,England,5,4,6,15,227,86,6406,5,1,22,4,17,9,2022,2025
482004,Ville Tikkanen,1008,HJK Helsinki,Centre-Back,26,Finland,6,11,4,15,442,253,21231,5,5,35,7,27,8,2016,2026
491391,Leonel Montano,1008,HJK Helsinki,Left-Back,26,Denmark,14,12,10,15,395,255,16774,36,20,50,14,38,0,2015,2026
395228,Till Cissokho,1008,HJK Helsinki,Centre-Back,26,France,3,12,11,21,368,235,19630,7,2,51,15,24,16,2015,2026
1015336,Kaius Simojoki,1008,HJK Helsinki,Right-Back,20,Finland,13,6,5,17,225,120,8880,3,5,10,2,13,29,2021,2026
937930,Emil Leveälahti,1008,HJK Helsinki,Centre-Back,19,Finland,24,6,3,15,178,66,4649,1,0,2,0,10,19,2021,2026
526869,Mihailo Bogicevic,1008,HJK Helsinki,Centre-Back,28,Serbia,31,10,5,12,306,207,16501,3,4,29,9,22,0,2014,2026
1102180,Eemil Toivonen,1008,HJK Helsinki,Right-Back,19,Finland,35,4,3,12,149,49,3203,5,2,4,2,11,9,2023,2026
322994,Lucas Lingman,1008,HJK Helsinki,Central Midfield,28,Finland,10,14,5,22,621,439,31505,33,64,85,30,53,52,2013,2026
82113,Alexander Ring,1008,HJK Helsinki,Central Midfield,35,Finland,4,20,9,24,810,576,44614,74,53,348,115,109,60,2007,2026
716894,Miska Ylitolva,1008,HJK Helsinki,Right-Back,22,Finland,28,9,5,20,348,194,12935,7,17,39,12,12,40,2018,2026
937990,Pyry Mentu,1008,HJK Helsinki,Central Midfield,19,Finland,8,6,3,14,178,118,7614,10,12,24,11,11,24,2021,2026
718431,Liam Möller,1008,HJK Helsinki,Attacking Midfield,21,Finland,22,8,3,20,260,129,7016,20,9,55,19,13,12,2019,2026
1111050,Mouhamed Guèye,1008,HJK Helsinki,Defensive Midfield,22,Senegal,32,5,3,12,106,50,2297,6,2,11,3,10,6,2022,2026
713140,Jere Kallinen,1008,HJK Helsinki,Central Midfield,24,Finland,15,9,3,12,276,186,11877,6,8,28,9,21,5,2018,2026
1018043,Martin Kirilov,1008,HJK Helsinki,Attacking Midfield,18,Finland,17,6,4,14,182,141,9033,34,14,7,1,18,37,2021,2026
1139732,Antton Nylund,1008,HJK Helsinki,Central Midfield,18,Finland,16,5,3,13,156,85,5550,5,2,2,0,9,36,2022,2026
484818,Santeri Haarala,1008,HJK Helsinki,Right Winger,26,Finland,29,11,11,16,388,257,16209,67,32,213,87,25,0,2016,2026
515024,Mads Borchers,1008,HJK Helsinki,Centre-Forward,24,Denmark,9,10,10,18,252,177,12314,69,22,115,56,15,0,2017,2026
322993,Lassi Lappalainen,1008,HJK Helsinki,Left Winger,27,Finland,26,14,7,25,571,311,17421,63,36,129,52,2,35,2013,2026
46972,Teemu Pukki,1008,HJK Helsinki,Centre-Forward,36,Finland,20,22,9,40,1143,828,55188,302,111,914,364,43,165,2005,2026
1249658,Alfie Cicale,1008,HJK Helsinki,Left Winger,24,England,7,4,2,7,96,67,4486,5,13,51,18,2,0,2023,2026
1067927,Toivo Mero,1008,HJK Helsinki,Left Winger,18,Finland,18,5,3,13,186,115,6084,35,7,15,6,8,32,2022,2026
937987,David Ezeh,1008,HJK Helsinki,Centre-Forward,20,Finland,19,6,4,20,277,137,7013,53,12,25,11,6,37,2021,2026
672789,Eetu Huuhtanen,8042,FC Inter Turku,Goalkeeper,23,Finland,1,9,4,13,358,188,16511,0,1,1,0,8,8,2018,2026
741588,Roni Hudd,1008,HJK Helsinki,Second Striker,21,Finland,11,8,6,18,273,130,6002,22,8,32,17,7,22,2019,2026
1073022,Eero Vuorjoki,8042,FC Inter Turku,Goalkeeper,20,Finland,12,6,4,15,190,55,4950,0,0,0,0,5,4,2021,2026
1268838,Alex Hilden,8042,FC Inter Turku,Goalkeeper,17,Finland,13,4,4,9,69,15,1350,0,0,0,0,0,2,2023,2026
357131,Ville Seppä,8042,FC Inter Turku,Goalkeeper,30,Finland,36,14,17,22,408,166,14552,0,1,0,0,10,0,2013,2026
592393,Jussi Niska,8042,FC Inter Turku,Left-Back,23,Finland,2,10,3,16,306,227,15276,9,15,89,15,26,15,2017,2026
1134347,Ilari Kangasniemi,8042,FC Inter Turku,Centre-Back,19,Finland,21,5,7,19,208,112,8923,8,2,9,2,14,34,2022,2026
737999,Luka Kuittinen,8042,FC Inter Turku,Centre-Back,23,Finland,22,8,5,15,259,197,15239,15,7,61,11,32,3,2019,2026
488778,Julius Tauriainen,8042,FC Inter Turku,Right-Back,25,Finland,24,12,9,24,373,212,14251,22,15,62,17,10,32,2015,2026
1018033,Axel Sandler,8042,FC Inter Turku,Centre-Back,19,Finland,20,6,4,9,115,60,3982,2,0,0,0,7,27,2021,2026
228650,Juuso Hämäläinen,8042,FC Inter Turku,Centre-Back,32,Finland,3,16,3,11,572,385,30755,11,5,29,7,75,3,2011,2026
488776,Seth Saarinen,8042,FC Inter Turku,Right-Back,25,Finland,18,12,9,18,331,219,13737,10,11,34,11,20,9,2015,2026
146907,Albin Granlund,8042,FC Inter Turku,Right-Back,36,Finland,5,18,8,23,689,462,35593,7,14,63,8,29,21,2009,2026
1118058,Bismark Ampofo,8042,FC Inter Turku,Central Midfield,23,Ghana,17,5,1,7,143,80,6010,6,5,52,14,12,0,2022,2026
622439,Johannes Yli-Kokko,8042,FC Inter Turku,Attacking Midfield,24,Finland,8,9,6,22,301,175,9440,23,18,62,26,15,0,2018,2026
619911,Janne-Pekka Laine,8042,FC Inter Turku,Central Midfield,25,Finland,14,10,7,17,359,208,13954,13,19,33,9,41,8,2017,2026
579257,Prosper Ahiabu,8042,FC Inter Turku,Defensive Midfield,27,Ghana,4,10,5,10,240,215,18105,9,10,91,21,42,3,2017,2026
273381,Iiro Järvinen,8042,FC Inter Turku,Central Midfield,29,Finland,19,15,8,15,527,349,21923,39,34,52,18,32,9,2012,2026
1139747,Eeli Kiiskilä,8042,FC Inter Turku,Central Midfield,18,Finland,35,5,4,10,119,49,2896,2,8,5,1,2,8,2022,2026
996665,Alie Conteh,8042,FC Inter Turku,Centre-Forward,21,Sierra Leone,10,6,6,14,153,105,6438,37,8,88,36,8,6,2021,2026
1040825,Loic Essomba,8042,FC Inter Turku,Right Winger,22,Cameroon,23,5,3,10,184,127,7430,22,25,84,41,11,0,2022,2026
649457,Jean Botué,8042,FC Inter Turku,Centre-Forward,23,Burkina Faso,11,9,3,15,240,144,6916,27,8,129,39,9,7,2018,2026
1190286,Clinton Jephta,8042,FC Inter Turku,Left Winger,19,Nigeria,16,4,5,8,150,89,6792,19,14,27,9,7,6,2023,2026
274749,Jasse Tuominen,8042,FC Inter Turku,Centre-Forward,30,Finland,9,15,10,26,549,305,16720,59,25,184,67,24,22,2012,2026
679829,Henri Salomaa,8042,FC Inter Turku,Right Winger,23,Finland,25,9,8,22,277,151,7794,17,11,9,6,6,30,2018,2026
937931,Vilho Huovila,8042,FC Inter Turku,Left Winger,20,Finland,26,6,5,15,227,131,6521,30,7,7,2,4,31,2021,2026
1051013,Vincent Ulundu,8042,FC Inter Turku,Left Winger,21,Finland,27,6,5,13,206,110,5237,13,10,42,14,4,16,2021,2026
