competition_id,n_players_with_match
FRC,758
FR1,741
FS,626
EL,343
FRYC,321
FR2,315
CL,288
U19Q,215
U21Q,202
19YL,191
ECLQ,178
CLQ,174
FRL,171
U17Q,166
UCOL,162
FRCH,147
FIWC,142
FRR1,135
WMQ2,135
ELQ,129
F19F,118
AFCQ,118
CN2A,118
AFCN,113
FR3,113
CN2B,111
17EU,109
FAC,105
PLIC,101
F19A,100
C3IF,99
CGB,96
C3BR,95
CCB,92
C3HF,92
GB1,92
CN2C,90
21EU,89
17WC,88
WMQ6,87
BE1,86
F19B,85
CN2D,80
CHAN,79
C3NA,78
C3NO,74
EMQ,73
F19C,72
F19D,71
UNLA,68
DFB,66
19EU,66
IT1,66
EURO,65
C3GE,65
C3VL,65
20WC,64
L1,62
CIT,61
KLUB,60
GB21,55
C3CM,54
ES1,51
CDR,50
GB2,47
USC,44
UNFI,41
POPO,41
OLYM,41
C3PL,41
PO1,40
EJPL,38
NLP,37
NL1,36
TRP,35
GBFL,35
C3BF,35
AA17,34
POWM,34
POCP,34
TR1,33
C1,32
SCC,32
SU20,32
POBE,30
BE2,30
FIC1,30
C3AR,29
FAYC,29
COPA,27
UNLB,26
21PL,25
ARCP,25
PO2,22
C3OC,21
BESC,21
20AC,21
DFL,21
POEM,20
WMQ4,20
ofb,20
GB18,20
DKP,19
MLS1,19
CLI,19
A1,19
NL2,19
23AC,18
DK1,17
GOCU,17
CS,17
GR1,17
GRP,17
L2,17
CAFC,17
SE1,16
TDV,16
CITP,16
SC1,16
SCI,16
NLJB,16
SEC,15
IT2,15
ESJP,15
ACL,15
UNPO,15
POCC,15
SFA,14
GBCS,14
PONL,14
17AC,14
FRR2,14
DKMR,13
BPO4,13
PL1,13
SUC,13
SAKC,13
SA1,13
BRA1,13
DKRE,13
POSU,12
A2,12
SCPM,12
E21P,12
NOPO,12
CNLA,12
ITJE,12
IJ1,12
PT23,12
ARCA,12
WMQ3,11
RUP,11
RU1,11
SCP,11
MLSP,11
NO1,11
BRC,11
2SAM,11
CNNF,11
SEN1,10
ES2,10
UNLC,10
DKDL,10
NLJV,10
NLAJ,10
POUS,9
23AF,9
L3,9
POGR,9
GB3,9
NLBE,9
DKRQ,9
NLSC,9
CH18,9
DKAR,8
CCL,8
WMQ1,8
AFCL,8
BEL3,8
POPU,8
AFT,8
AR1N,8
OLCF,8
EJPD,8
TRS,7
PLSC,7
BE2E,7
NLVB,7
P23C,7
PON2,7
18GB,7
DFBJ,7
BJ,7
RLW3,7
CHUC,7
CONC,6
USMX,6
TS1,6
POSB,6
TSP,6
EAFC,6
AFAC,6
CPO1,6
ZYP1,6
NLBV,6
MAR1,6
ITJF,6
BCP1,6
NLBA,6
ARY3,6
P232,6
ARG1,6
ARGC,6
C2,6
AJ,6
CHPR,6
NO2,6
CHC1,6
USSP,6
S1PO,6
T1MR,5
ITJ1,5
GBR,5
ZYPM,5
DK2,5
UKR1,5
UKRP,5
UNG1,5
CLIY,5
SPjr,5
CLPI,5
PTPR,5
NLAE,5
NO42,5
L1PO,5
NLBJ,5
AJ2,5
CH17,5
MARP,5
NO32,5
ITJ3,5
USL,5
SE2,4
DKPL,4
FARQ,4
TS2,4
SERP,4
AJ3,4
A1EL,4
A23Q,4
TR2,4
BU1,4
CILP,4
UKRS,4
ES3C,4
GCQU,4
RECO,4
C20P,4
BCPF,4
CB20,4
SCIJ,4
CDLP,4
A1P1,4
NLC,4
BJ2,4
ACLE,4
JAP1,4
JEMP,4
JAPC,4
PL31,4
PT3A,4
SER1,4
SCPA,4
CO17,4
OLCC,4
AJ1,4
ITJ4,4
KR1,3
KRC,3
CNLB,3
TUN1,3
TUNP,3
RU2,3
ITJ2,3
SER2,3
CYSC,3
GRS2,3
P2RL,3
FIL,3
FI2,3
FIS,3
FI1,3
MO1N,3
MWP1,3
CAN,3
GE1N,3
GESC,3
GEP1,3
RO1,3
UNGP,3
212F,3
211F,3
CNLQ,3
ES3B,3
ECUP,3
EC1N,3
EL1A,3
LPPL,3
EL1S,3
ECSC,3
CA16,3
E4G3,3
BE2A,3
SAM7,3
NO45,3
ES3A,3
NLAP,3
E3G2,3
181F,3
PL2,3
P3As,3
T211,3
PTRL,3
NLBB,3
GBKN,3
IT3A,3
IT3P,3
C18E,3
PLJF,3
USC3,3
SLO1,3
SKC,3
BRPR,3
BRA2,3
CZ3C,3
BJ1,3
RLSW,3
ISPO,3
E3PL,3
BULP,3
USLP,3
C220,3
IJ2A,3
JGD2,3
MEXA,3
POMX,3
MEX1,3
NCD1,3
ITPO,2
COLP,2
COPO,2
COL1,2
COLO,2
COLF,2
AG18,2
RSK1,2
K18C,2
GBEG,2
CAFS,2
EGYP,2
ESCU,2
EGY1,2
JUNO,2
SE3N,2
QSL,2
SAUP,2
QSCP,2
QEC1,2
QUC1,2
F1CL,2
ACFF,2
ROMP,2
PL2L,2
UKRM,2
UNLD,2
KR2,2
ES2P,2
211S,2
GCQ5,2
CARQ,2
RUJL,2
IT4P,2
ITJ5,2
FIYO,2
RESE,2
CLPF,2
CPP2,2
CZJ3,2
CZ21,2
UKR2,2
GB4,2
CNAT,2
P23A,2
E3PP,2
BJ3,2
BRRS,2
RS2f,2
BRCG,2
E4G4,2
181S,2
RUSS,2
BLPW,2
PLZJ,2
OQPO,2
VFVA,2
SR1R,2
P23Q,2
RTIP,2
T191,2
PLJW,2
US3P,2
SK2,2
SLAR,2
SURU,2
SCBR,2
ARG2,2
ATRM,2
EBEL,2
CZ19,2
ISR2,2
ISR1,2
510,2
NLEV,2
CHC3,2
RLN3,2
ITJP,2
UEFA,2
A198,2
W23C,2
BRNE,2
POME,2
NO31,2
NO46,2
L2PO,2
MNP3,2
TUNM,2
ALG1,2
CH1C,2
JAP3,2
JASP,2
RLN4,2
J1YV,2
IT3C,2
LETP,2
LET1,2
MOP2,2
