player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
928873,Alexis Mirbach,995,FC Nantes,Goalkeeper,21,France,50,6,5,13,266,85,7415,0,0,0,0,3,11,2021,2026
1241207,Tylel Tati,995,FC Nantes,Centre-Back,18,France,78,4,4,10,98,59,4708,1,0,3,0,9,11,2023,2026
485965,Nicolas Cozza,995,FC Nantes,Left-Back,27,France,3,12,6,16,472,243,18051,6,9,59,18,24,21,2015,2026
190280,Patrik Carlgren,995,FC Nantes,Goalkeeper,34,Sweden,30,16,8,24,609,380,33800,0,0,1,1,19,19,2010,2025
60561,Anthony Lopes,1420,Angers SCO,Goalkeeper,35,Portugal,1,21,4,23,1020,629,56142,0,3,2,0,24,47,2006,2026
962555,Abakar Sylla,667,RC Strasbourg Alsace,Centre-Back,23,Cote d'Ivoire,5,6,5,16,211,91,6042,5,1,33,11,20,6,2021,2026
344864,Jean-Kévin Duverne,995,FC Nantes,Centre-Back,28,Haiti,0,13,9,21,501,352,28246,10,9,80,21,41,19,2014,2026
344072,Kelvin Amian,995,FC Nantes,Right-Back,28,France,98,14,5,18,496,362,29591,8,10,168,49,52,26,2013,2026
358143,Chidozie Awaziem,995,FC Nantes,Centre-Back,29,Nigeria,6,13,12,30,609,375,29545,14,15,134,27,105,40,2014,2026
944724,Ali Youssif,995,FC Nantes,Centre-Back,24,Libya,2,8,3,10,113,81,6913,7,0,9,2,12,25,2019,2026
332560,Deiver Machado,826,RC Lens,Left-Back,31,Colombia,0,14,7,23,677,363,27167,15,31,132,29,66,19,2012,2025
384859,Fabien Centonze,995,FC Nantes,Right-Back,30,France,18,13,9,10,455,304,22879,15,19,126,30,51,0,2013,2026
169511,Uros Radakovic,995,FC Nantes,Centre-Back,32,Serbia,26,16,15,30,652,333,27346,13,5,52,19,52,11,2010,2025
354352,Frédéric Guilbert,995,FC Nantes,Right-Back,31,France,24,16,11,19,609,390,32418,8,21,167,30,65,1,2011,2026
825438,Sékou Doucouré,995,FC Nantes,Centre-Back,21,Mali,72,6,6,11,188,55,4033,2,0,0,0,4,2,2021,2026
944355,Mathieu Acapandié,995,FC Nantes,Right-Back,21,Madagascar,0,6,5,17,262,129,9027,3,5,2,1,8,6,2021,2026
1119456,Louis Leroux,995,FC Nantes,Attacking Midfield,20,France,66,6,5,12,163,113,7089,15,7,31,12,9,7,2021,2026
585973,Johann Lepenant,995,FC Nantes,Defensive Midfield,23,France,8,10,6,15,347,228,15571,7,9,86,20,29,51,2017,2026
1004619,Dehmaine Tabibou,995,FC Nantes,Central Midfield,21,France,17,6,5,15,239,159,9093,14,5,51,17,17,38,2021,2026
1011200,Junior Mwanga,738,Le Havre AC,Defensive Midfield,23,France,6,8,8,10,216,142,10621,9,6,70,15,12,6,2018,2026
562948,Hyun-seok Hong,995,FC Nantes,Attacking Midfield,26,"Korea, South",0,13,9,27,449,308,18496,25,42,110,40,13,31,2014,2026
911328,Mohamed Kaba,995,FC Nantes,Central Midfield,24,Guinea,21,8,5,7,232,146,9921,7,12,71,30,23,0,2019,2026
372712,Ibrahima Sissoko,995,FC Nantes,Defensive Midfield,28,Mali,28,13,6,20,563,339,23411,15,17,198,44,80,16,2014,2026
1176215,Bahmed Deuff,995,FC Nantes,Defensive Midfield,20,France,52,5,5,10,125,73,4353,5,0,12,5,9,0,2021,2026
550957,Hyeok-kyu Kwon,995,FC Nantes,Defensive Midfield,25,"Korea, South",0,11,8,19,316,152,10005,5,3,83,21,28,21,2016,2026
74869,Francis Coquelin,995,FC Nantes,Defensive Midfield,34,France,13,20,12,33,943,490,29604,12,15,75,17,82,26,2007,2026
