competition_id,n_players_with_match
FAC,833
GB1,808
FS,799
CGB,788
EL,469
CL,465
GB21,446
U21Q,422
GB2,409
GBFL,408
U19Q,350
FAYC,319
FIWC,305
PLIC,300
WMQ6,294
19YL,278
U17Q,273
21PL,260
GB18,248
EMQ,235
21EU,220
UNLA,203
UCOL,199
EURO,195
POCC,189
GBCS,186
ECLQ,185
ELQ,184
GB3,176
CLQ,164
17EU,151
E21P,149
FRC,132
UNLB,130
KLUB,127
SU20,126
FR1,122
UNFI,120
USC,120
19EU,117
POWM,111
DFB,110
GB4,107
17WC,105
L1,103
NLC,97
20WC,92
18GB,91
ES1,89
NL1,87
NLP,86
IT1,85
CDR,84
CIT,81
AA17,77
COPA,69
WMQ2,66
UNPO,63
BE1,62
SC1,61
AFCQ,59
CCB,58
AFCN,57
POG3,57
FRL,54
WMQ4,54
SFA,54
PO1,52
CNAT,50
OLYM,50
POPO,49
POEM,47
NL2,47
POCP,46
SCP,45
CHAN,43
UNLC,43
CS,43
CLI,41
FRYC,40
BRC,39
NLJB,39
BRA1,35
L2,33
EJPL,33
FR2,32
SCPM,32
NLSC,31
SUC,30
DFL,30
TR1,29
NLAJ,29
FRCH,27
FR4A,27
2SAM,27
SCI,27
NLJV,27
NLVB,27
POSU,25
A1,25
ofb,24
TRP,24
PO2,24
CITP,24
GBR,23
DK1,22
AFT,22
NLBJ,22
DKP,21
PONL,21
ES2,20
POG2,20
POBE,20
ES2P,20
BE2,20
TDV,19
SPjr,19
CB20,19
IJ1,19
DKDL,18
F17M,18
FRR1,18
BRCG,18
ARCA,18
MLS1,18
DFBJ,18
C1,18
SCC,18
FR4C,17
GOCU,17
AR1N,17
NLN6,17
WMQ1,17
NLAE,17
DKMR,16
DKRE,16
FR4D,16
BCP1,16
CNNF,16
C20P,16
NLBE,16
PT23,15
WMQ3,15
CNLA,15
NLBV,15
MLSP,15
SEC,15
SE1,15
ITJE,15
RECO,14
SSC,14
AJ3,14
FR4B,13
NO1,13
BRCF,13
AFAC,13
SCPA,13
BESC,13
PON2,13
E3G2,13
NOPO,12
GR1,12
L1PO,12
GRP,12
SCBR,12
USMX,12
OLCF,12
BCPF,12
ES3C,12
AJ2,12
L3,11
GBRN,11
BRA2,11
NLS6,10
DKRQ,10
ARCP,10
A2,10
TRS,10
POUS,10
AJ1,10
23AF,10
BJ3,10
23AC,10
JEMP,10
JAPC,10
GBKN,10
GBEG,9
P232,9
CONC,9
PTPR,9
RLN3,9
RLB3,9
POGR,9
IRPO,9
CLIY,9
ESJP,9
EAFC,9
SE2,9
FR5E,9
IT2,9
JAP1,9
AFCL,9
GBQ1,9
ITJF,9
UEFA,8
TSP,8
TS1,8
FR5G,8
GR20,8
BRCR,8
C220,8
F19B,8
BJ1,8
E3G1,8
DKAR,8
NLEV,8
BJ,8
CDLP,8
20AC,8
CILP,8
FR5J,7
ACL,7
211F,7
ES1P,7
IR1,7
RLW3,7
AJ,7
JGD2,7
F19A,7
SAM2,7
SER1,7
SERP,7
CHPR,7
ARY3,7
IT3P,7
ARLC,7
SAM7,7
A920,7
A23Q,7
ITJ5,7
NLBB,7
FR5L,6
FR5H,6
PT3A,6
CCL,6
SC1P,6
NLBA,6
BJ2,6
F19C,6
RLSW,6
NLAP,6
UKR1,6
FR5B,6
SB19,6
IT3A,6
GBQ2,6
IJ2A,6
KR1,6
ITJ2,6
CHUC,6
CH18,6
F19F,6
CLPI,6
BE2E,6
PL1,5
T1MR,5
CAFC,5
P3As,5
F19D,5
TS2,5
C2,5
JUNO,5
SE3N,5
181F,5
JGD3,5
UKRP,5
SB17,5
FR5A,5
POSB,5
JASP,5
JAP2,5
KRC,5
CDCA,5
POCO,5
USL,5
NTD,5
IT3B,5
UEQ,4
POPU,4
L2PO,4
P23Q,4
BRC2,4
MEX1,4
MXCA,4
POMX,4
MEXA,4
MXCC,4
CZ21,4
SCAG,4
SC2,4
SA1,4
USSP,4
NIR1,4
NILC,4
WALC,4
CZ19,4
COLP,4
COPO,4
PR1C,4
PR1A,4
AG18,4
DK2,4
181S,4
A168,4
CA16,4
ES3B,4
FR5K,4
EL1A,4
ECUP,4
E3PL,4
TDCS,4
P23C,4
GRS2,4
17AC,4
FR3,4
S21S,4
SR1C,4
E6NP,4
CH17,4
GBRS,3
POME,3
M20C,3
M20A,3
ARG1,3
SURU,3
URUI,3
URU1,3
URUC,3
GBRP,3
COLF,3
BEL3,3
BRNE,3
BRPE,3
BRNF,3
NO2,3
ILIP,3
COL1,3
ATRO,3
19S2,3
211S,3
NCD1,3
RESU,3
S21N,3
S21P,3
CHC1,3
FR5D,3
FFAC,3
AUS1,3
UKRS,3
ISR1,3
ISPO,3
UKRM,3
BRPR,3
SER2,3
SL1,3
182F,3
212F,3
K18C,3
A169,3
RKPO,3
RSK1,3
IR2,3
CO17,3
BRRS,3
RCBR,3
RS2f,3
UNGP,3
UN2,3
JL11,3
JL12,3
ITJ1,3
KR2,3
EC1N,3
LPPL,3
HRSC,3
NO45,3
AR3L,3
BPO4,3
EL1S,3
ITJ7,3
CLPF,3
ITJ4,3
JUSÖ,3
FR5I,3
GCQU,3
FIC1,3
A1EL,3
RU1,3
RUP,3
IT3C,3
J1PO,3
DKPL,2
CZ3C,2
NO46,2
SC14,2
M2L1,2
MXSC,2
M2L2,2
BVP,2
SC4,2
URU2,2
CH1C,2
P23F,2
P23A,2
FLAP,2
RTIP,2
NO44,2
IRLC,2
SC3,2
POFD,2
SFA1,2
TELK,2
SFAL,2
NEDC,2
SKC,2
SLO1,2
AUSF,2
SAKC,2
ISRF,2
TR2,2
BRA4,2
212S,2
