competition_id,n_players_with_match
GE1N,300
GEP1,236
GESC,182
ECLQ,176
FS,158
GEO2,137
GE2P,89
U19Q,88
CLQ,85
U17Q,70
ELQ,68
U21Q,66
19YL,49
GEO1,47
GEPO,39
GE2H,37
EL,20
WMQ6,20
GEP3,19
EMQ,17
19EU,17
UKRP,17
SPjr,16
21EU,15
ZYP1,14
UNLC,14
POPO,14
UKR1,14
RUP,14
BRC,14
POEM,13
LET1,13
LETP,13
CPO1,12
PO2,12
UCOL,12
PO1,11
FRC,11
POCP,11
RU1,11
BRA2,11
GEOA,11
GEOM,10
FR2,9
UNLD,9
AZ1,9
ASPK,9
UNPO,9
GRP,9
ofb,9
ISR1,9
BU1,9
RU2,9
RUJL,9
FR1,8
FRL,8
KAS1,8
KAZP,8
ARM1,8
BRA1,8
ZYPA,7
GR1,7
CL,7
GRS2,7
BULP,7
LTVP,7
PT23,7
CB20,7
ISRA,7
ISPO,7
ZYPM,6
UKR2,6
UA3L,6
BOS1,6
RO1,6
BIHP,6
BCP1,6
BRCG,6
BRA4,6
UNLB,6
P23Q,6
POPU,6
BRA3,6
BRNE,6
A2,6
WMQ2,5
QFLC,5
ROMP,5
A1,5
17EU,5
ARPO,5
EURO,5
L2,5
LI1,5
ALB1,5
ALBP,5
TRP,5
C20P,5
PL1,5
UNG1,5
KOBU,5
FIS,5
KR2,5
KG1L,5
UEQ,4
MO1N,4
MWP1,4
SLO1,4
RO1R,4
BE2,4
BRCR,4
BCPF,4
SKC,4
CYSC,4
SERP,4
SER1,4
PTPR,4
UNGP,4
TR2,4
AFCQ,4
DK1,4
UZ1,4
BRPE,4
KRC,4
DFB,4
ISR2,4
LUX1,4
BRRS,4
PTRL,3
CDR,3
CN2C,3
C3NO,3
NLBE,3
NLAJ,3
NLP,3
CCB,3
TSP,3
TS1,3
E3G1,3
RUSR,3
TDV,3
BI19,3
TR1,3
P23C,3
S2PO,3
POGR,3
PON2,3
20WC,3
SEC,3
DKP,3
DKRE,3
T191,3
PLIC,3
KR1,3
NL2,3
CLI,3
C3HF,3
FRYC,3
F19A,3
KGPO,3
RKPO,3
UARP,3
PL2,3
RLB3,3
LUXP,3
ISRF,3
LET2,3
CS,3
PT3A,3
P3As,3
SCC,2
C1,2
ES2,2
CN2D,2
MOP2,2
AFCN,2
C3PL,2
C3BF,2
SL1,2
POSL,2
S1PO,2
NL1,2
GB21,2
17WC,2
GB2,2
FAC,2
CGB,2
GB1,2
NPFL,2
20AC,2
CZ3M,2
T1AR,2
SK2,2
BU2,2
UEFA,2
UI,2
IRNP,2
IRN1,2
SR1C,2
FR3,2
C3NA,2
C3VL,2
CN2A,2
SLAR,2
CHAN,2
17AC,2
DKAR,2
DK2,2
P232,2
FI1,2
FAYC,2
KOG2,2
JEMP,2
SER2,2
CITP,2
ES2P,2
FIL,2
BRPR,2
BRNF,2
RLN3,2
BEL3,2
HRSC,2
L1,2
C3BR,2
F19F,2
UZ2L,2
KLUB,2
ACLE,2
AR3L,2
IT4H,2
DKDL,2
NOPO,2
NO1,2
KAS2,2
RSK2,2
RPLU,2
PL2L,2
BRCF,2
BRGO,2
LTU2,2
RPLZ,2
WRPO,2
WER1,2
RU17,2
FI3P,2
FIYK,2
FI2,2
2DVB,2
BI17,2
UA19,2
P3Au,1
ES1P,1
C2,1
SLMR,1
E4G4,1
CN2B,1
FRCH,1
21PL,1
NLBA,1
PONL,1
FIWC,1
NLSC,1
MAZ1,1
BE2E,1
S2PA,1
TS2,1
EJPD,1
