competition_id,n_players_with_match
GR1,727
GRP,666
FS,489
S1PO,324
ELQ,312
EL,307
ECLQ,279
POGR,279
CLQ,273
GR20,271
GRS2,270
U21Q,259
U19Q,227
GRPL,175
U17Q,170
CL,169
UCOL,162
S2PA,149
19YL,142
WMQ6,127
EMQ,114
GRSC,102
S2PO,99
G2SC,87
CDR,86
G19C,78
19EU,72
ZYP1,70
UNLB,68
CIT,67
FIWC,67
CPO1,66
PO1,65
ES1,65
POPO,64
FRC,63
UNLC,63
GR2,62
IT1,61
EURO,61
21EU,60
POEM,59
ES2,59
FAC,59
TRP,57
TR1,55
BE1,52
NLP,52
CGB,52
FR1,51
CCB,51
CS,51
POCP,50
POWM,50
NL1,50
WMQ2,47
UNLA,46
DFB,46
17EU,45
GB1,45
UNPO,45
PL1,44
AFCQ,44
20WC,44
AFCN,42
CLI,42
ARCA,40
GB2,38
ZYPM,37
L1,37
PO2,36
FRL,36
FR2,34
TDV,34
POPU,34
PLIC,34
POBE,34
AR1N,33
GB21,33
CHAN,32
SER1,31
CITP,30
SERP,30
RU1,30
ES2P,29
IT2,29
RUP,29
L2,28
NL2,27
ZYPA,26
RO1,26
CDLP,26
SU20,26
PT23,25
KR1,25
ES3C,24
RLGR,23
ROMP,23
IJ1,23
ES3B,23
EJPL,22
USMX,22
ES1P,21
ARGC,21
ARG2,21
GBFL,21
ARG1,21
17WC,21
SLO1,20
KRC,20
FAYC,20
BU1,20
MLS1,20
ES3D,19
DKP,19
DK1,19
KLUB,19
BRC,19
BRA1,19
CCL,19
E3G2,18
SE1,18
SEC,18
ITJE,18
SKC,18
ES3A,18
MLSP,18
TR2,17
AA17,17
21PL,17
FR4B,17
ISR1,16
RO1C,16
POSU,16
CLPI,16
C1,16
UKR1,16
BULP,16
GOCU,15
UKRP,15
ofb,15
POUS,15
WMQ3,15
FR4A,14
ARLC,14
ARY3,14
SCC,14
COPA,14
A1,14
CYSC,14
CNLA,14
ESJP,13
ISPO,13
SER2,13
GRP3,13
CILP,13
TSP,13
MEXA,13
2SAM,13
PTPR,13
SLAR,13
SC1,13
SAKC,13
CDCA,13
SB19,13
FRCH,13
FRR1,12
FR3,12
GR2S,12
WMQ4,12
UAE1,12
NLBE,12
TS1,12
DKRE,12
MEX1,12
BESC,12
GB3,12
ROMS,12
OLYM,12
SCI,12
UNFI,12
GRP2,12
UNG1,11
ISRF,11
FRYC,11
CSL,11
DKMR,11
FR5F,11
SFA,11
RO1R,11
SA1,11
PLSC,11
CNNF,11
E3PL,10
UNGP,10
CHFA,10
POSB,10
A2TP,10
GR2N,10
GR2O,10
PONL,10
SUC,10
SCP,10
NLJB,10
PON2,10
A2,10
FIYO,10
BE2,10
RUSS,10
NOPO,9
ITJ1,9
BRA2,9
RUJL,9
20AC,9
SK2,9
TRS,9
NLAJ,9
L1PO,9
NLBV,9
SR1C,9
FR4D,9
NO1,8
SCIJ,8
USC,8
F17M,8
L3,8
UAEP,8
UALC,8
CDCO,8
GBCS,8
DKAR,8
MXCC,8
A1P1,8
SPjr,8
TS2,8
P232,8
SCPM,8
UKRS,8
RECO,8
E3G1,8
FI1,8
E3FA,8
GB18,8
FR4C,8
GCQU,8
FR5G,7
PL2,7
HRSC,7
ISRA,7
MXCA,7
CONC,7
CB20,7
23AC,7
MNEC,7
MNE1,7
CAFC,7
NLJV,7
NLAE,7
NLVB,7
SA2L,7
KR2,7
OLCF,7
ACL,7
IT3A,7
FIS,7
UKRM,7
T1MR,7
FR5H,7
POMX,7
CLPF,7
FR5C,7
FR5I,6
GR2T,6
ARCP,6
SR1R,6
PTRL,6
CPSA,6
P23Q,6
IT3C,6
CZ3C,6
ITJ2,6
DKDL,6
POME,6
CA16,6
ALPS,6
URU1,6
BRCG,6
BRNE,6
P23C,6
FR5B,6
RLB3,6
ITJ7,6
SCPA,6
A1EL,6
ROPC,6
BULS,6
POCC,6
S21P,6
L2PO,6
SL1,6
BUEL,6
FR5L,6
CEF1,6
PL31,6
BRRS,6
RS2f,6
SAM7,6
USL,6
BCP1,6
CPSB,6
ALB1,5
IS1,5
IRLP,5
ITJ3,5
DKPL,5
CYP2,5
ITJ5,5
ITJF,5
M20A,5
CH1C,5
C2,5
URUC,5
BRCF,5
GEP1,5
GE1N,5
FR5K,5
IT3B,5
NTD,5
CNLB,5
C20P,5
DFL,5
ITC4,5
S21N,5
NLBB,5
MEX2,5
MEXB,5
FIL,5
AR2T,5
DFBJ,5
RO2,5
DK2,5
DKRQ,5
CPSC,5
BPO4,5
AJ3,5
CH18,5
CHUC,5
SB17,5
E4G4,5
ISP,4
NO2,4
ISL,4
POLL,4
