competition_id,n_players_with_match
IR1,348
IRPO,342
IRLC,243
ECLQ,180
FS,172
IRPC,138
IR2,126
ELQ,117
FAC,99
GBFL,97
CGB,93
CLQ,91
IR12,90
ILIP,88
U17Q,75
UCOL,74
U21Q,70
GB3,68
U19Q,65
IRMC,64
GB4,63
21PL,62
FAYC,58
SSC,53
GB21,47
GB2,45
19YL,40
SFA,39
SCP,39
GB18,34
CNAT,34
SC1,32
NIR1,32
PLIC,30
NILC,30
NIRC,22
SC2,21
NLN6,20
17EU,20
EL,19
GB1,18
17WC,16
MLSP,15
SCPA,15
NIRF,15
E21P,15
SC1P,14
POG2,14
NIRU,14
SC3,12
NIRE,12
18GB,12
WMQ6,11
USL,11
EMQ,11
MLS1,11
WALC,10
MNP3,10
SCPM,10
POCC,10
POG3,10
POEM,9
UNLB,9
19EU,9
NLS6,9
NLC,9
NIR2,8
FIS,8
SC4,7
POWM,7
POCO,7
CAN,7
MNPP,6
POUS,6
POFD,6
FI1,6
CDN1,6
USMX,6
NCD1,6
SEC,5
FIL,5
NL2,4
CL,4
EURO,4
CCL,4
NSC,4
PTPR,4
PT23,4
USLP,4
POPO,4
USC3,4
SE2,3
SE1,3
AUS1,3
NZL1,3
CPO1,3
ZYP1,3
GBR,3
NLP,3
CITP,3
NIMC,3
F1CL,3
E6NP,3
CASH,3
CAPL,3
WAL1,3
IJ1,3
POCP,3
F1CC,3
FRYC,2
SE3N,2
JUNO,2
NO2,2
WMQ2,2
FIWC,2
NIAR,2
NWSC,2
SC5H,2
POSD,2
AFCC,2
AUSF,2
20WC,2
ZYPM,2
CYSC,2
BE2,2
CCB,2
GBRP,2
GBQ1,2
ZYPA,2
NL1,2
IT1,2
BE1,2
E6SP,2
NLJB,2
NLVB,2
GBCS,2
PL1,2
CIT,2
ITJ7,2
IT2,2
AA17,2
KLUB,2
P23C,2
F1CE,2
FI2,2
NOPO,2
NZP1,2
NZNL,2
US3P,2
MUCU,2
P23Q,2
P23A,2
P23F,2
PO1,2
CO17,2
NIPP,2
F19A,1
CN2B,1
NIR3,1
RESU,1
TRP,1
TR2,1
POT2,1
SC3M,1
ACLE,1
FFAC,1
CHC2,1
WMQ5,1
OC24,1
EST1,1
NZLP,1
OFCN,1
OF19,1
ESTP,1
AFCQ,1
AFCN,1
WLC1,1
NLBE,1
IJ2A,1
ITJP,1
GRP,1
GRS2,1
USSP,1
PON2,1
EJPD,1
BPO4,1
NLAP,1
181F,1
FIYO,1
NLBJ,1
181S,1
UNLC,1
UEQ,1
L3,1
POPU,1
PL2,1
PLJW,1
PL34,1
CYP2,1
1CY2,1
2CYP,1
ISP,1
NLAE,1
NLAJ,1
NLJV,1
F19C,1
BEL3,1
PO2,1
PT3A,1
P3Au,1
EFD2,1
UNLA,1
YKCP,1
CZ3M,1
CAN1,1
YKAU,1
YKAB,1
CA1F,1
IND1,1
INSC,1
INDC,1
AFQU,1
INDP,1
TDV,1
NO1,1
NO43,1
NO46,1
ITJ5,1
ITJE,1
SCIJ,1
ITJF,1
ITJ9,1
HGKG,1
HKP2,1
HKSC,1
HK2F,1
HKFA,1
UL2P,1
NSL1,1
NZPO,1
USLC,1
LETP,1
LET1,1
DK2,1
DKRE,1
DKP,1
ITJ2,1
BIHP,1
ISR2,1
BOS1,1
ISPO,1
C220,1
SLO1,1
SKC,1
BJ3,1
RLSW,1
HEPO,1
AJ3,1
NCL1,1
WALE,1
GBRN,1
NPFL,1
FI3B,1
CHC1,1
C1,1
SCC,1
C2,1
RTIP,1
NO32,1
NO44,1
NO31,1
