player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1339598,Billy Regan,42394,Galway United FC,Centre-Back,18,Ireland,0,3,2,3,72,4,164,0,0,0,0,0,0,2023,2025
1223529,Callum Honohan,3258,Shamrock Rovers,Centre-Back,20,Ireland,0,3,3,6,122,24,1780,1,2,0,0,4,0,2023,2025
1028907,Dáithí Folan,6066,Dundalk FC,Goalkeeper,21,Ireland,0,5,4,6,130,4,360,0,0,0,0,0,0,2021,2025
514370,Jubril Okedina,9211,Bohemian Football Club,Centre-Back,25,Malawi,2,10,5,12,368,191,14789,5,2,56,10,21,2,2016,2025
1374490,Adam Coyne,7609,Waterford FC,Defender,22,Ireland,24,2,2,5,69,4,212,0,1,0,0,0,0,2024,2025
1113874,Daniel Chukwu,1189,St. Patrick's Athletic,Right Midfield,21,Ireland,0,4,5,8,143,11,258,1,0,0,0,2,0,2022,2025
1365581,James Bailey,3909,Shelbourne FC,Attacking Midfield,18,Ireland,0,3,3,10,98,19,1314,6,1,0,0,2,0,2024,2026
648042,Glory Nzingo,1189,St. Patrick's Athletic,Attacking Midfield,21,Ireland,42,7,5,13,169,86,4451,15,3,8,3,2,14,2018,2025
1299765,Callum Doherty,920,Derry City,Attacking Midfield,18,Ireland,0,4,3,8,94,41,1973,5,0,0,0,1,0,2023,2026
1005113,Maill Lundgren,3909,Shelbourne FC,Right Winger,25,Sweden,28,7,8,11,164,117,6334,13,13,17,6,20,0,2019,2026
1475565,Shea Callister,920,Derry City,Goalkeeper,20,England,26,3,4,7,54,7,630,0,0,0,0,0,0,2024,2026
1140231,Guilherme Rego Priosti,8780,Sligo Rovers,Attacking Midfield,20,Ireland,63,4,4,6,138,28,802,1,1,0,0,1,0,2022,2025
1230607,Dare Kareem,4277,Drogheda United FC,Centre-Forward,20,Nigeria,15,3,3,5,81,44,1782,4,1,0,0,2,0,2023,2025
957309,Jason Healy,7609,Waterford FC,Goalkeeper,20,Ireland,25,6,2,9,153,29,2546,0,0,0,0,0,19,2021,2026
1226933,Zak Reddy,3258,Shamrock Rovers,Central Midfield,19,Ireland,0,4,2,9,142,9,497,0,0,0,0,0,0,2023,2026
524131,Tom Grivosti,6066,Dundalk FC,Centre-Back,27,England,44,9,5,12,386,166,12925,6,8,51,14,33,0,2017,2025
1226920,Matthew O'Hara,1189,St. Patrick's Athletic,Attacking Midfield,20,Ireland,45,3,1,4,83,9,303,0,0,0,0,2,0,2023,2025
983806,Sean McHale,1189,St. Patrick's Athletic,Centre-Back,21,Ireland,33,5,4,8,131,76,5408,4,3,0,0,10,6,2021,2025
683665,Rob Slevin,920,Derry City,Centre-Back,28,Ireland,6,10,7,11,269,178,14181,9,8,49,12,25,0,2017,2026
596142,Wessel Speel,3909,Shelbourne FC,Goalkeeper,24,Netherlands,1,10,9,17,172,84,7395,0,0,1,1,2,0,2017,2026
367153,Ciaron Harkin,8780,Sligo Rovers,Central Midfield,30,Northern Ireland,6,11,5,14,406,241,17112,11,18,14,2,43,0,2014,2025
546159,Will Fitzgerald,3258,Shamrock Rovers,Left Winger,27,Ireland,24,11,5,9,344,273,19442,12,41,101,33,21,0,2016,2026
184033,Conor Gleeson,42394,Galway United FC,Goalkeeper,33,Ireland,32,9,3,6,247,80,6948,0,0,0,0,2,0,2009,2025
1231218,Scott Brady,4277,Drogheda United FC,Central Midfield,20,Ireland,28,3,3,5,122,11,338,0,0,0,0,2,0,2023,2025
1110017,Jesse Dempsey,7609,Waterford FC,Left-Back,21,Ireland,14,5,4,9,153,52,3205,1,3,11,4,8,3,2022,2026
733467,Finlay Armstrong,7609,Waterford FC,Left-Back,23,England,12,7,8,15,235,111,7193,1,5,21,9,12,0,2019,2025
1366946,Alan Zborowski,7609,Waterford FC,Centre-Back,18,Poland,43,2,2,5,77,10,702,0,0,0,0,0,0,2024,2025
1260401,TJ Molloy,6066,Dundalk FC,Second Striker,17,Ireland,29,4,2,8,107,33,1634,11,3,0,0,0,18,2023,2026
1472548,Ryan Long,920,Derry City,Centre-Back,19,Ireland,0,3,2,7,74,1,90,0,0,0,0,0,0,2024,2026
1134233,Alex Noonan,3258,Shamrock Rovers,Goalkeeper,18,Ireland,41,5,2,14,181,40,3060,0,0,0,0,3,35,2022,2026
939272,Maleace Asamoah,3258,Shamrock Rovers,Right Winger,23,England,15,6,7,14,245,93,4048,11,9,63,29,14,0,2021,2026
1226925,Rhys Brennan,9211,Bohemian Football Club,Right Midfield,20,Ireland,19,4,3,6,125,48,2664,6,7,18,8,7,0,2023,2026
355376,Jamie McGonigle,8780,Sligo Rovers,Centre-Forward,30,Northern Ireland,18,13,5,16,495,398,25055,126,35,160,66,28,5,2014,2026
478712,Ed McGinty,3258,Shamrock Rovers,Goalkeeper,27,Ireland,1,11,3,17,428,253,22670,0,1,0,0,18,5,2016,2026
1069756,Mitchell Bates,42394,Galway United FC,Attacking Midfield,22,Wales,37,5,4,9,95,50,3785,2,3,2,0,7,0,2022,2026
184007,Rory Gaffney,3258,Shamrock Rovers,Centre-Forward,36,Ireland,20,19,7,18,795,559,37217,137,83,239,101,47,0,2008,2026
458633,Tunmise Sobowale,3258,Shamrock Rovers,Right-Back,27,Ireland,22,11,7,18,348,232,14825,6,13,31,2,24,0,2015,2026
1366903,Todd Bazunu,3258,Shamrock Rovers,Goalkeeper,18,Ireland,35,3,1,8,101,6,540,0,0,0,0,0,0,2024,2026
217752,Lee Steacy,3258,Shamrock Rovers,Goalkeeper,33,Ireland,25,14,7,13,507,138,12320,0,1,0,0,1,0,2011,2026
264193,Dan Cleary,3258,Shamrock Rovers,Centre-Back,30,Ireland,6,15,9,27,604,354,29663,23,16,59,12,102,13,2012,2026
166158,Roberto Lopes,3258,Shamrock Rovers,Centre-Back,34,Cape Verde,4,18,2,15,790,588,50735,33,11,90,27,81,50,2009,2026
957327,Cory O'Sullivan,3258,Shamrock Rovers,Centre-Back,20,Ireland,27,6,2,14,288,112,8546,1,5,8,2,13,36,2021,2026
741232,Cian Barrett,3258,Shamrock Rovers,Centre-Back,21,Ireland,33,6,3,11,196,77,4292,1,2,6,3,17,9,2019,2026
365180,Lee Grace,3258,Shamrock Rovers,Centre-Back,33,Ireland,5,13,3,11,534,408,34251,15,12,94,29,55,0,2014,2026
108878,Adam Matthews,3258,Shamrock Rovers,Right-Back,34,Wales,2,21,8,36,1010,529,38843,12,47,21,6,38,35,2006,2026
1124848,Luke O'Regan,3258,Shamrock Rovers,Right-Back,21,Ireland,17,5,3,10,163,82,5753,1,3,0,0,4,3,2022,2026
85706,Enda Stevens,3258,Shamrock Rovers,Left-Back,36,Ireland,3,20,11,28,1007,589,49416,14,59,116,27,106,29,2007,2026
586628,Matthew Healy,3258,Shamrock Rovers,Central Midfield,24,Ireland,8,11,5,17,272,190,15593,16,17,126,44,39,14,2016,2026
217757,Jack Byrne,3258,Shamrock Rovers,Central Midfield,30,Ireland,29,16,11,32,615,379,27044,58,95,88,33,60,29,2011,2026
1260393,Victor Ozhianvuna,3258,Shamrock Rovers,Attacking Midfield,17,Ireland,36,4,1,11,133,54,2849,1,2,33,8,4,17,2023,2026
957295,Naj Razi,3258,Shamrock Rovers,Attacking Midfield,19,Ireland,28,6,4,15,182,95,5406,14,8,8,3,14,38,2021,2026
365201,Dylan Watts,3258,Shamrock Rovers,Central Midfield,29,Ireland,7,13,4,17,537,405,26669,42,61,118,35,48,6,2014,2026
