player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1373462,Thórdur Sveinn Einarsson,1033,Valur Reykjavík,Defensive Midfield,20,Iceland,45,2,3,5,52,8,89,0,0,0,0,1,0,2024,2025
1108183,Egill Otti Vilhjálmsson,3832,Fram Reykjavík,Attacking Midfield,21,Iceland,18,4,3,6,107,38,1480,4,0,1,1,2,0,2022,2025
1055604,Vidir Jökull Valdimarsson,21864,Thór Akureyri,Goalkeeper,19,Iceland,12,4,4,7,70,8,587,0,0,0,0,0,4,2022,2025
1055596,Jochum Magnússon,5849,Víkingur Reykjavík,Goalkeeper,18,Iceland,16,4,2,11,80,18,1261,0,0,0,0,0,9,2022,2025
305706,Aron Snaer Fridriksson,5849,Víkingur Reykjavík,Goalkeeper,29,Iceland,29,15,7,13,390,197,17467,0,0,0,0,6,5,2012,2026
110581,Ingvar Jónsson,5849,Víkingur Reykjavík,Goalkeeper,36,Iceland,1,20,8,27,685,428,37747,0,2,0,0,15,9,2007,2026
889862,Uggi Jóhann Audunsson,5849,Víkingur Reykjavík,Goalkeeper,21,Iceland,0,7,2,8,177,1,29,0,0,0,0,0,0,2020,2026
103444,Ögmundur Kristinsson,5849,Víkingur Reykjavík,Goalkeeper,37,Iceland,47,22,11,31,850,310,27396,0,2,0,0,12,20,2005,2026
396938,Helgi Gudjónsson,5849,Víkingur Reykjavík,Left-Back,26,Iceland,9,12,2,12,388,339,18966,103,28,130,62,13,6,2015,2026
464455,Karl Fridleifur Gunnarsson,5849,Víkingur Reykjavík,Right-Back,25,Iceland,22,11,4,14,351,243,16745,23,19,49,20,45,22,2016,2026
268531,Oliver Ekroth,5849,Víkingur Reykjavík,Centre-Back,34,Sweden,4,15,5,13,448,383,33066,22,14,57,16,66,0,2012,2026
998487,Sveinn Gísli Thorkelsson,5849,Víkingur Reykjavík,Centre-Back,22,Iceland,2,7,3,10,177,102,5533,8,4,28,9,20,1,2020,2026
579573,Róbert Orri Thorkelsson,5849,Víkingur Reykjavík,Centre-Back,24,Iceland,15,10,5,23,339,162,11052,8,1,9,3,19,38,2017,2026
1334378,Gestur Alexander Hafthórsson,5849,Víkingur Reykjavík,Defender,16,Iceland,0,2,1,3,22,7,307,0,0,0,0,0,7,2024,2025
187664,Davíd Örn Atlason,5849,Víkingur Reykjavík,Right-Back,31,Iceland,24,17,3,13,507,316,20242,14,24,27,7,36,4,2010,2026
1015870,Sölvi Stefánsson,5849,Víkingur Reykjavík,Centre-Back,19,Iceland,0,5,3,7,111,59,4572,3,1,2,1,11,22,2021,2025
291070,Gunnar Vatnhamar,5849,Víkingur Reykjavík,Centre-Back,31,Faroe Islands,6,15,2,19,545,415,32635,57,20,74,25,42,59,2012,2026
489000,Daníel Hafsteinsson,5849,Víkingur Reykjavík,Central Midfield,26,Iceland,11,11,4,19,380,265,19333,46,28,143,48,65,17,2016,2026
90466,Gylfi Sigurdsson,5849,Víkingur Reykjavík,Attacking Midfield,36,Iceland,10,21,10,34,1032,663,49213,179,112,411,161,60,103,2006,2026
602486,Tarik Ibrahimagić,5849,Víkingur Reykjavík,Central Midfield,25,Denmark,20,9,6,20,324,191,11418,11,8,45,16,36,3,2018,2026
332531,Erlingur Agnarsson,5849,Víkingur Reykjavík,Attacking Midfield,28,Iceland,7,14,1,12,422,294,20549,49,30,78,34,27,14,2013,2026
788042,Jóhannes Bjarnason,1185,FH Hafnarfjördur,Central Midfield,21,Iceland,0,8,5,16,256,124,8114,18,14,101,37,12,29,2019,2026
445698,Viktor Örlygur Andrason,5849,Víkingur Reykjavík,Defensive Midfield,26,Iceland,8,12,1,15,419,277,15389,18,16,47,18,22,22,2015,2026
178926,Aron Elís Thrándarson,5849,Víkingur Reykjavík,Central Midfield,31,Iceland,21,17,4,30,671,417,26431,76,46,103,29,40,41,2010,2026
659298,Sveinn Hauksson,5849,Víkingur Reykjavík,Attacking Midfield,24,Iceland,30,7,3,9,218,149,9745,24,11,90,33,25,0,2019,2025
1531220,Vidar Elí Bjarnason,5849,Víkingur Reykjavík,Midfield,0,Iceland,0,1,1,2,10,0,0,0,0,0,0,0,0,2025,2025
1531221,Hilmir Thor Christiansen,5849,Víkingur Reykjavík,Midfield,0,Iceland,0,1,1,2,12,0,0,0,0,0,0,0,0,2025,2025
1536037,Bjarki Már Ásmundsson,5849,Víkingur Reykjavík,Central Midfield,18,Iceland,54,1,1,1,14,0,0,0,0,0,0,0,0,2025,2025
823833,Óskar Borgthórsson,5849,Víkingur Reykjavík,Left Winger,23,Iceland,19,8,4,13,203,142,8428,26,16,125,49,16,10,2019,2026
205655,Elías Már Ómarsson,5849,Víkingur Reykjavík,Centre-Forward,31,Iceland,28,16,10,31,680,447,28235,147,29,498,220,22,32,2011,2026
422438,Valdimar Thór Ingimundarson,5849,Víkingur Reykjavík,Centre-Forward,27,Iceland,25,12,5,17,397,293,20153,71,28,147,70,30,13,2015,2026
193680,Nikolaj Hansen,5849,Víkingur Reykjavík,Centre-Forward,33,Denmark,23,16,4,12,550,389,21267,127,22,149,60,59,0,2011,2026
1108188,Dadi Berg Jónsson,5849,Víkingur Reykjavík,Second Striker,20,Iceland,18,5,2,10,150,39,2011,13,3,37,14,5,8,2022,2026
914943,Stígur Thórdarson,5849,Víkingur Reykjavík,Left Winger,20,Iceland,77,6,2,13,156,44,2343,6,2,27,5,5,19,2020,2026
866807,Ármann Ingi Finnbogason,5849,Víkingur Reykjavík,Right Winger,22,Iceland,69,7,4,8,174,88,3940,10,9,17,4,3,0,2020,2026
1192117,Thorri Ingólfsson,5849,Víkingur Reykjavík,Left Winger,16,Iceland,0,5,1,8,64,20,1212,2,1,2,0,1,16,2022,2026
1172622,Jón Sölvi Símonarson,1231,ÍA Akranes,Goalkeeper,19,Iceland,0,4,2,8,75,28,2132,0,0,0,0,0,19,2022,2025
325087,Anton Ari Einarsson,3737,Breidablik Kópavogur,Goalkeeper,31,Iceland,1,13,4,18,552,379,33695,0,1,0,0,6,2,2013,2025
1334358,Elmar Ágúst Halldórsson,3737,Breidablik Kópavogur,Goalkeeper,16,Iceland,0,2,1,2,14,9,518,0,0,0,0,0,9,2024,2025
1072744,Gylfi Berg Snaehólm,3737,Breidablik Kópavogur,Goalkeeper,17,Iceland,12,5,1,12,94,20,1101,0,0,0,0,0,20,2022,2026
718462,Hlynur Freyr Karlsson,3737,Breidablik Kópavogur,Centre-Back,22,Iceland,0,7,8,22,251,163,11967,6,5,28,7,13,39,2019,2025
576739,Valgeir Valgeirsson,3737,Breidablik Kópavogur,Right-Back,23,Iceland,17,9,3,17,324,226,16177,19,20,29,4,53,30,2017,2025
313342,Viktor Örn Margeirsson,3737,Breidablik Kópavogur,Centre-Back,31,Iceland,21,14,3,11,454,346,27849,16,8,36,12,56,1,2012,2025
317575,Ívar Örn Árnason,3737,Breidablik Kópavogur,Centre-Back,30,Iceland,5,13,4,7,344,249,19917,11,8,74,13,64,0,2013,2025
429892,Davíd Ingvarsson,3737,Breidablik Kópavogur,Left-Back,27,Iceland,18,11,4,15,357,235,16752,15,20,80,23,29,4,2015,2025
941544,Ásgeir Helgi Orrason,3737,Breidablik Kópavogur,Centre-Back,21,Iceland,4,6,2,14,174,94,6671,6,5,18,9,11,9,2019,2025
1055663,Gabríel Snaer Hallsson,3737,Breidablik Kópavogur,Right-Back,19,Iceland,29,4,1,12,88,51,2332,2,3,11,3,2,15,2022,2025
90035,Kristinn Jónsson,3737,Breidablik Kópavogur,Left-Back,35,Iceland,19,20,5,23,731,470,37482,28,51,49,19,41,23,2006,2025
183365,Höskuldur Gunnlaugsson,3737,Breidablik Kópavogur,Central Midfield,31,Iceland,7,15,2,20,563,412,32522,102,65,190,74,41,16,2010,2025
282095,Viktor Karl Einarsson,3737,Breidablik Kópavogur,Central Midfield,29,Iceland,8,13,4,23,488,363,26566,53,40,127,43,48,21,2013,2025
90044,Kristinn Steindórsson,3737,Breidablik Kópavogur,Attacking Midfield,36,Iceland,10,21,7,25,725,519,34448,100,40,102,29,56,13,2005,2025
1412052,Kristinn Narfi Björgvinsson,3737,Breidablik Kópavogur,Midfield,17,Iceland,0,3,1,9,59,6,191,0,0,0,0,1,3,2024,2026
1417326,Elmar Robertoson,3737,Breidablik Kópavogur,Midfield,17,Iceland,0,2,1,2,5,3,110,0,0,0,0,0,3,2024,2025
665192,Anton Logi Lúdvíksson,3737,Breidablik Kópavogur,Defensive Midfield,23,Iceland,13,9,3,17,308,167,9844,12,8,31,14,23,26,2017,2025
1529735,Bjartur Orri Jónsson,3737,Breidablik Kópavogur,Midfield,16,Iceland,0,1,1,2,14,2,72,0,0,0,0,0,1,2025,2025
652274,Arnór Gauti Jónsson,3737,Breidablik Kópavogur,Defensive Midfield,24,Iceland,6,9,3,12,276,202,14144,8,3,67,7,47,3,2017,2025
1373511,Breki Freyr Ágústsson,3737,Breidablik Kópavogur,Attacking Midfield,19,Iceland,39,2,1,9,68,3,79,0,0,0,0,0,0,2024,2025
110170,Andri Rafn Yeoman,3737,Breidablik Kópavogur,Central Midfield,34,Iceland,30,18,1,13,612,457,31214,21,24,24,7,38,15,2008,2025
630752,Óli Valur Ómarsson,3737,Breidablik Kópavogur,Right Winger,23,Iceland,9,9,3,15,273,179,11118,19,19,119,35,11,23,2017,2025
400174,Kristófer Kristinsson,3737,Breidablik Kópavogur,Centre-Forward,27,Iceland,23,12,11,33,470,238,10882,56,10,191,81,14,19,2014,2025
908857,Ágúst Orri Thorsteinsson,3737,Breidablik Kópavogur,Left Winger,21,Iceland,15,7,3,17,226,124,8088,12,8,70,28,12,33,2019,2025
1130619,Jónatan Gudni Arnarsson,3737,Breidablik Kópavogur,Right Winger,19,Iceland,22,4,3,11,107,58,1916,8,0,12,3,2,15,2022,2025
229194,Aron Bjarnason,3737,Breidablik Kópavogur,Left Winger,30,Iceland,11,15,7,16,512,370,22582,66,51,150,50,32,6,2011,2025
1107823,Dagur Fjeldsted,3737,Breidablik Kópavogur,Left Winger,21,Iceland,16,4,4,11,148,85,3850,6,7,51,11,11,11,2022,2025
1334377,Arnar Bjarki Gunnleifsson,3737,Breidablik Kópavogur,Centre-Forward,15,Iceland,0,2,1,3,28,23,878,5,0,10,3,0,10,2024,2025
1417327,Thór Andersen Willumsson,3737,Breidablik Kópavogur,Attack,17,Iceland,0,2,1,2,13,7,211,2,0,2,2,0,3,2024,2025
1408749,Birkir Thorsteinsson,3737,Breidablik Kópavogur,Centre-Forward,17,Iceland,0,2,1,10,54,11,573,1,1,0,0,3,9,2024,2025
875363,Halldór Snaer Georgsson,3237,KR Reykjavík,Goalkeeper,22,Iceland,12,7,2,10,194,94,7814,0,0,0,0,3,11,2019,2025
745089,Sigurpáll Sören Ingólfsson,3237,KR Reykjavík,Goalkeeper,23,Iceland,0,7,3,9,203,34,2914,0,0,0,0,0,0,2019,2025
1382825,Haukur Logi Tryggvason,3237,KR Reykjavík,Goalkeeper,19,Iceland,90,2,1,4,58,0,0,0,0,0,0,0,0,2024,2025
297477,Arnar Freyr Ólafsson,3237,KR Reykjavík,Goalkeeper,33,Iceland,1,15,5,5,395,244,21349,0,1,0,0,24,0,2009,2025
348379,Michael Akoto,3237,KR Reykjavík,Centre-Back,28,Germany,4,11,7,16,375,159,10762,6,9,61,16,31,0,2015,2025
474467,Finnur Tómas Pálmason,3237,KR Reykjavík,Centre-Back,25,Iceland,7,10,4,16,359,214,17057,6,4,34,13,38,23,2016,2025
660439,Gabriel Hrannar Eyjólfsson,3237,KR Reykjavík,Left-Back,26,Iceland,21,8,4,5,209,152,11300,21,10,43,18,25,0,2018,2025
491441,Gyrdir Hrafn Gudbrandsson,21864,Thór Akureyri,Centre-Back,27,Iceland,0,9,5,6,245,180,10022,18,2,43,17,18,0,2016,2025
472867,Hjalti Sigurdsson,3237,KR Reykjavík,Right-Back,25,Iceland,28,11,4,13,266,154,9831,6,2,12,1,23,12,2015,2025
399145,Ástbjörn Thórdarson,3237,KR Reykjavík,Right-Back,26,Iceland,22,11,7,10,365,235,16815,20,11,66,20,52,8,2015,2025
665182,Birgir Steinn Styrmisson,3237,KR Reykjavík,Centre-Back,22,Iceland,5,8,2,9,204,78,4394,3,1,9,2,6,15,2018,2025
1118022,Jón Ernir Ragnarsson,3237,KR Reykjavík,Defender,19,Iceland,0,3,2,3,19,0,0,0,0,0,0,0,0,2022,2025
1192088,Skarphédinn Gauti Ingimarsson,3237,KR Reykjavík,Centre-Back,17,Iceland,0,4,1,5,38,10,581,0,0,0,0,0,9,2022,2025
1528194,Ólafur Sigurðsson,3237,KR Reykjavík,Defender,15,Iceland,0,1,1,2,17,0,0,0,0,0,0,0,0,2025,2025
822906,Hrafn Tómasson,3237,KR Reykjavík,Attacking Midfield,23,Iceland,26,7,3,7,137,63,4478,2,2,14,3,8,0,2019,2025
153237,Arnór Ingvi Traustason,3237,KR Reykjavík,Central Midfield,33,Iceland,23,17,9,32,788,537,35521,95,63,452,150,60,83,2009,2025
1192116,Sigurdur Breki Kárason,3237,KR Reykjavík,Attacking Midfield,16,Iceland,30,5,1,7,71,25,1214,6,3,8,4,1,10,2022,2026
579570,Orri Hrafn Kjartansson,3237,KR Reykjavík,Attacking Midfield,24,Iceland,77,9,6,17,312,206,12837,17,12,59,27,15,23,2017,2025
234300,Alexander Helgi Sigurdarson,3237,KR Reykjavík,Defensive Midfield,30,Iceland,0,15,7,21,478,217,13212,14,7,22,7,29,5,2011,2025
273420,Aron Thórdur Albertsson,3237,KR Reykjavík,Defensive Midfield,30,Iceland,29,14,4,7,426,290,18441,28,7,38,11,85,0,2012,2025
1413794,Tristan Gauti Línberg Arnórsson,3237,KR Reykjavík,Midfield,15,Iceland,0,2,1,2,22,5,227,0,0,0,0,1,4,2024,2025
150732,Aron Sigurdarson,3237,KR Reykjavík,Left Winger,32,Iceland,11,18,7,27,622,403,27616,126,61,373,145,33,9,2008,2025
1294009,Alexander Rafn Pálmason,3237,KR Reykjavík,Right Winger,16,Iceland,0,4,1,7,81,39,2067,6,4,14,6,3,15,2023,2026
789809,Luke Rae,3237,KR Reykjavík,Right Winger,25,England,17,7,4,5,188,147,9046,36,13,109,41,12,0,2019,2025
422734,Eidur Gauti Saebjörnsson,3237,KR Reykjavík,Centre-Forward,27,Iceland,9,10,3,5,173,71,4388,34,5,113,47,3,0,2015,2025
1062729,Amin Cosic,3237,KR Reykjavík,Left Winger,20,Iceland,0,4,4,7,86,67,4260,12,3,51,19,14,1,2021,2025
927439,Galdur Guðmundsson,3237,KR Reykjavík,Right Winger,20,Iceland,45,6,8,16,201,103,4157,15,5,24,11,10,18,2020,2025
643618,Jason Dadi Svanthórsson,3237,KR Reykjavík,Right Winger,26,Iceland,0,11,4,18,350,245,16956,65,34,124,46,22,5,2015,2025
358057,Gudmundur Andri Tryggvason,3237,KR Reykjavík,Left Winger,26,Iceland,10,12,4,15,437,196,9876,30,12,43,16,33,24,2014,2025
472868,Stefán Árni Geirsson,3237,KR Reykjavík,Left Winger,25,Iceland,8,10,3,15,307,143,7623,20,17,27,17,20,8,2016,2025
1495388,Fannar Heimisson,3237,KR Reykjavík,Centre-Forward,15,Iceland,0,1,1,2,13,4,197,0,0,3,1,0,2,2025,2025
1568535,Birgir Kjartan Ísleifsson,3237,KR Reykjavík,Attack,16,Iceland,0,1,1,1,1,0,0,0,0,0,0,0,0,2025,2025
279338,Frederik Schram,1033,Valur Reykjavík,Goalkeeper,31,Iceland,18,14,8,25,597,239,21400,0,2,1,0,11,13,2012,2025
654680,Stefán Thór Ágústsson,1033,Valur Reykjavík,Goalkeeper,25,Iceland,25,8,2,8,197,100,8719,0,2,0,0,6,0,2018,2025
1381419,Tómas Petersson,1033,Valur Reykjavík,Goalkeeper,17,Iceland,0,2,1,6,33,11,717,0,0,0,0,0,11,2024,2025
368806,Markus Nakkim,1033,Valur Reykjavík,Centre-Back,30,Norway,4,12,8,15,438,280,23597,19,5,143,38,36,2,2014,2025
54871,Hólmar Örn Eyjólfsson,1033,Valur Reykjavík,Centre-Back,35,Iceland,15,20,11,41,853,510,41891,25,17,93,21,100,50,2006,2025
654543,Jakob Pálsson,1033,Valur Reykjavík,Right-Back,23,Iceland,21,8,6,17,300,178,11874,3,5,22,5,12,23,2018,2025
652737,Andi Hoti,1033,Valur Reykjavík,Centre-Back,22,Iceland,0,9,4,9,270,139,10180,12,1,5,4,32,8,2017,2025
174792,Orri Sigurdur Ómarsson,1033,Valur Reykjavík,Centre-Back,31,Iceland,20,17,6,23,622,334,26436,18,7,20,4,39,53,2009,2025
326740,Hördur Ingi Gunnarsson,1033,Valur Reykjavík,Right-Back,27,Iceland,3,13,6,17,458,235,17023,8,9,15,2,37,27,2013,2025
1021114,Ingimar Torbjörnsson Stöle,1033,Valur Reykjavík,Right-Back,22,Iceland,11,6,4,9,187,121,6088,5,7,51,13,13,5,2020,2025
774996,Myles Veldman,1033,Valur Reykjavík,Left-Back,22,Netherlands,24,5,7,13,178,83,5701,8,1,9,4,5,0,2020,2025
1034628,Ólafur Flóki Stephensen,1033,Valur Reykjavík,Centre-Back,21,Iceland,66,5,4,8,106,32,2063,1,0,6,2,3,0,2021,2025
286825,Bjarni Mark Antonsson Duffield,1033,Valur Reykjavík,Defensive Midfield,30,Iceland,6,14,7,19,490,295,22361,21,11,44,10,73,3,2012,2025
240408,Samúel Fridjónsson,1033,Valur Reykjavík,Central Midfield,30,Iceland,28,16,10,26,580,309,19265,30,13,145,43,51,32,2010,2025
654749,Lúkas Logi Heimisson,1033,Valur Reykjavík,Attacking Midfield,23,Iceland,17,8,5,15,318,201,9536,32,9,128,43,23,4,2018,2025
652735,Shkelzen Veseli,1033,Valur Reykjavík,Central Midfield,22,Iceland,0,8,3,6,194,106,5769,16,4,0,0,7,0,2018,2025
984625,Kristófer Dagur Arnarsson,1033,Valur Reykjavík,Attacking Midfield,21,Iceland,11,6,3,5,111,47,2850,13,0,2,2,7,0,2020,2025
383572,Birkir Heimisson,1033,Valur Reykjavík,Central Midfield,26,Iceland,5,12,4,18,368,246,16277,21,18,26,8,53,18,2014,2025
116036,Kristinn Freyr Sigurdsson,1033,Valur Reykjavík,Attacking Midfield,34,Iceland,10,18,5,13,543,457,33459,82,52,44,15,100,1,2008,2025
1537698,Loki Kristjánsson,1033,Valur Reykjavík,Midfield,15,Iceland,0,1,1,2,17,2,12,0,0,0,0,0,0,2025,2025
1235060,Kristján Oddur Kristjánsson,1033,Valur Reykjavík,Central Midfield,18,Iceland,13,3,2,6,91,17,459,1,0,0,0,0,0,2023,2025
1537697,Pétur Eiríksson,1033,Valur Reykjavík,Midfield,16,Iceland,0,1,1,1,16,0,0,0,0,0,0,0,0,2025,2025
1307483,Emil Nönnu Sigurbjörnsson,1033,Valur Reykjavík,Midfield,19,Iceland,26,3,2,5,60,10,119,0,1,3,2,0,0,2023,2025
1560998,Novak Tufegdzic,1033,Valur Reykjavík,Midfield,14,Iceland,0,1,1,1,5,1,61,0,0,0,0,0,0,2025,2025
1560999,Stefan Tufegdzic,1033,Valur Reykjavík,Midfield,15,Iceland,0,1,1,1,5,1,4,0,0,1,0,0,0,2025,2025
1568536,Óskar Sveinn Einarsson,1033,Valur Reykjavík,Midfield,17,Iceland,0,1,1,1,1,0,0,0,0,0,0,0,0,2025,2025
375053,Jónatan Ingi Jónsson,1033,Valur Reykjavík,Right Winger,27,Iceland,8,12,5,18,404,332,23766,80,70,135,54,18,19,2014,2025
307093,Tryggvi Hrafn Haraldsson,1033,Valur Reykjavík,Left Winger,29,Iceland,12,14,5,20,488,318,22317,109,56,217,100,37,14,2012,2025
179530,Patrick Pedersen,1033,Valur Reykjavík,Centre-Forward,34,Denmark,9,16,4,14,520,363,26460,191,43,169,88,48,0,2010,2025
271904,Albin Skoglund,1033,Valur Reykjavík,Second Striker,29,Sweden,14,14,9,20,562,337,24774,63,17,73,26,76,9,2012,2025
1108195,Dagur Orri Gardarson,1033,Valur Reykjavík,Centre-Forward,20,Iceland,19,4,4,6,112,65,4342,26,0,14,7,11,0,2022,2025
370379,Adam Pálsson,1839,KA Akureyri,Right Winger,28,Iceland,0,10,8,12,309,216,11412,42,31,120,34,32,0,2014,2025
1555000,Gunnar Karl Heiddal,1033,Valur Reykjavík,Attack,0,Iceland,0,1,1,1,13,1,6,0,0,0,0,0,0,2025,2025
864699,Birkir Jakob Jónsson,1033,Valur Reykjavík,Centre-Forward,21,Iceland,97,7,5,15,193,65,2530,7,0,1,0,0,10,2019,2025
89663,Árni Snaer Ólafsson,21875,Stjarnan Gardabaer,Goalkeeper,34,Iceland,12,20,2,7,523,347,30890,0,4,0,0,21,3,2007,2026
1555003,Jon Petur Wissler,1033,Valur Reykjavík,Attack,0,Iceland,0,1,1,1,1,0,0,0,0,0,0,0,0,2025,2025
1017191,Darri Bergmann Gylfason,21875,Stjarnan Gardabaer,Goalkeeper,25,Iceland,1,8,2,4,35,4,360,0,0,0,0,0,0,2019,2026
