competition_id,n_players_with_match
ISPO,558
ISR1,549
ISRA,384
FS,360
ISRF,342
ISR2,328
ECLQ,282
ELQ,211
IRLP,188
U21Q,168
CLQ,159
U19Q,156
EL,124
U17Q,100
UCOL,91
19YL,76
WMQ6,57
EMQ,49
POPO,39
LEAB,37
19EU,36
CL,31
UNLB,31
POEM,31
21EU,31
AFCQ,27
WMQ2,27
POCP,27
PO1,26
PO2,26
17EU,24
UNLC,24
20WC,23
ZYP1,23
CPO1,22
CCB,21
BE1,21
RO1,21
UNLA,21
AFCN,19
UNG1,19
SER1,19
OLYM,19
SERP,18
NLP,17
GR1,17
ROMP,17
NL1,16
UNGP,16
CLI,16
BRC,16
CHAN,15
FRC,15
GRP,15
ofb,15
CDR,15
BRA1,15
MLS1,14
A1,14
TRP,14
ACL,13
CAFC,13
SCC,12
ZYPA,12
SR1C,12
TR2,12
CS,12
UKR1,12
BRA2,12
FR1,11
FR2,11
ZYPM,11
POBE,11
ASPK,11
AZ1,11
ES2,11
CIT,11
UKRP,11
BU1,10
C1,10
PL1,10
MLSP,10
RO1R,10
FAC,10
ES3D,10
PLIC,10
CN2D,9
FRL,9
SC1,9
SCP,9
BULP,9
KRC,9
20AC,9
EJPL,9
CGB,9
ES1,9
IT1,9
UNPO,9
RU1,9
ARM1,9
PTRL,9
SFA,8
KR1,8
TR1,8
RUP,8
GEP1,8
BRCM,8
GB21,8
CYSC,7
POUS,7
FR3,7
SB19,7
GBFL,7
KAS1,7
LI1,7
NL2,7
A1EL,7
A2,7
SPjr,7
IT2,7
BRNE,7
GE1N,7
POPU,6
S1PO,6
USMX,6
BESC,6
BE2,6
NO1,6
SER2,6
WER1,6
SL1,6
SLP,6
RO1C,6
ARPO,6
CN2A,6
LTVP,6
BCP1,6
NOPO,6
FIWC,6
PON2,6
BRNF,6
PT23,6
FRR1,5
DFB,5
SCPM,5
BU2,5
GHPL,5
ESJP,5
C3NO,5
17WC,5
WRPO,5
C3IF,5
GB3,5
GB2,5
23AC,5
SE1,5
SEC,5
CITP,5
MO1N,5
ROMS,5
GESC,5
KAZP,5
BCPF,5
WMQ3,5
GOCU,5
CNLA,5
GB1,5
SKC,5
SLO1,5
PL2,4
SCPA,4
ISP1,4
EJPD,4
C3VL,4
ISRP,4
TDV,4
SR1R,4
BIHP,4
BOS1,4
CN2C,4
NLJB,4
ES3A,4
ES2P,4
C2,4
PT3A,4
NO2,4
ES3C,4
17AC,4
CNLB,4
21PL,4
POGR,4
BRA3,4
BULS,4
CCL,4
PTPR,4
SLAR,4
POSU,4
CB20,4
MWP1,4
NPFL,4
NLAE,3
L2,3
NLBV,3
DKP,3
AR1N,3
ARCA,3
AR2T,3
ARG2,3
BJ3,3
L1,3
AJ3,3
SSC,3
CN2B,3
TS2,3
CNAT,3
TSP,3
TS1,3
NLS6,3
SA2L,3
SAKC,3
RO2,3
IJ1,3
ITJE,3
QEC1,3
CHFA,3
VZ1L,3
COPA,3
VZ1P,3
QFLC,3
P3Au,3
BRPR,3
C3BR,3
E3PL,3
KR2,3
EURO,3
BRPE,3
BRC2,3
CHPR,3
BRRS,3
C3NA,3
FAYC,3
2SAM,3
BCE1,3
BRCE,3
KASC,3
SK2,3
COPO,3
COLP,3
COLO,3
COL1,3
P3As,3
BO1C,3
BRA4,3
POSB,3
FRYC,3
SA1,3
UN2,3
C20P,3
USL,3
USLP,3
TDeA,3
TDeC,3
UEQ,3
DKRE,3
NLBE,2
OBLC,2
PL34,2
NLBB,2
PLSC,2
SFAL,2
NEDC,2
SFA1,2
TELK,2
GRS2,2
A2TP,2
C3HF,2
CNLQ,2
SB17,2
ATRO,2
RLSW,2
T1EL,2
S21N,2
NLJV,2
R2AP,2
ES3B,2
UNLD,2
MOL1,2
ROPC,2
CLO,2
QSL,2
ITJ2,2
WMQ4,2
MAZ1,2
SC2,2
BRCB,2
UA3L,2
ALBP,2
ALB1,2
FIS,2
FI1,2
CEF1,2
JPL1,2
JPP1,2
CNNF,2
RSER,2
ES1P,2
GCQU,2
211F,2
E21P,2
CHC1,2
RUJL,2
BRSC,2
CSC2,2
CVF,2
CRPD,2
CRPO,2
PDV2,2
COLE,2
CIF,2
PDV1,2
CCAC,2
CRPV,2
EST1,2
RS2f,2
ESTP,2
PONL,2
GB18,2
KO1,2
HRSC,2
P23A,2
P23Q,2
UKRA,2
GEO2,2
C1P1,2
ARSC,2
P2RL,2
3PTP,2
AFCL,2
UAE1,2
UAEP,2
BRVE,2
BUEL,2
BCP2,2
C220,2
BRAL,2
CSL,2
E3G2,2
E3FI,2
SE3N,2
P23C,2
BRCG,2
BRCF,2
LTSC,2
TRP2,2
COBI,2
InkF,2
Inka,2
PERF,2
PERC,2
ALGP,2
T1AR,2
ALG1,2
W23C,2
B1AP,2
COLF,2
MOP2,2
NO32,2
E4G4,2
