player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
211768,Raz Karmi,6105,FC Ashdod,Goalkeeper,30,Israel,1,12,6,6,420,95,8269,0,0,0,0,4,0,2015,2026
1086571,Tomer Amar,6105,FC Ashdod,Goalkeeper,23,Israel,0,3,2,4,48,3,190,0,0,0,0,1,0,2021,2023
1515280,Noam Nuna,1017,Hapoel Tel Aviv,Midfield,16,Israel,0,1,0,2,6,2,112,0,1,0,0,0,2,2025,2025
521634,Karol Niemczycki,6105,FC Ashdod,Goalkeeper,26,Poland,25,11,12,26,438,222,19787,0,1,0,0,10,3,2016,2026
480395,Timothy Awany,6105,FC Ashdod,Centre-Back,29,Uganda,4,12,3,13,386,250,20247,2,1,14,1,23,35,2015,2026
422715,Arial Mendy,810,Hapoel Haifa,Left-Back,31,Senegal,77,11,10,16,357,171,11491,4,11,86,16,28,0,2015,2026
1361508,Ibrahim Diakité,6105,FC Ashdod,Centre-Back,22,Cote d'Ivoire,3,3,2,5,43,41,3669,3,0,18,6,7,0,2024,2026
926456,Maor Yashilirmak,6105,FC Ashdod,Centre-Back,21,Israel,16,6,2,10,137,68,5100,0,1,4,0,9,24,2021,2026
1048446,Mohamad Amer,6105,FC Ashdod,Left-Back,22,Israel,87,5,2,4,115,52,2729,1,2,15,3,12,0,2022,2026
247633,Raz Meir,6105,FC Ashdod,Right-Back,29,Israel,55,14,8,17,487,257,16246,7,16,5,3,27,22,2012,2025
323451,Avishay Cohen,262,Hapoel Petah Tikva,Right-Back,31,Israel,2,14,7,12,485,264,17619,11,16,25,8,42,2,2013,2026
967547,Shaked Hakmon,6105,FC Ashdod,Centre-Back,23,Israel,0,5,2,6,151,51,3494,1,0,2,1,4,1,2021,2025
225980,Tom Ben Zaken,6105,FC Ashdod,Right-Back,31,Israel,15,15,1,7,446,236,17471,3,8,23,5,53,0,2011,2026
129788,Nir Bitton,6105,FC Ashdod,Centre-Back,34,Israel,5,19,3,25,971,540,39314,36,27,92,19,77,61,2007,2025
1466139,Reem Tal,6105,FC Ashdod,Centre-Back,21,Israel,20,2,1,4,38,15,464,0,0,2,1,3,0,2025,2026
1042202,Victor Ochayi,6105,FC Ashdod,Defensive Midfield,24,Nigeria,6,4,3,7,90,75,5954,5,2,4,2,22,0,2022,2025
741698,Karim Kimvuidi,262,Hapoel Petah Tikva,Attacking Midfield,24,DR Congo,26,8,5,11,180,107,5912,9,8,91,26,12,1,2019,2026
781207,Ilay Tamam,6105,FC Ashdod,Central Midfield,24,Israel,10,8,4,5,233,163,9742,12,7,81,33,20,0,2019,2026
919540,Noam Muche,3793,Beitar Jerusalem,Central Midfield,23,Israel,15,7,3,10,141,119,6889,10,1,90,34,17,19,2020,2026
960062,Emmanuel Agyei,6105,FC Ashdod,Central Midfield,21,Ghana,0,6,4,10,196,130,9912,2,3,42,8,31,1,2021,2026
916992,Ilay Hajaj,4769,Ihud Bnei Sakhnin,Right Midfield,24,Israel,0,7,5,12,241,138,8124,18,10,39,12,26,9,2020,2026
267732,Israel Coll,6105,FC Ashdod,Defensive Midfield,32,Argentina,0,15,7,23,508,302,21026,15,22,28,5,36,0,2011,2025
129722,Roei Gordana,6105,FC Ashdod,Central Midfield,35,Israel,8,19,7,16,708,475,30506,38,33,49,14,117,2,2008,2026
398252,Or Dasa,6105,FC Ashdod,Attacking Midfield,27,Israel,0,11,11,11,351,233,14012,23,16,1,0,25,16,2015,2026
668599,Shalev Harush,6105,FC Ashdod,Central Midfield,23,Israel,9,10,1,9,214,133,5805,4,2,19,5,18,17,2017,2026
967574,Liav Farada,6105,FC Ashdod,Attacking Midfield,23,Israel,0,7,5,5,160,68,3080,6,3,2,0,13,0,2020,2026
917014,Asaf Arania,6105,FC Ashdod,Defensive Midfield,20,Israel,17,6,5,12,156,73,4921,7,3,3,1,4,0,2021,2026
1261466,Amitay Yamin,6105,FC Ashdod,Midfield,18,Israel,19,4,1,5,36,17,803,0,0,4,1,1,10,2023,2026
1495023,Amit Danziger,6105,FC Ashdod,Midfield,19,Israel,0,1,1,3,14,4,151,0,0,2,0,1,0,2025,2025
1332181,Hayford Boahen,6105,FC Ashdod,Attacking Midfield,20,Ghana,77,3,1,5,27,18,833,3,0,10,4,2,5,2024,2026
926481,Ori Azo,119,Maccabi Tel Aviv,Left Winger,21,Israel,23,5,3,14,137,58,3245,14,4,39,10,13,12,2021,2026
296681,Eugene Ansah,3793,Beitar Jerusalem,Left Winger,31,Ghana,13,14,9,22,539,350,21053,72,31,148,51,52,1,2013,2026
896052,Ben Hadadi,6105,FC Ashdod,Second Striker,22,Israel,0,7,3,3,194,117,5880,26,5,1,0,7,0,2020,2026
1416741,Jean Batoum,6105,FC Ashdod,Centre-Forward,24,Cameroon,0,3,4,7,48,38,2260,8,4,37,15,0,2,2024,2026
668592,Stav Nachmani,4769,Ihud Bnei Sakhnin,Centre-Forward,22,Israel,19,10,9,17,276,157,7233,30,3,57,33,3,24,2017,2026
396641,Eylon Almog,2976,Hapoel Beer Sheva,Centre-Forward,27,Israel,0,13,8,20,436,247,12194,50,22,95,37,17,43,2014,2026
870571,Adir Levi,6105,FC Ashdod,Left Winger,24,Israel,0,7,1,6,151,68,2932,6,6,41,12,5,1,2020,2026
1105821,Nehoray Dabush,6105,FC Ashdod,Centre-Forward,21,Israel,7,6,2,7,119,58,1545,10,0,54,18,4,0,2021,2026
