competition_id,n_players_with_match
IT1,902
CIT,870
FS,780
CITP,494
U21Q,404
CL,404
IT2,402
IJ1,402
EL,396
U19Q,359
SCI,268
ITJE,264
U17Q,257
19YL,242
CILP,234
WMQ6,229
TDV,227
21EU,215
EMQ,203
POSB,199
ELQ,193
ITJF,190
SU20,185
ITJ7,182
UCOL,173
ECLQ,163
UNLA,161
FIWC,158
IT3P,157
EURO,155
IT3A,149
CLQ,148
ITJ4,142
IT3B,139
19EU,138
17EU,134
ITJ5,128
FRC,119
FAC,113
20WC,112
POWM,107
FR1,106
CGB,104
UNFI,101
SCIJ,100
IJ2A,99
GB1,97
IT3C,96
KLUB,95
ITJP,90
CDR,82
ES1,77
17WC,76
ITJ2,76
DFB,75
IT18,74
NLP,69
L1,69
ITJ1,68
UNLB,66
NL1,63
BE1,61
CCB,61
WMQ2,61
AFCN,57
GB2,56
USC,56
AFCQ,56
ITJ6,55
IJ2B,54
UNPO,54
PLIC,52
ITJ3,50
NL2,49
PUSB,48
IT3O,48
ITJ8,48
ITJ9,46
FRL,45
ITC4,45
UNLC,43
CLI,41
PO1,39
GB21,39
POPO,38
POEM,38
SCJ2,38
EJPL,37
CS,37
COPA,37
WMQ4,37
AFT,37
TR1,35
CHAN,35
TRP,34
FR2,34
FRYC,34
ES2,34
SCIC,32
AA17,32
C1,30
L2,30
NLJB,30
DKP,30
POCP,30
GBFL,29
2SAM,29
FAYC,28
IT4P,28
FRCH,28
DK1,27
OLYM,27
SCC,26
POBE,25
SUC,24
PONL,24
GBCS,24
ofb,24
KRC,23
KR1,23
BRA1,23
NLAJ,23
NLJV,23
PL1,23
CN2A,23
A1,23
IT4B,22
BRC,21
ARCA,21
DFBJ,21
POPU,21
SEC,20
BESC,20
CN2B,20
ES2P,20
DKRE,19
DKAR,19
GB18,18
AR1N,18
NLSC,18
SE1,18
DKMR,18
DKDL,18
PO2,18
NLBE,18
DKRQ,17
CH18,16
ITPO,16
SERP,16
SER1,16
NLVB,15
C3HF,15
NO1,15
NOPO,15
NLBV,15
E3G2,15
DFL,15
IT4X,14
CHUC,14
ES3C,14
AJ3,14
21PL,14
CN2C,14
CN2D,14
POSU,14
PT23,14
POCC,14
IJSC,14
KR2,13
SFA,13
SCP,13
SC1,13
NLBJ,13
L1PO,13
GR1,13
ESJP,12
L3,12
SPjr,12
CB20,12
SB19,12
NLAE,12
RU1,12
FR3,12
ROMP,11
RO1,11
CHPR,11
FRR1,11
IT4D,11
DK2,11
TRS,11
CDLP,11
GB3,11
PON2,11
E3G1,11
IT4A,11
CNNF,11
RUP,11
DKPL,10
IT4I,10
AJ2,10
JGD2,10
GRP,10
IT4,10
WMQ3,10
GOCU,10
CNLA,10
ARG1,9
C3BR,9
C2,9
ARCP,9
CLPI,9
PLSC,9
SB17,9
JGD3,9
BJ3,9
SCPM,9
NLBA,9
AJ,9
SAM2,9
23AC,9
PTPR,9
RO1C,8
IT4W,8
C18E,8
UEFA,8
C20P,8
BJ2,8
BE2,8
OLCF,8
211F,8
F19A,8
F19F,8
F19B,8
ES1P,8
MLS1,8
BRCM,7
BRA2,7
BULP,7
ARGC,7
CONC,7
RLW3,7
AJ1,7
NTD,7
C3CM,7
CH17,7
TS1,7
TSP,7
CDCA,7
A1EL,7
C3NO,7
BCP1,7
18GB,7
COPO,7
COL1,7
COLP,7
IT4F,7
UNLD,7
UKRP,7
GR20,7
C3BF,7
CCL,7
SE2,7
F19D,7
URUC,7
SLO1,7
A2,7
BU1,6
BU2,6
BJ1,6
BJ,6
CA16,6
SR1C,6
ES3B,6
PL2,6
C3PL,6
NLEV,6
NO2,6
COLF,6
COLO,6
WMQ1,6
ARY3,6
NLBB,6
IT4H,6
C3NA,6
ES3D,6
UKR1,6
SL1,6
SLP,6
RLB3,6
SKC,6
AFCL,6
POUS,6
PL32,6
URU1,6
ACL,6
CAFC,5
RLN4,5
RLN3,5
RECO,5
BRCG,5
CLIY,5
CHC2,5
DK2P,5
RO2,5
T1MR,5
RLSW,5
POGR,5
SSC,5
17AC,5
IT4E,5
C3GE,5
IT4Y,5
ES3A,5
HRSC,5
BOS1,5
USMX,5
JUNO,5
MLSP,5
URUI,5
SCPA,5
PLJF,5
ROPC,4
ZYP1,4
CH1C,4
A1P1,4
FIYO,4
SAM7,4
C3IF,4
SE3N,4
TS2,4
CZ19,4
NO46,4
DKDD,4
DK2R,4
PL2L,4
GB4,4
ATRM,4
BRNE,4
C3VL,4
BCPF,4
S1PO,4
F19C,4
ARLC,4
ARG2,4
E3PL,4
C191,4
BRC2,4
CO17,4
GBR,4
CHC3,4
CLPF,4
PLZJ,4
ATRO,4
RESU,4
NLAP,4
ALBP,4
ALB1,4
KO1,4
S21N,4
SA1,4
SAKC,4
PL31,4
IT4G,4
ISL,4
URUP,4
PLJZ,4
CR19,3
CPO1,3
BULS,3
UI,3
BRCF,3
T191,3
CHC1,3
CZ3C,3
DK3O,3
SCAG,3
BTCU,3
ES3P,3
E4G5,3
ROCJ,3
S21S,3
CO2T,3
C2P2,3
CO22,3
TDCS,3
LTU2,3
MNEC,3
MNE1,3
SER2,3
GBQ1,3
GBKN,3
BIHP,3
L2PO,3
UKRS,3
BRRS,3
CR2,3
IT4Z,3
FIC1,3
181F,3
ES3E,3
E3FA,3
E21P,3
BRA3,3
E4G4,3
URU2,3
BRNF,3
SLAR,3
A23Q,3
AFAC,3
IT4O,3
20AC,3
P232,3
ISPO,3
ISR1,3
ISRA,3
POG3,3
USSP,3
RTIP,3
NO45,3
S21P,3
C19C,3
NO42,3
SL19,3
GEP1,3
GE1N,3
P3Au,3
PT3A,3
P2RL,3
URP1,3
ISP,3
IS2,3
KOP1,3
BEL3,3
P23C,3
BE3V,2
CL2B,2
CSUC,2
SCBR,2
T1AR,2
SCIN,2
BAPO,2
FARQ,2
BRCB,2
E4G3,2
E3PP,2
NO41,2
212F,2
PTRL,2
POAR,2
USLP,2
USL,2
CNAT,2
NLN6,2
LTVP,2
ALPW,2
JUSÖ,2
JUSL,2
BRCR,2
C3AR,2
RS2f,2
CPP2,2
LIEP,2
UEQ,2
CHP1,2
19LA,2
SRPO,2
MXCC,2
POME,2
MXCA,2
M20C,2
MEX1,2
M20A,2
MEXA,2
POMX,2
M2L2,2
182S,2
OBLB,2
TFVP,2
181S,2
NLBP,2
BRCE,2
BCE1,2
AGUC,2
W23C,2
23AF,2
A920,2
C3OC,2
IRPO,2
IR1,2
UA3L,2
E3FD,2
GCQU,2
CHFA,2
CSL,2
UKRM,2
BRPR,2
CZ21,2
ISRF,2
CHL1,2
COSP,2
NO32,2
NO44,2
NO31,2
E4G1,2
SC1P,2
510,2
MARG,2
CAN,2
BRA4,2
ROMS,2
FI3A,2
F1CL,2
TUNP,2
TUN1,2
E4G2,2
SC2,2
PLJW,2
URSC,2
T19P,2
RO1R,2
RUJL,2
LUX2,2
IS1,2
UNG1,2
19S2,2
BRGO,1
ZYPM,1
BUEL,1
BEYP,1
BEY1,1
CLPD,1
NPFL,1
R2BP,1
OLRP,1
BE2A,1
FAR2,1
FAPO,1
BAPL,1
WAFF,1
BE2E,1
R2AO,1
SC3,1
POFD,1
VZ1L,1
SK19,1
CZ3M,1
2RHR,1
T1EL,1
CNLQ,1
BI17,1
BI19,1
CBII,1
ALPL,1
ARPO,1
ARSC,1
ARM1,1
TR3A,1
TR4A,1
TR2,1
PL34,1
CH3B,1
ECSE,1
ECPL,1
ECPE,1
19D2,1
17P2,1
