player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
357991,Alessandro Plizzari,4554,FC Südtirol,Goalkeeper,26,Italy,22,13,10,27,657,263,22937,0,0,0,0,9,45,2014,2026
707809,Joël Schingtienne,607,Venezia FC,Centre-Back,23,Belgium,3,5,3,9,191,121,9948,3,3,12,3,13,1,2022,2026
155038,Matteo Grandi,607,Venezia FC,Goalkeeper,33,Italy,23,18,11,16,651,339,30201,0,0,0,0,17,0,2009,2026
197901,Stefano Minelli,607,Venezia FC,Goalkeeper,32,Italy,14,16,12,11,579,291,26068,0,0,0,0,15,0,2011,2026
552223,Filip Stanković,607,Venezia FC,Goalkeeper,24,Serbia,1,10,7,23,381,232,20493,0,0,0,0,7,13,2017,2026
917375,Antoine Hainaut,607,Venezia FC,Right-Back,24,France,18,8,6,9,233,128,8523,9,10,50,16,22,0,2019,2026
655009,Richie Sagrado,607,Venezia FC,Right-Back,22,Belgium,20,9,3,10,226,117,7469,4,3,57,21,13,24,2018,2026
438961,Michael Svoboda,607,Venezia FC,Centre-Back,27,Austria,30,11,4,14,388,250,19081,13,12,71,18,35,4,2015,2025
490573,Seid Korac,276,Hellas Verona,Centre-Back,24,Luxembourg,48,11,9,30,371,219,16632,11,3,67,16,60,54,2016,2026
282169,Marin Šverko,607,Venezia FC,Centre-Back,28,Croatia,33,14,11,24,561,262,18365,10,7,45,10,50,20,2013,2026
808477,Ahmed Sidibé,607,Venezia FC,Centre-Back,24,France,48,9,6,13,231,114,8737,3,1,2,1,14,0,2018,2026
370998,Bartol Franjic,607,Venezia FC,Left-Back,26,Croatia,4,13,7,20,445,245,16268,10,10,58,16,35,38,2014,2026
228444,Ridgeciano Haps,607,Venezia FC,Left-Back,32,Suriname,5,16,8,23,764,424,29712,24,34,155,48,61,29,2011,2026
924349,Issa Doumbia,607,Venezia FC,Central Midfield,22,Italy,8,6,3,9,210,150,10000,14,11,91,34,14,3,2021,2026
441611,Michael Venturi,2331,US Avellino 1912,Centre-Back,27,Italy,23,12,10,13,404,190,13561,4,2,41,11,51,0,2014,2026
504209,Gianluca Busio,607,Venezia FC,Central Midfield,23,United States,6,11,3,21,497,303,20546,38,29,403,116,37,46,2016,2026
744621,Matteo Dagasso,2921,Delfino Pescara 1936,Central Midfield,22,Italy,0,8,4,13,247,161,11005,18,21,40,12,16,10,2019,2026
527698,Kike Pérez,607,Venezia FC,Central Midfield,29,Spain,71,11,6,10,379,295,18976,23,18,223,58,71,1,2015,2026
184894,Alfred Duncan,607,Venezia FC,Central Midfield,33,Ghana,32,18,8,21,833,447,28055,23,33,153,39,57,12,2009,2026
406806,Emil Bohinen,607,Venezia FC,Defensive Midfield,27,Norway,37,14,7,15,452,218,12796,17,13,81,35,27,29,2009,2026
566613,Bjarki Bjarkason,4554,FC Südtirol,Left Midfield,26,Iceland,20,12,6,20,414,193,9079,19,4,42,10,10,23,2015,2026
537509,Mattia Compagnon,276,Hellas Verona,Right Midfield,24,Italy,11,10,10,14,378,229,10894,41,13,108,37,21,0,2017,2026
459945,Nunzio Lella,607,Venezia FC,Central Midfield,25,Italy,24,11,7,16,433,270,16737,22,6,58,12,32,0,2016,2026
935519,Federico Tavernaro,607,Venezia FC,Left Midfield,21,Italy,0,6,5,14,197,122,7569,14,16,0,0,15,0,2021,2026
936684,Saad El Haddad,607,Venezia FC,Attacking Midfield,20,Morocco,0,6,6,13,235,116,7582,32,7,13,4,17,25,2021,2026
439914,John Yeboah,607,Venezia FC,Second Striker,25,Ecuador,10,12,12,36,497,371,22979,99,50,388,151,34,57,2015,2026
364206,Andrea Adorante,607,Venezia FC,Centre-Forward,26,Italy,9,13,11,21,441,282,16376,102,12,158,76,28,10,2014,2026
307800,Lion Lauberbach,607,Venezia FC,Centre-Forward,28,Germany,29,13,9,14,387,276,15182,51,20,407,152,19,0,2014,2026
663153,Marko Farji,607,Venezia FC,Left Winger,22,Iraq,11,7,3,16,274,149,9988,33,7,146,44,26,18,2020,2026
666268,Daniel Fila,2331,US Avellino 1912,Centre-Forward,23,Czech Republic,11,9,10,18,341,221,11189,56,18,167,65,23,26,2018,2026
704122,Alessandro Pietrelli,2655,LR Vicenza,Right Midfield,23,Italy,99,8,8,14,271,125,5044,17,10,17,3,10,0,2019,2026
