competition_id,n_players_with_match
IT3A,807
CILP,801
CITP,636
IT3P,581
CIT,440
IT3B,390
ITC4,354
IJ1,326
IT2,320
IJ2A,274
IT3C,265
TDV,257
ITJE,251
IT1,249
ITJ5,240
FS,239
IT4P,229
IT3O,217
ITJF,216
ITJ7,200
IT4,190
IT4B,187
ITJ4,173
19YL,143
ITJP,139
IT4D,131
IT4A,129
POSB,113
ITJ2,107
SCIC,102
IT4C,101
ITJ8,94
ITJ1,86
IJ2B,84
U19Q,82
IT18,74
U17Q,70
SCIJ,70
ITJ9,69
SU20,63
ITJ3,62
CL,56
PUSB,56
IT4O,55
IT4E,49
IT4F,46
IT4I,40
SCI,39
EL,39
ITJ6,39
17EU,37
IT4H,36
U21Q,35
SCJ2,34
PLIC,34
IT4G,34
19EU,32
IT4X,25
IJSC,22
17WC,20
ELQ,19
IT4W,19
IT4Y,19
KLUB,18
20WC,18
ECLQ,15
C1,13
SCC,11
NLP,10
NLJB,9
NL2,9
CCB,8
CLQ,7
NL1,7
WMQ6,7
DFBJ,7
UCOL,7
POPO,6
PO2,6
EMQ,6
C2,6
BE1,6
AJ3,6
FRYC,6
KRC,5
KR1,5
SL1,5
21EU,5
GRP,5
GR1,5
ITPO,5
SCC2,5
CH18,5
CHUC,5
NLAJ,5
NLBE,5
NLAE,5
NLJV,5
BJ3,5
FRC,5
CHPR,5
SLP,4
CDR,4
UNLC,4
UNLD,4
ofb,4
AJ,4
POCP,4
NLBV,4
NLEV,4
NLBJ,4
AA17,4
BE2,4
RLSW,4
RO1,3
PO1,3
PLZJ,3
PL2,3
CIR4,3
ITJ0,3
ROMP,3
SL2,3
FIS,3
ATRM,3
ISP,3
IS1,3
ISL,3
BASU,3
PT23,3
FR1,3
F19D,3
19S2,3
19S1,3
C18E,3
CH17,3
SERP,3
SER1,3
AR1N,3
ARCA,3
CHC3,3
ALBP,3
ALB1,3
IRLC,3
IRPO,3
211F,3
212F,3
212S,3
NLVB,3
RO1R,2
CR19,2
POPU,2
PL1,2
ES2,2
C3IF,2
CGB,2
21PL,2
AFCQ,2
MT1P,2
MALS,2
MT1N,2
MALC,2
NLBB,2
UNPO,2
FI3A,2
FI1,2
A1,2
CB20,2
SPjr,2
AJ1,2
RLN4,2
UNLB,2
CHC2,2
TRP,2
TR1,2
SUIP,2
POEM,2
IS2,2
P23Q,2
CNLB,2
RLW3,2
C220,2
CPO1,2
DFB,2
FI3B,2
SSC,2
19D4,2
17P2,2
17P1,2
C3NA,2
C191,2
CHC1,2
A2,2
RLB3,2
CN2C,2
GBFL,2
GB21,2
2SAM,2
C3CM,2
S1PO,2
L3,2
FAC,2
CDCA,2
CS,2
CDLP,2
TDCS,2
EJPL,2
MAL1,2
IR1,2
IR2,2
IR12,2
PON2,2
17AC,2
PONL,2
SUIC,2
A4ST,2
IT4Z,2
ES3C,1
GR20,1
PL34,1
PLSC,1
BAPO,1
GB1,1
DKDD,1
WMQ2,1
AFCN,1
ISPO,1
ISRA,1
ISR1,1
ISRF,1
MT1F,1
MARP,1
ES1,1
MAR1,1
CAFC,1
MEC1,1
ES17,1
EST1,1
E17S,1
ESTP,1
EE17,1
23AC,1
POFI,1
F1CC,1
A1EL,1
BRC,1
brti,1
BRCM,1
BRA1,1
CLI,1
BRMS,1
E4G3,1
E3G2,1
CIR6,1
BJ1,1
ISL3,1
UEQ,1
C2I3,1
C2I4,1
BEL3,1
BE3B,1
POBE,1
BE3A,1
P232,1
POLL,1
PT3A,1
PTPR,1
P3Au,1
WMQ3,1
GOCU,1
NRPO,1
CYP2,1
CNLA,1
SC1,1
F1CL,1
NSC,1
SFA,1
F1CE,1
GRS2,1
FIKP,1
NIRF,1
NIR1,1
SCP,1
NIRC,1
FI2,1
NILC,1
IS1P,1
C3VL,1
LET2,1
CN2D,1
C3BF,1
CN2A,1
ATRO,1
JGD3,1
JGD2,1
182S,1
BEY1,1
BEYP,1
FAYC,1
18GB,1
GB18,1
E21P,1
C20P,1
CLIY,1
SAM7,1
E3PP,1
E4G5,1
BOS1,1
BIHP,1
SL19,1
DK1,1
L1,1
DKDL,1
L2,1
DKP,1
SK2,1
LETP,1
KR2,1
LET1,1
19LA,1
OBLC,1
WAFF,1
GB2,1
C9EP,1
C19C,1
C9PO,1
URUC,1
C3P2,1
CH3B,1
SBP,1
BU1,1
ALBS,1
HRSC,1
ROPC,1
ARLC,1
ARY3,1
ARG2,1
FIWC,1
USL,1
MLSP,1
NO45,1
SEC,1
S21S,1
USLP,1
ISLS,1
SE2,1
SE1,1
UNLA,1
DKRE,1
NO1,1
NOPO,1
ALPO,1
BE2E,1
ILIP,1
NTD,1
181S,1
182F,1
BE2A,1
BPO4,1
510,1
SR1R,1
RSER,1
UKRP,1
ZYP1,1
UKR1,1
ZYPA,1
F19F,1
F19A,1
AJ17,1
JGD,1
C3P1,1
CN2B,1
F19C,1
R2AO,1
RO2,1
UL2P,1
A2SW,1
AU2C,1
23AF,1
A920,1
BLPW,1
BJ,1
BJ2,1
P23C,1
PL33,1
PL31,1
211S,1
FR2,1
C3PL,1
USC,1
E3FA,1
ES3D,1
GB4,1
P23F,1
P23A,1
NAFC,1
NAPL,1
SR1C,1
TR2,1
