player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
746711,Alessandro Calligaris,41119,Inter U23,Goalkeeper,21,Italy,91,6,6,19,396,118,10257,0,1,0,0,6,6,2020,2025
1184505,Henrikas Adomavičius,41119,Inter U23,Goalkeeper,17,Lithuania,0,4,5,10,93,30,2604,0,0,0,0,0,10,2022,2025
1058346,Matteo Farronato,41119,Inter U23,Goalkeeper,18,Italy,0,4,5,11,129,52,4532,0,0,0,0,1,6,2022,2025
724100,Paolo Raimondi,41119,Inter U23,Goalkeeper,20,Italy,12,7,9,17,278,79,6970,0,0,0,0,0,7,2019,2025
988987,Matteo Cocchi,41119,Inter U23,Left-Back,19,Italy,3,5,5,19,288,164,11152,13,26,54,15,21,46,2021,2025
162951,Riccardo Melgrati,41119,Inter U23,Goalkeeper,31,Italy,1,16,16,13,563,274,24486,0,0,0,0,19,6,2010,2025
1140092,Simon Lleshi,41119,Inter U23,Goalkeeper,17,Albania,0,4,3,8,117,28,2397,0,0,0,0,1,19,2022,2025
1324910,Carlo Galliera,41119,Inter U23,Goalkeeper,16,Italy,0,2,5,7,98,27,2376,0,0,0,0,1,0,2024,2025
1054322,Gabriele Re Cecconi,41119,Inter U23,Centre-Back,20,Italy,24,4,6,14,188,88,6004,3,3,12,4,13,0,2022,2025
819033,Francesco Stante,41119,Inter U23,Centre-Back,21,Italy,15,6,6,16,242,172,13173,4,2,2,0,34,6,2020,2025
1041129,Yvan Maye,41119,Inter U23,Centre-Back,20,France,6,4,6,15,260,92,6310,2,2,12,3,9,0,2022,2025
1137274,Leon Jakirović,41119,Inter U23,Centre-Back,18,Croatia,86,5,7,16,179,69,4994,2,1,6,2,8,24,2022,2026
929688,Antonio David,41119,Inter U23,Left-Back,22,Romania,25,5,4,13,207,119,7277,1,9,0,0,15,7,2021,2025
163187,Giuseppe Prestia,41119,Inter U23,Centre-Back,32,Italy,19,18,12,20,726,470,39888,18,10,32,7,70,12,2008,2025
1058352,Mattia Marello,41119,Inter U23,Left-Back,18,Italy,0,4,5,13,193,137,9789,11,24,10,3,12,32,2022,2025
1058350,Leonardo Bovio,41119,Inter U23,Centre-Back,18,Italy,0,5,5,15,215,115,8820,6,1,5,3,15,36,2022,2026
1103692,Tommaso Avitabile,41119,Inter U23,Right-Back,19,Italy,2,4,5,8,134,73,4509,4,2,0,0,5,0,2022,2025
1170802,Lamine Ballo,41119,Inter U23,Right-Back,18,Italy,0,3,5,13,144,95,7051,2,11,6,0,4,11,2023,2025
991744,Luka Topalović,41119,Inter U23,Central Midfield,20,Slovenia,9,5,6,19,276,178,10741,28,19,95,31,16,45,2021,2025
1059257,Gabriele Garonetti,41119,Inter U23,Centre-Back,20,Italy,26,4,5,12,157,86,6833,1,2,3,0,6,0,2022,2025
898812,Christos Alexiou,41119,Inter U23,Centre-Back,20,Greece,5,6,7,22,321,131,10708,17,1,21,7,16,21,2020,2025
980346,Richi Agbonifo,41119,Inter U23,Right Midfield,20,Italy,11,5,4,9,169,135,7937,34,26,5,3,17,2,2021,2025
930780,Thomas Berenbruch,41119,Inter U23,Central Midfield,20,Italy,44,5,6,19,302,165,10628,42,30,94,37,14,9,2021,2025
885623,Issiaka Kamate,41119,Inter U23,Central Midfield,21,France,10,6,8,19,327,171,11989,29,16,28,7,27,0,2020,2025
884228,Leonardo Bovo,41119,Inter U23,Defensive Midfield,20,Italy,14,6,7,17,240,148,8944,19,5,21,4,24,7,2020,2025
1054347,Mattia Zanchetta,41119,Inter U23,Defensive Midfield,20,Italy,4,4,6,16,222,124,7589,12,17,44,5,18,2,2022,2025
942736,Matteo Venturini,41119,Inter U23,Central Midfield,19,Italy,16,5,5,13,186,129,8698,11,14,35,10,8,1,2021,2025
287875,Luca Fiordilino,41119,Inter U23,Defensive Midfield,29,Italy,8,13,9,13,528,383,26395,11,5,75,17,76,0,2013,2025
1160833,Dilan Zárate,41119,Inter U23,Central Midfield,18,Spain,0,4,5,14,186,117,6834,17,7,27,8,9,10,2023,2026
927911,Igor Amerighi,41119,Inter U23,Right Midfield,21,Italy,77,5,6,12,171,103,6012,12,6,1,1,20,0,2021,2025
1170803,Filippo Cerpelletti,41119,Inter U23,Defensive Midfield,18,Italy,0,3,5,13,167,123,9022,11,12,4,2,16,10,2023,2025
1008570,Mattia Mosconi,41119,Inter U23,Centre-Forward,19,Italy,30,5,6,22,332,189,11398,64,40,120,45,18,61,2021,2025
1170804,Jamal Iddrissou,41119,Inter U23,Centre-Forward,18,Italy,0,3,5,16,182,117,7839,48,13,39,15,13,20,2023,2025
972475,Matteo Lavelli,41119,Inter U23,Centre-Forward,19,Italy,90,5,6,19,237,153,7357,51,9,73,26,10,6,2021,2025
919669,Simone Cinquegrano,41119,Inter U23,Right Midfield,21,Italy,46,5,5,13,241,167,10465,11,8,5,1,18,0,2021,2025
1188771,Aymen Zouin,41119,Inter U23,Left Winger,19,Morocco,0,3,4,10,176,82,3936,16,11,21,12,7,1,2023,2025
555056,Iwo Kaczmarski,41119,Inter U23,Central Midfield,22,Poland,37,9,12,24,406,202,12503,9,11,3,0,34,26,2017,2025
555070,Jan Żuberek,41119,Inter U23,Centre-Forward,22,Poland,35,7,9,17,233,115,5165,29,5,9,3,9,14,2017,2025
930768,Matteo Spinaccè,41119,Inter U23,Centre-Forward,19,Italy,7,5,6,20,313,172,9378,46,14,97,34,19,17,2021,2025
287876,Antonino La Gumina,41119,Inter U23,Centre-Forward,30,Italy,20,13,11,13,574,323,19076,96,15,203,75,33,5,2013,2025
337360,Riccardo Gagno,2655,LR Vicenza,Goalkeeper,28,Italy,16,14,9,14,483,334,30099,1,1,0,0,13,0,2013,2026
1058357,Cristian Carrara,41119,Inter U23,Centre-Forward,18,Italy,0,4,4,8,152,114,5343,39,11,0,0,2,14,2022,2025
451310,Maxime Leverbe,2655,LR Vicenza,Centre-Back,29,France,6,12,9,12,430,268,22366,11,3,67,17,53,0,2015,2026
365565,Giuseppe Cuomo,2655,LR Vicenza,Centre-Back,28,Italy,14,13,5,14,490,279,23318,16,7,22,4,51,2,2014,2026
818134,Thomas Sandon,2655,LR Vicenza,Centre-Back,22,Italy,27,7,2,11,263,174,12560,3,6,1,0,39,7,2020,2026
1258101,Mattia Basso,2655,LR Vicenza,Goalkeeper,17,Italy,1,4,4,8,105,17,1418,0,0,0,0,0,0,2023,2026
814349,Nicholas Fantoni,2655,LR Vicenza,Centre-Back,23,Italy,0,6,5,9,258,56,3770,0,1,0,0,8,0,2020,2025
242537,Samuele Massolo,2655,LR Vicenza,Goalkeeper,29,Italy,12,16,10,18,621,153,13720,0,0,0,0,4,0,2011,2026
1324485,Giacomo Bianchi,2655,LR Vicenza,Goalkeeper,18,Italy,0,2,2,7,87,15,1305,0,0,0,0,0,0,2024,2025
936024,Mattia Golin,44223,AS Giana Erminio,Centre-Back,21,Italy,0,5,6,13,184,120,8679,4,2,0,0,16,0,2021,2025
936184,Matteo Vescovi,2655,LR Vicenza,Centre-Back,21,Italy,33,6,3,9,292,111,9374,4,1,1,0,24,0,2021,2026
130380,Daniel Cappelletti,2251,Treviso FBC 1993,Centre-Back,34,Italy,0,18,12,18,735,463,38241,27,11,57,20,100,0,2008,2025
197743,Filippo Costa,2655,LR Vicenza,Left Midfield,30,Italy,32,17,12,20,679,370,28664,19,63,21,2,64,26,2010,2026
686592,Lorenzo Caferri,2655,LR Vicenza,Right Midfield,27,Italy,28,8,3,10,291,249,19066,24,31,1,0,36,0,2019,2026
1350707,Achille Rensi,2655,LR Vicenza,Centre-Back,17,Italy,0,2,2,5,59,30,1931,1,1,0,0,3,0,2024,2025
377043,Loris Zonta,2655,LR Vicenza,Central Midfield,28,Italy,29,16,6,17,651,354,21873,23,20,29,9,20,0,2011,2026
