competition_id,n_players_with_match
IT3C,1060
CILP,1012
CITP,685
IT3P,647
CIT,637
IT3B,487
IT2,461
IT3A,442
ITC4,420
IJ1,363
IT1,312
TDV,310
FS,291
ITJE,264
IJ2B,244
IT3O,233
IT4P,230
ITJF,230
ITJ7,204
IT4,196
ITJ6,193
IT4H,185
19YL,174
ITJ5,168
IT4I,162
POSB,151
SCIC,142
ITJP,131
IT4G,129
ITJ4,122
ITJ3,121
IJ2A,117
PUSB,109
U17Q,106
SCIJ,103
U19Q,103
ITJ1,102
IT18,96
IT4F,95
ITJ2,90
IT4O,89
SU20,85
CL,78
EL,73
ITJ8,69
IT4D,66
IT4A,63
IT4B,61
IT4E,60
ITJ9,57
17EU,55
U21Q,54
SCI,44
IT4C,44
IT4Y,37
ELQ,36
SCJ2,30
IT4W,29
ECLQ,28
19EU,27
17WC,22
IT4X,22
20WC,21
21EU,18
CLQ,16
UCOL,16
KLUB,15
PLIC,14
IJSC,14
RO1,14
SCC,13
GRP,12
ROMP,12
GR1,11
CDR,10
NLP,9
C1,9
WMQ6,9
POPO,9
KR1,9
KRC,9
SCC2,9
IT4Z,9
NL2,8
ARCA,8
EMQ,8
SL1,8
FRC,7
NL1,7
ES2,7
ARY3,7
AR1N,7
ofb,7
PO2,7
FAC,7
GB2,7
ES3D,7
USC,6
FRYC,6
ARG2,6
CS,6
POPU,6
BE1,6
CCB,6
SLP,6
C2,6
AA17,5
NLJB,5
DFB,5
WMQ2,5
CLI,5
BRC,5
RO2,5
A2,5
A1,5
PL1,5
CGB,5
ITJ0,5
FR1,4
L2,4
GR20,4
2SAM,4
BIHP,4
BOS1,4
KR2,4
CEF1,4
E4G5,4
FIWC,4
SPjr,4
POCP,4
A1EL,4
UNLA,4
DKP,4
RO1R,4
PO1,4
LET1,4
LETP,4
GB21,4
ATRM,4
NLBJ,3
FRL,3
NLAJ,3
NLJV,3
S2PO,3
L3,3
BU1,3
UNLD,3
DFBJ,3
BCP1,3
ES1,3
ALBP,3
ES3B,3
PL2,3
MALC,3
AFCN,3
AFCQ,3
GRSC,3
FR5H,3
F19A,3
NLVB,3
PON2,3
DK2,3
CIR4,3
DK1,3
UNLB,3
CR19,3
CB20,3
BRA2,3
TR1,3
TRP,3
FAYC,3
21PL,3
FIS,3
UNG1,3
UNGP,3
RO1C,3
CDLP,3
FR2,3
FR4B,3
E3PP,3
FRCH,2
NLAP,2
L1,2
NLEV,2
FINJ,2
ES1P,2
OLYM,2
S1PO,2
POWM,2
19S2,2
BRCB,2
MT1N,2
BCPF,2
BRNE,2
BRA1,2
ATRW,2
WMQ3,2
A2TP,2
ALB1,2
BU2,2
P23Q,2
PT23,2
LTU2,2
LTVP,2
E4G4,2
BRA4,2
E3FI,2
MT1P,2
CHPR,2
E3PL,2
E4G1,2
JGD2,2
JGD3,2
RLSW,2
BE2,2
CAN,2
CDN1,2
R2AO,2
CHUC,2
CH17,2
CH18,2
DKRE,2
NOPO,2
DKAR,2
NO1,2
GRS2,2
ES3C,2
PLZJ,2
PLSC,2
LET2,2
SL2,2
GBFL,2
GB18,2
FR5A,2
ROMS,2
NLBE,2
ITPO,2
UNLC,2
FR3,2
E3G2,2
FI1,2
F1CL,2
FIL,2
POBE,2
POEM,2
EURO,2
CLPI,2
CDCO,2
F19B,2
POCC,2
URUC,2
FR5G,2
GB1,2
MAL1,2
ES3A,2
E3FD,2
FR4A,2
E3G1,1
SB17,1
GRP2,1
GRPL,1
17AC,1
RLGR,1
OCL,1
NZL1,1
NZLP,1
WMQ5,1
19S1,1
OBLK,1
AJ1,1
RLW3,1
BJ1,1
ARG1,1
ALPL,1
VZ1A,1
ARGC,1
SCAG,1
GCQU,1
CACG,1
CNNF,1
CNLA,1
MARG,1
ALBS,1
P23F,1
P23A,1
BTCU,1
BRCG,1
BRP5,1
ES3P,1
A4V,1
ELVA,1
ARCP,1
DK2R,1
A23Q,1
W23C,1
FFAC,1
CIR6,1
ISL,1
NO46,1
ISP,1
ISLS,1
SE1,1
IS1,1
SEC,1
IS2,1
RLN4,1
POGR,1
PL34,1
BAPO,1
C20P,1
CHC1,1
BLPW,1
BJ2,1
AJ,1
AJ2,1
SER1,1
SERP,1
SER2,1
RL1,1
SR1C,1
PL32,1
ZYPM,1
ZYP1,1
CPO1,1
FR4C,1
C17P,1
C9EP,1
C9PL,1
C19C,1
C191,1
C7PO,1
NLBV,1
F19D,1
NLC,1
SRPO,1
OLW3,1
BJ,1
RUP,1
AJ3,1
RLB3,1
RU1,1
BJ3,1
WFVP,1
ROCL,1
L2PO,1
RTIP,1
A4O,1
A1R,1
ATRO,1
HRSC,1
CO17,1
TSP,1
CZ21,1
TS1,1
PL33,1
23AC,1
SL19,1
A4ST,1
URUP,1
URUI,1
URU1,1
URSC,1
URP1,1
ISRF,1
JEMP,1
JAP1,1
JAPC,1
CCL,1
INDC,1
MEXA,1
USMX,1
MEX1,1
INSC,1
ISPO,1
ISR1,1
IND1,1
POMX,1
ISRA,1
INDP,1
M20C,1
L1RL,1
DKDD,1
DK2P,1
MALS,1
UNPO,1
MALA,1
MALD,1
NTD,1
511,1
MALM,1
EJPL,1
ARG3,1
WAFF,1
F4LA,1
FI3C,1
F1CC,1
F1CE,1
CLPD,1
CH1C,1
SCP,1
SC1,1
SFA,1
ILI2,1
IN1L,1
BRCE,1
BRSC,1
BRA3,1
E4G2,1
EJPD,1
BE2E,1
SK2,1
RS2f,1
BRRS,1
CAFC,1
20AC,1
MARP,1
MAR1,1
REKR,1
POSL,1
UN2,1
FR4D,1
FR5I,1
FR5B,1
FRR2,1
FR5F,1
FR5J,1
TDCS,1
CDCA,1
E4G3,1
AND1,1
CARQ,1
CNLB,1
R2AP,1
ES2P,1
CNLQ,1
AR2T,1
CHC2,1
SUIP,1
MLS1,1
CA1F,1
CAPL,1
MNP3,1
CAN1,1
