player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
930791,Filippo Cecchini,41110,Atalanta U23,Goalkeeper,20,Italy,22,5,8,12,144,45,3868,0,0,0,0,6,0,2021,2025
970683,Piotr Pardel,41110,Atalanta U23,Goalkeeper,21,Poland,1,5,6,14,223,105,9365,0,1,0,0,5,0,2021,2025
617808,Jacopo Sassi,41110,Atalanta U23,Goalkeeper,22,Italy,0,8,11,22,319,130,11376,0,0,0,0,6,9,2018,2025
650256,Paolo Vismara,41110,Atalanta U23,Goalkeeper,23,Italy,95,8,9,21,348,162,14219,0,0,0,0,10,1,2018,2025
1186932,Edoardo Zanchi,41110,Atalanta U23,Goalkeeper,19,Italy,0,3,4,9,183,49,4410,0,0,0,0,0,0,2023,2025
964471,Andrea Torriani,41110,Atalanta U23,Goalkeeper,19,Italy,17,5,5,13,175,32,2697,0,0,0,0,0,0,2021,2025
1298953,Alessandro Anelli,41110,Atalanta U23,Goalkeeper,17,Italy,0,2,6,7,114,49,4410,0,0,0,0,0,0,2024,2025
820620,Tommaso Del Lungo,41110,Atalanta U23,Centre-Back,22,Italy,0,6,7,16,333,153,10810,6,12,2,1,19,0,2020,2025
962154,Albert Navarro,41110,Atalanta U23,Centre-Back,18,Spain,37,6,4,15,180,103,7348,5,8,1,1,8,33,2021,2026
940553,Relja Obric,41110,Atalanta U23,Centre-Back,20,Slovenia,19,5,7,23,316,143,10715,2,5,1,1,36,33,2021,2025
929871,Matteo Plaia,41110,Atalanta U23,Centre-Back,20,Italy,2,5,6,17,243,126,9139,4,0,1,0,26,13,2021,2025
1048080,Federico Simonetto,41110,Atalanta U23,Left-Back,19,Italy,3,4,5,14,206,127,8568,26,12,10,2,27,2,2022,2025
536837,Federico Bergonzi,41110,Atalanta U23,Right-Back,25,Italy,66,9,5,16,342,266,20792,8,14,11,3,21,2,2017,2025
936753,Pietro Comi,41110,Atalanta U23,Centre-Back,20,Italy,6,5,6,17,327,129,9634,6,1,0,0,23,0,2021,2025
667066,Alessio Guerini,41110,Atalanta U23,Centre-Back,21,Italy,18,6,6,12,232,147,11667,3,5,0,0,32,0,2020,2025
1058394,Pietro Parmiggiani,41110,Atalanta U23,Centre-Back,20,Italy,0,4,6,9,212,118,8147,2,1,1,1,22,0,2022,2025
567476,Gabriele Berto,41110,Atalanta U23,Centre-Back,23,Italy,4,9,6,13,310,184,13718,5,3,0,0,19,20,2017,2025
936750,Pietro Tornaghi,41110,Atalanta U23,Centre-Back,20,Italy,0,5,6,16,272,72,4858,6,0,0,0,10,0,2021,2025
361065,Mitchel Bakker,41110,Atalanta U23,Left Midfield,25,Netherlands,0,12,13,32,652,340,22695,14,34,97,37,43,61,2014,2025
487836,Simone Panada,41110,Atalanta U23,Defensive Midfield,23,Italy,5,10,7,22,436,247,17576,15,36,11,2,65,51,2016,2025
936755,Alberto Manzoni,41110,Atalanta U23,Central Midfield,20,Italy,7,5,5,18,296,146,9787,40,12,1,0,22,5,2021,2025
954265,Lorenzo Riccio,41110,Atalanta U23,Central Midfield,19,Italy,21,5,6,23,328,154,8817,24,10,16,4,11,41,2021,2025
1178213,Federico Steffanoni,41110,Atalanta U23,Central Midfield,17,Italy,25,2,4,15,178,106,7649,3,9,14,7,13,30,2024,2025
892165,Sergej Levak,41110,Atalanta U23,Central Midfield,19,Croatia,47,6,5,16,197,128,8023,28,6,10,3,17,19,2020,2025
1048147,Federico Cassa,41110,Atalanta U23,Attacking Midfield,20,Italy,11,4,5,18,270,118,6167,13,14,0,0,7,4,2022,2025
1170813,Javison Idele,41110,Atalanta U23,Right Midfield,19,Italy,61,3,6,16,182,93,6257,2,4,4,1,18,16,2023,2025
940135,Christos Papadopoulos,41110,Atalanta U23,Attacking Midfield,21,Greece,0,5,8,18,228,88,4463,20,6,4,0,25,2,2021,2025
1134119,Digne Kaelas Pounga,41110,Atalanta U23,Central Midfield,19,Congo,8,4,3,9,86,43,2425,1,0,5,2,6,4,2022,2025
421769,Davide Ghislandi,41110,Atalanta U23,Right Midfield,24,Italy,24,11,7,19,405,268,16703,28,27,0,0,18,53,2015,2025
421768,Alessandro Cortinovis,33734,SS Monopoli 1966,Attacking Midfield,25,Italy,0,11,9,23,485,250,13254,45,15,27,10,12,58,2015,2025
1048145,Andrea Bonanomi,41110,Atalanta U23,Attacking Midfield,20,Italy,58,4,6,18,232,145,9368,21,30,9,4,16,15,2022,2025
814015,Matteo Colombo,41110,Atalanta U23,Defensive Midfield,22,Italy,0,6,6,17,273,161,10331,10,10,0,0,13,0,2020,2025
942091,Filippo Mencaraglia,41110,Atalanta U23,Defensive Midfield,20,Italy,0,5,5,12,232,118,6645,3,9,10,4,12,0,2021,2025
1073421,Nicolò Artesani,41110,Atalanta U23,Attacking Midfield,19,Italy,0,4,5,9,178,107,6471,21,12,4,1,5,4,2022,2025
741545,Daniel Armstrong,41110,Atalanta U23,Defensive Midfield,21,Finland,0,7,6,18,257,117,8129,6,7,3,0,9,24,2019,2025
1170843,Marco Leandri,41110,Atalanta U23,Central Midfield,19,Italy,0,3,5,8,123,92,6848,2,5,0,0,10,4,2023,2025
936739,Dominic Vavassori,41110,Atalanta U23,Second Striker,20,Italy,99,5,5,21,299,173,11485,64,28,0,0,5,8,2021,2025
988862,Moustapha Cissé,41110,Atalanta U23,Centre-Forward,22,Guinea,14,5,6,16,250,128,5949,35,9,46,16,7,0,2021,2025
622031,Tommaso De Nipoti,41110,Atalanta U23,Second Striker,22,Italy,0,8,7,21,368,181,8951,33,25,10,4,13,15,2018,2025
1172235,Edoardo Lonardo,41110,Atalanta U23,Centre-Forward,20,Italy,0,3,3,10,130,63,2190,15,7,0,0,4,0,2023,2025
1005997,Nicolò Baldo,41110,Atalanta U23,Centre-Forward,19,Italy,0,5,5,9,171,150,9757,50,18,15,4,21,0,2021,2025
928046,Giulio Misitano,41110,Atalanta U23,Centre-Forward,21,Italy,9,5,4,15,253,164,10056,67,25,18,9,30,11,2021,2025
1101344,Emanuele Zanaboni,6089,Casarano Calcio,Centre-Forward,20,Italy,0,4,6,9,135,82,4353,23,5,6,2,8,0,2022,2025
955427,Henry Camara,41110,Atalanta U23,Centre-Forward,19,Guinea,94,5,7,17,296,129,5773,26,6,6,1,12,4,2021,2025
1178214,Andrea Michieletto,41110,Atalanta U23,Centre-Forward,18,Italy,0,3,5,9,140,65,3366,7,5,2,1,7,5,2023,2025
1170821,Davide Bono,41110,Atalanta U23,Second Striker,18,Italy,0,3,5,8,135,94,4906,21,5,0,0,5,3,2023,2025
882988,Candas Fiogbe,41110,Atalanta U23,Second Striker,21,Benin,0,6,6,15,214,125,8198,45,11,4,2,6,3,2020,2025
895560,Manuel Esposito,4171,Benevento Calcio,Goalkeeper,21,Italy,22,6,5,14,194,130,11640,0,0,0,0,5,0,2020,2025
240157,Gianmarco Vannucchi,4171,Benevento Calcio,Goalkeeper,30,Italy,26,14,12,18,668,335,30194,0,3,0,0,24,0,2012,2025
1296725,Mattia Suppa,4171,Benevento Calcio,Goalkeeper,19,Italy,0,2,3,5,73,12,1035,0,0,0,0,0,0,2024,2025
1323272,Luigi D'Alessio,4171,Benevento Calcio,Goalkeeper,18,Italy,0,2,4,5,81,16,1334,0,0,0,0,1,0,2024,2025
62270,Danilo Russo,4171,Benevento Calcio,Goalkeeper,38,Italy,1,24,14,20,911,409,36590,0,0,0,0,29,1,2002,2025
1503383,Michelangelo Tagliente,4171,Benevento Calcio,Goalkeeper,17,Italy,0,1,2,2,15,0,0,0,0,0,0,0,0,2025,2025
1373536,Francesco Mandato,4171,Benevento Calcio,Goalkeeper,17,Italy,0,2,2,4,38,19,1665,0,0,0,0,0,0,2024,2025
142990,Stefano Scognamillo,4171,Benevento Calcio,Centre-Back,31,Italy,14,16,8,12,680,420,34171,11,15,45,9,134,0,2010,2025
195057,Raffaele Celia,4171,Benevento Calcio,Left-Back,27,Italy,13,13,9,18,460,326,21745,10,16,36,13,34,11,2013,2025
567475,Andrea Ceresoli,4171,Benevento Calcio,Centre-Back,23,Italy,20,9,9,20,348,237,18381,8,21,6,1,33,18,2017,2025
534083,Edoardo Pierozzi,4171,Benevento Calcio,Right-Back,24,Italy,77,9,9,17,371,247,16251,20,12,20,5,35,10,2017,2025
