competition_id,n_players_with_match
JAP1,720
J1YV,682
JEMP,648
JAPC,631
JAP2,414
FS,368
AFCL,228
JAP3,204
J1PO,192
JASP,181
ACLE,174
ACLQ,115
JL12,112
JL11,108
EAFC,84
WMQ1,77
23AF,75
ACL2,67
17WC,66
KLUB,63
J18C,61
A23Q,57
FIWC,56
J18E,56
AFAC,54
J18W,53
AG18,48
20WC,48
BRC,47
A168,44
J1YL,44
OLYM,41
SURU,40
BRA2,37
A920,36
BE1,35
BRA1,35
COPA,34
ELQ,32
ECLQ,32
CCB,32
SUNC,28
EL,28
AU2C,27
JFL,27
CS,27
DFB,27
PO1,24
A169,22
POPO,22
CLQ,22
L2,22
CL,22
BRA3,21
L1,20
RKPO,19
POCP,19
UCOL,18
J2J3,18
RSK1,17
CLI,17
BRNE,17
U21Q,17
BRA4,16
BCP1,16
CDR,16
KTOS,16
POBE,15
JPR2,15
SPjr,14
BRSC,14
AUS1,13
BE2,13
BCPF,13
PO2,13
U19Q,13
BRPR,12
A198,12
BRC2,12
OQAF,12
ACQU,12
AUSF,11
FAC,11
ES2,11
BRCM,11
CONC,11
CGB,10
FFAC,10
FRC,10
ES1,10
BRNF,10
BRGO,10
BRCG,10
CB20,10
TR1,10
BRCB,9
A192,9
RSKM,9
DKP,9
BRVE,9
GB2,8
FR1,8
21EU,8
DK1,8
SKJN,8
GB1,8
ofb,8
TRP,8
SC1,7
SCP,7
SFA,7
RS2f,7
BRRS,7
WMQ6,7
RSKA,7
NLP,7
EMQ,7
BRCR,7
A2,7
RSK2,6
SERP,6
SER1,6
C1,6
SCC,6
NL1,6
SEC,6
SE1,6
JRCL,6
EJPL,6
DKRE,6
BCP2,6
PT3A,5
BPO4,5
BRPE,5
BRNP,5
DFBJ,5
K18C,5
UNLA,5
KRC,5
RU1,5
KR1,5
PT23,5
CHFA,5
CSL,5
BRCF,5
UAE1,5
L1PO,5
U17Q,5
POWM,5
2SAM,5
FR2,4
ES1P,4
PTRL,4
SER2,4
19EU,4
AF15,4
RLN3,4
ES2P,4
RUP,4
RECO,4
SCBR,4
GRP,4
UALC,4
UAEP,4
A1,4
CIT,4
FRL,4
S21S,4
POEM,4
SAKC,4
SA1,4
TOHL,4
BESC,4
DKMR,4
DK2,4
DKPL,4
BE2E,4
RLB3,4
NL2,4
ES3C,4
GB3,3
QSL,3
QEC1,3
SLO1,3
SKC,3
SCPM,3
AJ1,3
FR4D,3
FR4A,3
PLIC,3
BRCE,3
SR1C,3
IT1,3
RLSW,3
PONL,3
17EU,3
SE2,3
AJ3,3
S21P,3
19YL,3
JUSÖ,3
UNLC,3
ISRA,3
ISR1,3
ISPO,3
UNLB,3
JFLC,3
KREG,3
DKAR,3
ASCC,3
BULP,3
BU1,3
TR2,3
POPU,3
PL1,3
EJPD,3
C20P,3
GBCS,3
brti,3
BRAL,3
LETP,3
LET1,3
GBFL,2
MLS1,2
QSCP,2
SK2,2
SLAR,2
BJ1,2
CEF1,2
FRYC,2
POCC,2
EURO,2
P3As,2
GR1,2
SR1R,2
AJ,2
TRS,2
RL1,2
SUC,2
FR5E,2
AFCQ,2
AFCN,2
FR4B,2
DFL,2
WMQ2,2
NO1,2
NOPO,2
AFSE,2
JUSL,2
NLBB,2
NLBV,2
IRLP,2
ISRF,2
SSC,2
J6K2,2
ISP,2
IS1,2
FRCH,2
DK2P,2
DK3O,2
UNG1,2
ATRO,2
MLSP,2
JPR3,2
AF16,2
RLW3,2
BULS,2
RL2,2
TUNP,2
TUN1,2
ACL,2
21PL,2
C2,2
ISR2,2
PON2,2
EBEL,2
GB21,2
ITJ2,2
IT2,2
AFCC,2
AZ1,2
E3FA,2
BE2A,2
RLN4,2
RKNL,2
KNLP,2
CNLA,2
CCL,2
WMQ3,2
GOCU,2
CNNF,2
THFA,2
THLC,2
THA1,2
ESJP,2
BIHP,1
BOS1,1
RCBR,1
CSSP,1
SU20,1
E3FD,1
ES3D,1
REKR,1
SLP,1
SL1,1
KR2,1
BRDF,1
BRMS,1
E3G1,1
BCE1,1
CSLC,1
S1PO,1
RLGR,1
RSER,1
L3,1
SANP,1
UASC,1
AJ2,1
BJ,1
NLSC,1
FR5D,1
CHAN,1
NO41,1
SRPO,1
SEA1,1
SPAU,1
OBLB,1
VLBA,1
19S2,1
BJ3,1
NLBE,1
THA2,1
SC2,1
SC1P,1
GB4,1
F1CL,1
FI1,1
F1CC,1
FIS,1
SCPA,1
F1CE,1
CLPD,1
J6TS,1
DKDL,1
KLCP,1
KREL,1
SCI,1
DK3V,1
MNP3,1
ARRN,1
OBLK,1
E4G5,1
SIN1,1
SPCS,1
SINP,1
CLIY,1
MO1N,1
PL33,1
PLZJ,1
BUEL,1
BRPB,1
S21M,1
ARCP,1
CAFC,1
TUNR,1
ES3A,1
FR5H,1
C1P1,1
COLO,1
CO22,1
CO2T,1
COL1,1
COLF,1
COLP,1
COPO,1
NLBP,1
POLL,1
ELTI,1
A4N,1
ELTA,1
GBR,1
ITJ1,1
CITP,1
L2PO,1
P232,1
PTPR,1
ASPK,1
LTVP,1
LI1,1
OFPL,1
P2RL,1
