competition_id,n_players_with_match
KR1,575
KRC,479
FS,385
KR2,284
ECLQ,276
ELQ,220
U19Q,204
CR19,197
U21Q,171
CLQ,157
U17Q,141
19YL,114
EL,111
UCOL,99
BOS1,75
SL1,71
CL,68
BIHP,65
SLP,61
HRSC,61
PLIC,55
17EU,53
WMQ6,51
EMQ,41
CIT,35
TDV,34
19EU,32
21EU,31
SL2,28
IT1,28
17WC,28
PL1,27
UNG1,24
ofb,24
UNLA,24
TRP,23
ES1,23
IT2,23
TR1,22
EURO,22
UNLB,22
DFB,21
CDR,21
FIWC,21
POWM,21
CITP,20
POPU,20
REKR,19
A1,19
DKP,17
20WC,17
UNGP,17
ZYP1,17
L1,16
DK1,16
FRC,16
UNLC,16
GR1,15
NLP,15
BI19,15
CCB,15
BE1,15
CPO1,15
GRP,14
RO1,14
IJ1,14
FR1,14
A2,14
AJ3,13
L2,13
POSB,13
SERP,13
SER1,13
SCC,12
POPO,12
PO1,12
POEM,12
DKRE,12
DFBJ,11
ITJE,11
FAC,11
ROMP,11
SLO1,10
BJ3,10
NL2,10
FRYC,10
POCP,10
ES2,10
BI17,10
DKAR,10
TS1,10
KR2R,9
BULP,9
SKC,9
RLB3,9
CHPR,9
C1,9
FR2,9
RLSW,9
GB1,9
GB21,9
FAYC,9
CGB,9
CLI,9
RUP,9
RU1,9
UNPO,9
BU1,8
2RHR,8
ATRM,8
BHSC,8
POGR,8
GBFL,8
CS,8
MAZ1,8
NL1,8
SR1C,8
A1EL,8
CILP,8
POSL,7
IT3B,7
POBE,7
LET1,7
21PL,7
BE2,7
PO2,7
SL19,7
WMQ2,7
KOP1,7
AFCN,7
USMX,7
UNFI,7
RO1R,7
SB19,7
JGD2,7
JGD3,7
PL2,7
MNE1,7
SU20,6
FR4B,6
LI1,6
L3,6
SAKC,6
GB18,6
GB2,6
ZYPM,6
CAFC,6
CHAN,6
AFCQ,6
MLS1,6
POUS,6
TSP,6
KAS1,6
AZ1,6
MO1N,6
CSL,6
KLUB,6
DK2,6
ES2P,6
DKRQ,6
MNP3,6
MNEC,6
AA17,5
CHUC,5
PON2,5
CH18,5
CHC1,5
SPjr,5
PL2L,5
LETP,5
BRC,5
FR5F,5
FR4A,5
FRL,5
ACL,5
ALBP,5
ALB1,5
BU2,5
BOS2,5
20AC,5
KO1,5
EJPL,5
ZYPA,5
SER2,5
IT3C,5
C2,5
CH17,5
F19F,5
CHFA,5
ITJP,5
SCP,5
SC1,5
DKMR,5
ITJ1,5
SCI,5
ATRO,5
PLSC,5
PL31,5
TR2,5
SEC,5
SR1R,5
UKRP,5
UKR1,5
RO1C,5
SLMR,4
FIS,4
FI1,4
FIL,4
WMQ1,4
SCIJ,4
ITJ3,4
WRPO,4
WER1,4
FR5B,4
LTVP,4
UEQ,4
ASCC,4
18GB,4
PT3A,4
PT23,4
BRA1,4
F17M,4
FR5D,4
FR4C,4
ES3C,4
UN2,4
TS2,4
KAZP,4
IJ2A,4
SA1,4
ISL,4
ISP,4
IS1P,4
IS1,4
MOP2,4
MWP1,4
ARM1,4
BESC,4
SFA,4
DKPL,4
SCPM,4
TRS,4
IT3A,4
E21P,4
PL32,4
NOPO,4
NO1,4
BE2E,4
ASPK,4
UAE1,4
S1PO,3
ROMS,3
RLW3,3
BASU,3
FR4D,3
BRA4,3
CB20,3
MYS1,3
FR5I,3
F19A,3
SA2L,3
AFCL,3
FR5K,3
E3PL,3
ISRF,3
BULS,3
ISR1,3
IJ2B,3
LET2,3
ARCP,3
MLSP,3
SUC,3
CZ3M,3
UNLD,3
P23Q,3
SLAR,3
C18E,3
ACLQ,3
CCL,3
F1CL,3
ARPO,3
E3G2,3
E3G1,3
DFL,3
RSK1,3
RKPO,3
ITJ2,3
23AF,3
SE1,3
E3PP,3
NLBV,3
BUEL,3
MNE2,3
POT2,3
MAL1,3
MALC,3
UAEP,3
UALC,3
GRS2,2
ITC4,2
JAP3,2
JAP2,2
ACQU,2
JEMP,2
AFSE,2
BJ1,2
COPO,2
COLP,2
CO22,2
IT3O,2
HEPO,2
MYSP,2
MYC1,2
FR5E,2
BVP,2
BJ,2
POSU,2
GB4,2
19S1,2
19S2,2
BRSC,2
A23Q,2
FR3,2
FRCH,2
ES3A,2
RLN4,2
SAPO,2
ISPO,2
SKKO,2
SINP,2
IN1L,2
RORE,2
RO2,2
R2AP,2
NMAP,2
MAZR,2
SASS,2
17AC,2
IS2,2
SB17,2
F19B,2
FR5H,2
EC1N,2
ECUP,2
CAN,2
USSP,2
UI,2
F1CC,2
F1CE,2
GE1N,2
GEP1,2
ES3D,2
RUJL,2
RU2,2
E4G3,2
CYSC,2
RSKM,2
RSKA,2
PUSB,2
ESJP,2
23AC,2
FR5A,2
C220,2
CNNF,2
AUSF,2
AUS1,2
JUSÖ,2
S21P,2
S21S,2
PONL,2
NLBE,2
QFLC,2
P3Au,2
AFCC,2
BRCM,2
212S,2
SUIP,2
ANDP,2
AND1,2
DKDL,2
NPFL,2
ARM2,2
ACLE,2
PL33,2
MT1P,2
MALM,2
MT1N,2
FI3A,2
FINJ,2
E4G2,2
ARGC,2
CDLP,2
SCIN,2
SAM7,2
ARG1,2
AR1N,2
ARCA,2
DK2P,2
NLBP,2
T1MR,2
SCIC,2
ROPC,2
