competition_id,n_players_with_match
L2,892
DFB,885
FS,569
L3,424
DFBJ,409
L1,404
U19Q,240
RLW3,219
BJ3,203
AJ3,203
L1PO,200
U21Q,197
U17Q,191
AJ1,176
RLSW,173
BJ1,169
RLN3,167
AJ,166
EL,156
AJ2,151
BJ2,147
19YL,142
RLB3,142
ELQ,137
SU20,133
CL,127
ECLQ,127
L2PO,122
BJ,109
RLN4,109
WFPO,108
19S2,107
PLIC,95
UCOL,91
19LA,88
CLQ,88
17EU,86
AA17,86
WMQ6,82
21EU,80
19S1,80
BVP,78
EMQ,68
17P2,65
17WC,62
NLP,61
NP34,59
OLW3,59
AR3L,58
19EU,57
NL1,54
BE1,52
DK1,52
17P1,52
CGB,50
A1,50
19LB,50
OBLB,49
CCB,48
ofb,48
FAC,47
DKP,47
NRPO,46
BVFP,45
SAPO,45
BBPO,42
C1,42
GB2,41
FIWC,40
MRPO,40
FRC,40
WFVP,40
SCC,37
UNLB,37
NL2,37
EURO,36
UNLC,35
SANP,34
20WC,33
POWM,33
UNPO,32
DKRE,31
UNLA,30
ALPW,30
OLRP,30
OBLG,30
19D3,29
FR1,29
FR2,29
DKAR,29
PL1,29
DKMR,28
POEM,28
OLB2,28
IT1,27
POPU,27
19D8,27
MPPO,26
A2,26
DFL,26
19D5,26
OBLN,26
DKDL,25
SC1,25
HEPO,25
CIT,25
SRPO,24
OBLL,23
NO1,22
WMQ2,22
NOPO,22
PONL,22
BLPW,21
SCP,21
RNME,21
VLBA,21
19D2,21
19D1,20
AFCQ,20
SFA,20
GB21,20
SEC,20
GB1,19
POBE,19
GBFL,19
KLUB,19
17LA,18
TR1,18
21PL,18
SE1,18
19D6,18
DKRQ,18
BE2,17
SWP,17
DKPL,17
OBLF,16
FRYC,16
NLJB,16
RL3,15
EJPL,15
DK2,15
JGD2,15
A1EL,15
OBLC,15
TRP,14
CHPR,14
RRLB,14
GB3,14
JEMP,14
JAP1,14
CH18,13
CHUC,13
NLBE,13
JGD3,13
FR4A,13
NLAJ,13
GR1,13
PON2,13
SCPM,12
KRC,12
KR1,12
NDSP,12
JAPC,12
BPP,12
19D4,12
SE2,12
OLYM,12
TFVP,11
FRR1,11
FRL,11
QWEP,11
AJR2,11
FR3,11
AFCN,11
AJR1,11
NLJV,11
GRP,11
CITP,11
IJ1,11
MLS1,11
NO2,10
SHPO,10
RL1,10
NLVB,10
PO1,10
LPB1,10
17LB,10
POCC,9
ATRO,9
BJ4R,9
23AF,9
EAFC,9
LLSA,9
WMQ1,9
DK2P,9
GB18,9
SLO1,9
17DD,9
BJ3R,9
CHC3,8
USMX,8
KR2,8
19D9,8
BASU,8
RRLS,8
SLI,8
RTIP,8
JAP2,8
NLBV,8
A23Q,8
POGR,8
ITJE,8
IT2,8
FR5F,8
LBSW,8
PLSC,8
VLW1,8
AFCL,8
CDR,8
SKC,8
C2,7
USC,7
F19A,7
RL2,7
FR4B,7
OPHH,7
TDV,7
WMQ3,7
GOCU,7
CNLA,7
JUSÖ,7
S1PO,7
ES1,7
RESE,7
UNFI,7
17DC,7
S21S,7
FR4C,7
DKRL,7
A920,7
UNLD,7
17DB,6
FRCH,6
FR4D,6
CH17,6
FR5E,6
SCI,6
MLSP,6
NLBA,6
NLSC,6
NTD,6
OLNI,6
POPO,6
NLBJ,6
SL1,6
NLAE,6
UNG1,6
19D7,6
S21P,6
FAYC,6
18GB,6
FIS,6
SER1,6
RKPO,6
RSK1,6
BE2E,5
20AC,5
FFAC,5
OLWE,5
USL,5
ACQU,5
OLMR,5
OBLE,5
LLM1,5
GR20,5
ISL,5
AFAC,5
FR5B,5
LUXP,5
ORPE,5
PL33,5
CNNF,5
CILP,5
RU1,5
OLB1,5
ZYP1,5
ES2,5
BESC,5
E21P,5
C18E,5
SCPA,5
JAP3,5
SLAR,5
TR2,5
RLP,5
AU2C,5
SERP,5
FI1,5
UNGP,5
A1R,5
K18C,5
OBLK,5
GBCS,4
NO32,4
TRS,4
SSC,4
AUS1,4
TSP,4
TS1,4
NLC,4
CHC2,4
FR5J,4
BOS1,4
212S,4
ATRM,4
NO42,4
NO43,4
JASP,4
IS1,4
IS2,4
ISP,4
SLP,4
511,4
LUX1,4
PLZJ,4
PLJZ,4
F19B,4
OBLJ,4
RUP,4
CHAN,4
F19C,4
CPO1,4
DK2R,4
GRS2,4
SBP,4
NO46,4
PL31,4
SK2,4
CAFC,4
17DE,4
BPO4,4
ITJ7,4
POUS,4
ZYPM,4
IT3A,4
ITJ5,4
SR1C,4
PL2,4
NPAM,4
FIL,4
F1CL,4
VLSA,4
E3G2,3
DK3O,3
CDLP,3
CS,3
ARCA,3
AR1N,3
2SAM,3
A169,3
F19F,3
SUIC,3
SA1,3
CONC,3
USLP,3
NO31,3
NLAP,3
211F,3
ACLE,3
J1PO,3
FR5I,3
POCP,3
181F,3
SCIJ,3
510,3
EJPD,3
GCQU,3
VLHS,3
BIHP,3
SE3N,3
S21N,3
NLEV,3
ESJP,3
LETP,3
LET1,3
A4K,3
NLBB,3
BRA1,3
BRC,3
CLI,3
ITJ2,3
ARCP,3
GB4,3
PL2L,3
A4B,3
FI2,3
ITJF,3
POG3,3
UKR1,3
CAN,3
BTCU,3
BU1,3
BULP,3
COPA,3
USSP,3
GEO1,3
GESC,3
GE2H,3
GEPO,3
ARM1,3
ARPO,3
FI3A,3
FI3B,3
VLBW,3
PO2,3
SB19,3
AJ17,3
GRPL,3
RSK2,3
RSKA,3
17DF,3
ALB1,3
