player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
907277,Sean Dulic,983,TSG 1899 Hoffenheim II,Centre-Back,21,Germany,0,6,6,11,214,122,9449,8,3,5,1,9,6,2021,2026
1268669,Paul Bachmann,72,TSV 1860 Munich,Goalkeeper,20,Germany,40,3,2,5,102,26,2263,0,0,0,0,0,0,2024,2026
40520,René Vollath,72,TSV 1860 Munich,Goalkeeper,36,Germany,11,20,10,17,802,444,39545,0,3,4,1,42,16,2006,2025
1009346,Miran Qela,72,TSV 1860 Munich,Goalkeeper,19,Kosovo,12,6,6,14,177,56,4905,1,0,0,0,4,9,2021,2026
115979,Thomas Dähne,72,TSV 1860 Munich,Goalkeeper,32,Germany,21,20,13,31,848,383,33674,0,1,0,0,13,16,2007,2026
354069,Manuel Pfeifer,72,TSV 1860 Munich,Left-Back,26,Austria,27,13,7,12,347,169,13666,1,10,30,3,24,0,2014,2026
460845,Siemen Voet,1,1.FC Saarbrücken,Centre-Back,26,Belgium,4,11,12,21,352,189,14642,9,10,30,5,23,1,2016,2026
1148887,Clemens Lippmann,72,TSV 1860 Munich,Right-Back,19,Germany,41,4,5,9,121,76,5116,6,2,5,2,4,0,2023,2026
307845,Marvin Rittmüller,72,TSV 1860 Munich,Right-Back,27,Germany,29,12,7,12,377,252,17728,7,10,33,5,21,4,2015,2026
233420,Jesper Verlaat,72,TSV 1860 Munich,Centre-Back,29,Netherlands,4,15,10,16,585,322,26899,17,3,136,53,52,0,2012,2026
401940,Raphael Schifferl,72,TSV 1860 Munich,Centre-Back,26,Austria,37,12,9,13,364,230,18161,12,3,60,12,44,0,2014,2025
202838,Max Reinthaler,72,TSV 1860 Munich,Centre-Back,31,Italy,16,15,10,17,645,267,19925,19,3,79,26,50,0,2011,2025
324760,Kilian Jakob,1622,FC Viktoria Köln,Left-Back,28,Germany,26,12,10,14,524,268,18384,26,24,64,24,36,2,2014,2026
253702,Tim Danhof,72,TSV 1860 Munich,Right-Back,28,Germany,2,14,7,11,454,305,21086,42,50,53,17,32,0,2012,2025
171352,Morris Schröter,72,TSV 1860 Munich,Right-Back,30,Germany,17,13,6,10,509,323,19837,34,48,260,78,34,0,2013,2025
1045928,Lasse Faßmann,72,TSV 1860 Munich,Centre-Back,19,Germany,33,5,5,12,178,95,7655,3,2,1,0,5,0,2022,2026
