competition_id,n_players_with_match
LI1,304
LTVP,276
ECLQ,198
FS,173
LTU2,170
LTSC,115
U21Q,103
U19Q,92
CLQ,87
ELQ,82
U17Q,81
L1RL,60
WMQ6,42
LTP3,38
UNLC,37
EMQ,34
LIM,33
BTCU,33
19YL,31
LTP2,27
LET1,26
POPU,24
LETP,24
UNPO,23
PL2,18
UCOL,17
CCB,16
PL1,16
BIHP,14
BOS1,14
EL,14
ROMP,14
CITP,13
SER1,13
UKRP,13
RO1,13
SERP,12
KRC,12
UKR1,12
KR1,11
NLP,11
19EU,11
FRC,11
GRP,11
BE1,11
AFCQ,11
POPO,10
GE1N,10
FI1,9
SER2,9
GEP1,9
KAS1,9
17EU,9
RO1R,9
LET2,9
WMQ2,9
F1CL,8
BE2,8
KR2,8
UKR2,8
BEL3,8
PO2,8
FR2,8
KAZP,8
NL2,8
BULP,8
BU1,8
SEC,7
ITJE,7
SL2,7
RO2,7
ISR1,7
TDV,7
FR3,7
ofb,7
FIS,7
NO1,7
CPO1,7
UKRA,7
ISPO,7
CIT,6
EST1,6
DFB,6
FAC,6
GBFL,6
GRS2,6
POBE,6
SL1,6
TSP,6
CDR,6
AFCN,6
ARPO,6
PT23,6
POCP,6
SE1,5
MALC,5
SLP,5
UA3L,5
ESTP,5
ITJ7,5
L3,5
ITJ1,5
FR4C,5
A1,5
A2,5
S1PO,5
GR1,5
DKP,5
NOPO,5
DK1,5
RO1C,5
ZYP1,5
SKC,5
GESC,5
MO1N,5
PLIC,5
ARM1,5
PON2,5
CAFC,5
SPjr,5
SE2,4
MAL1,4
IT1,4
CILP,4
AZ1,4
ASPK,4
MNE1,4
BAPO,4
WRPO,4
WER1,4
TS1,4
21PL,4
TRP,4
L2,4
SCP,4
PL31,4
SFA,4
ISRA,4
ITJ3,4
SCIJ,4
SR1R,4
20WC,4
FIL,4
DK2,4
DKRE,4
CL,4
IJ2A,4
IJ1,4
PL2L,4
ITC4,4
BRA4,4
PO1,4
FRL,4
GB21,4
MWP1,4
FR1,4
SCC,4
FR5G,4
CHAN,4
TUN1,4
20AC,4
DFBJ,4
ISR2,4
RESU,3
SE3N,3
IT3A,3
ITJ2,3
R2AO,3
FI2,3
FAYC,3
MNEC,3
PVRR,3
PL33,3
ITJF,3
ITJ5,3
OBLB,3
BVP,3
SC1,3
IT2,3
FR4A,3
FR5B,3
QFLC,3
PVCR,3
RSER,3
SR1C,3
F1CE,3
DKDL,3
CGB,3
UNLD,3
UNG1,3
POEM,3
S2PA,3
IJ2B,3
ROMS,3
JEMP,3
POSL,3
SSC,3
BESC,3
17WC,3
IT4C,3
IT4P,3
CYP2,3
CZ3C,3
SLO1,3
RUP,3
RORE,3
MOP2,3
AJ1,3
C2,3
BJ1,3
UARP,3
GB4,3
NLBV,3
NL1,3
IT4B,3
FR4B,3
FR4D,3
A1EL,3
BU2,3
TUNP,3
LUXP,3
LUX1,3
AJ3,3
SB19,3
PT3A,3
P3As,3
AA17,3
TS2,3
MNP1,3
CB20,3
BRC,3
E3G2,3
E3G1,3
S21N,2
JUNO,2
IT3B,2
IT3P,2
IT3O,2
KO1,2
KOP1,2
MNP3,2
BI17,2
BI19,2
PL34,2
RLB3,2
RLW3,2
AR3L,2
511,2
CCC1,2
NLS6,2
TR1,2
OBLG,2
TR2,2
IT3C,2
FR5C,2
GEO2,2
GE2P,2
ATRM,2
ATRO,2
2SAM,2
COPO,2
DKMR,2
DK2R,2
GB3,2
UNGP,2
ITJP,2
HRSC,2
JAP2,2
POGR,2
SCPM,2
CHFA,2
EJPL,2
1CY2,2
T1AR,2
SLMR,2
FR5H,2
RU1,2
WERA,2
BELR,2
IND1,2
E3FD,2
21EU,2
CNAT,2
IR1,2
FR5F,2
C1,2
RLN4,2
SU20,2
ES3D,2
RUJL,2
NLBB,2
NLBE,2
NLBP,2
ISRF,2
ZYPM,2
212S,2
BE3V,2
NRPO,2
ACL,2
TUNM,2
VFVB,2
NO44,2
DKAR,2
ACFF,2
B3AU,2
GR2,2
LETA,2
MT1P,2
SB17,2
DKRQ,2
NO46,2
ITJ4,2
P2RL,2
SC2,2
FR5D,2
SK2,2
BRA1,2
BJ3,2
GIRC,2
GN1P,2
GI1,2
BRA2,2
ARM2,2
ES2P,2
E3PL,2
ES3B,2
MNE2,2
SE3S,1
RESE,1
HEPO,1
VLHN,1
TAD1,1
LPB1,1
AJ2,1
MRPO,1
WFPO,1
IS2,1
WAL1,1
PFL1,1
IS1,1
CNLB,1
WALE,1
TRP2,1
T191,1
TR4C,1
POT2,1
GCQU,1
FR5J,1
FRR2,1
CNLA,1
FR5E,1
EST2,1
A4K,1
A4V,1
POFI,1
CO2T,1
LIB1,1
GB1,1
POCC,1
DK2P,1
GB2,1
SCJ2,1
ITJ6,1
IJSC,1
ESJP,1
FFAC,1
23AF,1
ACLQ,1
AFCL,1
AUS1,1
AUSF,1
OLMR,1
WFVP,1
OLB1,1
J2J3,1
JAPC,1
JAP1,1
SCI,1
ARGC,1
A1P1,1
TDCS,1
ARCA,1
ARG1,1
AR1N,1
AR2T,1
A2TP,1
CDLP,1
ARG2,1
PLSC,1
CSL,1
F1CC,1
ROPC,1
SINP,1
T1MR,1
SIN1,1
BHSC,1
MAL2,1
COLP,1
FRR1,1
KASC,1
FR5A,1
ZYPA,1
INSC,1
INDP,1
WMQ4,1
VZOC,1
CS,1
VZ1C,1
CLI,1
SAM7,1
VZ1L,1
VZOA,1
CLPI,1
SAM2,1
VZ1P,1
VZ1A,1
ES3A,1
R2AP,1
FARQ,1
REKR,1
AJ,1
RLN3,1
BJ,1
BASU,1
CHC2,1
L1,1
L2PO,1
L1PO,1
CR19,1
MOSC,1
WRSP,1
WER2,1
FR5K,1
PONL,1
SLAR,1
RO2B,1
UN2,1
SEN1,1
ROCL,1
UI,1
MAZ1,1
S21S,1
LNR2,1
TUSC,1
2NPP,1
BE2E,1
RTIP,1
NO2,1
NO41,1
F19A,1
LUCL,1
GHPL,1
510,1
PRTD,1
KASR,1
UZ1,1
BOS2,1
BH2S,1
RNME,1
211F,1
P23A,1
PTPR,1
P23F,1
P23Q,1
BE2A,1
FARO,1
FASC,1
FAPO,1
DKPL,1
DKRL,1
P3Au,1
CPSB,1
USL,1
MLSP,1
FI3A,1
USLP,1
UKRL,1
UKRM,1
T1EL,1
FR5I,1
SCPA,1
POFD,1
PLZJ,1
BAPL,1
PLJR,1
WMQ1,1
NLJV,1
NLEV,1
CAFA,1
NLJB,1
NLAE,1
ACQU,1
UEQ,1
BRSC,1
RRLB,1
TFVP,1
OBLN,1
GIIL,1
GN2P,1
211S,1
CHPR,1
CH18,1
CH17,1
CHUC,1
C3P3,1
RKPO,1
RSK2,1
IT4A,1
IRPC,1
CLO,1
ILIP,1
JL12,1
JAP3,1
BRNE,1
BRPE,1
BRA3,1
BRCB,1
ARSC,1
BRPR,1
E4G1,1
BULS,1
FIWC,1
CONC,1
23AC,1
BVFP,1
RU2,1
P232,1
ES3E,1
ES1,1
ES2,1
E3FA,1
CZ3M,1
JGD3,1
JGD2,1
A1R,1
KAZM,1
IT4E,1
KAZA,1
C220,1
CCL,1
WMQ3,1
F4LA,1
FIYK,1
SFAL,1
TELK,1
SFA1,1
NEDC,1
S2PO,1
FRYC,1
NLN6,1
SC1P,1
UKRE,1
17AC,1
FI2P,1
YKAU,1
YKCP,1
PLJZ,1
PL32,1
IT4G,1
GB18,1
KO1R,1
ALB1,1
ALBP,1
ALPO,1
UAEP,1
BRCR,1
BRCG,1
BRCF,1
KOBU,1
RU16,1
