player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1302766,Steve Noode,48712,Union Titus Petange,Centre-Back,20,Cameroon,4,3,5,7,82,45,3734,0,1,0,0,9,0,2024,2026
1529692,Leni Karim,48712,Union Titus Petange,Goalkeeper,19,France,0,1,1,1,6,0,0,0,0,0,0,0,0,2025,2025
693312,Elias Damergy,9283,FC Etzella Ettelbruck,Goalkeeper,22,Tunisia,30,7,6,13,188,46,3984,0,0,0,0,1,8,2018,2025
1181267,Max Komes,48712,Union Titus Petange,Goalkeeper,18,Luxembourg,18,4,3,4,38,2,180,0,0,0,0,0,1,2023,2026
469965,André Barrela,12346,FC Progrès Niederkorn,Goalkeeper,25,Luxembourg,0,11,3,8,306,180,16064,0,3,0,0,20,9,2016,2026
929929,Noe Vechviroon,48712,Union Titus Petange,Right-Back,20,Germany,3,4,2,5,86,41,3233,0,2,0,0,20,0,2021,2026
684302,Mustafa Kourouma,48712,Union Titus Petange,Centre-Back,23,Germany,14,8,6,9,256,103,6449,6,1,17,3,11,0,2019,2026
1095403,Dalil Ali,48712,Union Titus Petange,Right-Back,22,France,99,6,5,9,129,102,6424,15,6,0,0,17,0,2021,2026
966550,Yanis Zodehougan,48712,Union Titus Petange,Centre-Back,22,France,5,5,4,9,152,90,7201,5,1,0,0,20,0,2021,2025
528697,Jérémy Mawatu,48712,Union Titus Petange,Left-Back,28,France,8,11,6,11,325,172,13203,3,16,1,0,25,0,2014,2025
1308291,Noa Lognard,48712,Union Titus Petange,Centre-Back,19,Belgium,77,3,2,3,67,25,1592,1,0,0,0,7,0,2024,2026
55512,Wilson Kamavuaka,853,F91 Dudelange,Centre-Back,36,DR Congo,36,19,15,29,676,379,27027,26,8,22,7,71,8,2007,2026
436170,Saïd Arab,48712,Union Titus Petange,Central Midfield,25,France,21,9,8,13,238,101,4610,12,7,16,6,12,0,2018,2026
1351955,Jean-Nathan Fanoux,48712,Union Titus Petange,Defender,18,France,22,3,1,3,51,11,247,0,0,0,0,2,0,2024,2026
1289891,Alfred Adomah,48712,Union Titus Petange,Left-Back,20,Ghana,0,4,2,5,50,8,528,1,0,0,0,0,0,2023,2026
943029,Dino Sabotic,48712,Union Titus Petange,Defensive Midfield,20,Luxembourg,40,6,2,10,167,74,4330,0,0,1,1,23,19,2021,2026
742303,Gustavo,9283,FC Etzella Ettelbruck,Attacking Midfield,29,Brazil,0,10,6,9,256,149,10504,32,16,1,0,21,0,2017,2026
483463,Bakary Sissoko,48712,Union Titus Petange,Defensive Midfield,28,France,88,10,6,13,308,163,13533,3,2,0,0,21,0,2015,2026
1452741,Ibrahima Diouf,48712,Union Titus Petange,Defensive Midfield,20,Senegal,34,5,2,4,92,8,577,0,0,0,0,3,0,2022,2026
344673,Till Hermandung,48712,Union Titus Petange,Central Midfield,28,Germany,70,11,9,13,376,185,13408,17,38,0,0,44,0,2014,2025
486045,Marouane Balouk,48712,Union Titus Petange,Attacking Midfield,23,Belgium,10,10,3,7,197,113,4990,9,9,0,0,10,14,2017,2026
314670,Burak Gencal,48712,Union Titus Petange,Attacking Midfield,31,Germany,0,12,14,18,411,330,21184,73,34,0,0,21,0,2013,2025
711001,Ayoub Erraji,48712,Union Titus Petange,Right Midfield,24,Morocco,2,5,4,8,128,39,2169,1,4,0,0,3,0,2019,2025
952284,Hayford Gyimah,48712,Union Titus Petange,Left Midfield,19,Ghana,13,4,2,4,79,17,311,0,0,0,0,0,0,2021,2026
1402471,Florent Désiré Beguin,48712,Union Titus Petange,Midfield,17,Belgium,6,3,1,3,40,1,26,0,0,0,0,0,0,2024,2026
1120049,Idney Melo,48712,Union Titus Petange,Midfield,19,Luxembourg,16,4,2,5,105,15,524,1,0,0,0,2,7,2022,2025
1262899,Frederic Sanduco,48712,Union Titus Petange,Midfield,22,France,0,3,1,2,14,4,46,1,0,0,0,1,0,2023,2026
1409813,Emir Agovic,13467,Racing FC Union Luxembourg,Attacking Midfield,18,Morocco,0,3,2,2,20,1,17,0,0,0,0,0,0,2024,2026
1456978,Ricardo Martins Rodrigues,48712,Union Titus Petange,Defensive Midfield,18,Luxembourg,0,1,1,2,24,1,5,0,0,0,0,0,0,2025,2025
1491391,Carlos Jose Ramirez Maria,48712,Union Titus Petange,Midfield,18,Spain,0,1,1,1,16,0,0,0,0,0,0,0,0,2025,2025
1491392,Jorge Damiano Frunze,48712,Union Titus Petange,Midfield,20,Portugal,0,1,1,1,16,0,0,0,0,0,0,0,0,2025,2025
1184317,Marcel Mbida,48712,Union Titus Petange,Defensive Midfield,21,Cameroon,29,4,3,5,62,16,1109,0,1,0,0,5,0,2023,2026
1069750,Nuno Martins,48712,Union Titus Petange,Left Winger,23,Portugal,23,5,5,11,129,79,4783,13,4,0,0,8,0,2022,2026
1535207,Georis Lebrun,48712,Union Titus Petange,Midfield,18,Belgium,0,1,1,1,8,0,0,0,0,0,0,0,0,2025,2025
337671,Adham El Idrissi,11914,FC Differdange 03,Centre-Forward,28,Netherlands,0,12,13,18,361,240,12845,68,32,21,8,27,5,2013,2025
351098,Yannick Schaus,12004,UN Käerjeng 97,Right Winger,26,Luxembourg,0,12,7,12,373,238,11222,33,17,0,0,32,42,2015,2026
441054,Gonçalo Ferreira,48712,Union Titus Petange,Right Winger,24,Portugal,15,6,4,8,137,59,2901,9,4,0,0,8,0,2021,2026
797562,Pepe Pereira Mendes,48712,Union Titus Petange,Right Winger,21,Germany,24,7,5,11,164,104,6000,21,23,7,4,4,0,2020,2026
