competition_id,n_players_with_match
MALC,370
MT1N,334
MAJC,306
MT1P,287
MAL1,213
ECLQ,208
FS,196
MAL2,179
MT2P,154
MALS,126
MLP2,126
U21Q,119
CLQ,109
ELQ,106
U19Q,106
MT1F,93
MALM,90
U17Q,81
MALA,59
WMQ6,55
UNLD,45
EMQ,44
MALD,44
BRC,40
BRA4,37
MLAC,34
POPO,33
MAL3,30
MTPO,28
UNPO,25
UCOL,24
CILP,22
BRA3,22
19YL,22
CIT,19
BRA2,17
PO2,17
IT3P,16
CITP,16
EL,16
IT3A,15
AFCQ,15
BU1,15
19EU,15
POCP,15
IT3C,14
BRVE,14
IT2,14
17EU,14
IT3B,14
CCB,13
ROMP,13
PT23,13
BRA1,13
CS,13
BRCM,13
BRNE,13
M3P2,13
FRC,13
PO1,13
SCC,12
MAZ1,12
TDV,12
PT3A,12
CPO1,11
ZYP1,11
BRNP,11
P3As,11
BIHP,11
BE1,10
RO1,10
WMQ2,10
BULP,10
CDR,10
KR1,10
IT1,10
BOS1,10
SER1,10
ITC4,9
IJ1,9
BCP1,9
BRCG,9
CLI,9
BRSC,9
NMAP,9
SERP,9
SER2,9
CL,9
BRPR,9
SPjr,8
SL1,8
BRPE,8
UNG1,8
BRRS,8
USL,8
GRP,8
KRC,8
BE2,8
ISPO,8
POPU,8
NLP,8
BRGO,7
SLP,7
UEQ,7
CHAN,7
ofb,7
BRCR,7
ARG2,7
ARCA,7
GRS2,7
LTVP,7
LI1,7
BRES,7
ALB1,7
RO2,7
UNGP,7
FR4C,7
E3PL,7
IN1L,7
BRDF,7
KR2,7
ISR1,7
MLSP,7
CPSB,7
SB19,7
FR1,7
C1,7
NL2,7
TSP,7
BRMS,6
DFB,6
POBE,6
FAC,6
SKC,6
ZYPA,6
ACL,6
SLO1,6
GBFL,6
A2,6
LETP,6
C2,6
ALBP,6
FR3,6
ES1,6
UI,6
MT3P,6
CPSA,6
AZ1,6
PLIC,6
P23Q,6
DFBJ,6
BO1A,5
RLSW,5
L3,5
IT4H,5
ITJ3,5
RO1R,5
CGB,5
PTPR,5
CAFC,5
RS2f,5
LUX1,5
ITJE,5
ITJ1,5
GR1,5
BRPB,5
GZO1,5
BRAL,5
AFCN,5
TRP,5
BI19,5
IT3O,5
PL1,5
POSB,5
EST1,5
ESTP,5
NL1,5
NOPO,5
SR1R,5
GHPL,5
TS2,5
FRL,5
NPFL,5
BRPA,4
BRCB,4
IT4I,4
VIE1,4
GB3,4
MAR1,4
JEMP,4
P232,4
ISR2,4
AR1N,4
LET1,4
KAS1,4
BU2,4
FR4A,4
BCE1,4
BRga,4
BRCE,4
MEX2,4
17WC,4
MEXB,4
RO1C,4
CB20,4
UKR1,4
CNAT,4
P2RL,4
P3Au,4
ES3C,4
ASPK,4
BRMA,4
ES2,4
CHPR,4
TR1,4
LUXP,4
USLP,4
SEC,4
ARY3,4
FR2,4
ITJ2,4
BJ2,4
PL2,4
NLAJ,4
HRSC,4
NO1,4
GB21,4
TS1,4
ARM1,4
FIWC,4
EJPL,4
PON2,4
BVC1,3
IT4P,3
IT4G,3
IJ2B,3
BVP,3
AJ3,3
L2,3
MARP,3
L1,3
VPO1,3
GB4,3
JAPC,3
JAP2,3
AR2T,3
FR5G,3
LET2,3
LTSC,3
brti,3
ALGP,3
ALG1,3
KAZP,3
IRQ1,3
17AC,3
BCPF,3
S1PO,3
AA17,3
SFA,3
BRSE,3
M20C,3
USMX,3
M20A,3
UKRP,3
BRNF,3
E4G5,3
A2TP,3
AFCC,3
BOS2,3
KG1L,3
PVRR,3
FR5A,3
FRYC,3
ITJ8,3
ITJ5,3
ISRA,3
COL1,3
CHC1,3
FR5F,3
NO2,3
SE2,3
JGD2,3
JGD3,3
IJ2A,3
GB2,3
ALB2,3
ACL2,3
T1AR,3
ARPO,3
21PL,3
ITJ7,3
DKP,3
DK2,3
SAKC,3
ITJ4,3
ITJF,3
FI2,3
MLS1,3
SL2,3
RUP,3
BE2E,3
CEF1,3
NLJB,3
NLBE,3
NLBV,3
NLBP,3
NLBB,3
RLW3,3
AJ2,3
SLMR,3
MO1N,2
ROPC,2
RLB3,2
BRCF,2
P23C,2
ARG1,2
ARGC,2
RLN3,2
RHL,2
AND1,2
AOLR,2
RLP,2
BRPI,2
BRRN,2
SAPO,2
JAP3,2
R2AP,2
ITJ6,2
RSFF,2
MXBA,2
MXBC,2
20AC,2
