competition_id,n_players_with_match
MEXA,617
MEX1,605
USMX,501
POME,469
POMX,449
FS,387
CCL,381
M20C,351
M20A,327
M23C,250
M2L1,231
M23A,220
M21A,214
M21C,207
MEXB,199
M2L2,193
MEX2,183
MXSC,159
MXCC,153
CLI,149
CPMX,145
MXCA,140
MXBC,139
MXBA,137
CS,132
KLUB,129
CAMC,118
M23L,109
COPA,94
C220,93
FIWC,90
M2LC,89
20WC,87
SC14,82
M191,77
GOCU,76
CNNF,73
17WC,71
21MA,65
ARCA,64
CNLA,63
M192,62
WMQ3,58
MLS1,58
CDR,57
AR1N,54
MXBF,54
21MC,52
FIC1,52
MLSP,51
EL,48
CO17,46
WMQ4,46
2SAM,44
POUS,43
CDLP,42
ES2,42
ES1,41
M193,41
OLYM,39
CACG,38
BRC,38
BRA1,37
OLCC,35
COLP,35
COPO,35
CLQ,34
ELQ,34
CL,33
COL1,33
ARG1,32
POPO,31
PO1,31
URU1,31
CDCA,29
POCP,29
URUC,29
M194,29
URUI,28
COLF,28
COLO,28
ARY3,27
ARGC,27
CWCQ,27
CA16,26
ARLC,25
OLCF,23
USL,22
BRA2,20
BCP1,20
ECLQ,19
CONC,19
USSP,19
ES1P,18
COSP,18
RECO,18
CH1C,17
CLPD,17
MNP3,17
ARG2,16
FRC,16
URP1,16
ES2P,16
CLPI,15
UCOL,15
ECUP,15
BCPF,15
URUP,14
M20H,14
SAM2,14
GRP,14
PR1C,13
POWM,13
FR1,13
EC1N,13
PO2,13
BRRS,13
CIT,13
GR1,13
CDCO,12
BRCG,12
EL1A,12
CO2T,12
SAM7,12
IT1,12
CCPL,12
ES3B,12
SCBR,11
EL1S,11
FAC,11
TDV,11
TR1,11
RS2f,11
A1P1,11
SCAG,10
CCB,10
BE1,10
TDCS,10
NL1,10
NLP,10
PLIC,10
CAN,10
ES3A,10
PR1A,10
U21Q,9
BRCF,9
CLIY,9
GB1,9
USC,9
TRP,9
E3PL,9
URU2,9
USLP,9
ES3C,9
BRNE,9
FRL,9
CGB,9
POSU,8
EC2L,8
ECSC,8
LPPL,8
CO22,8
URSC,8
A1P2,8
BRPR,8
CEF1,8
BRC2,8
CB20,8
POBE,7
U19Q,7
BRCM,7
POGR,7
CHL1,7
MNPP,7
FR2,7
PT23,7
SUC,6
WMQ6,6
EMQ,6
U17Q,6
ECSE,6
ECPE,6
BRCR,6
CRPD,6
CITP,6
C2P2,6
DFB,6
MARG,6
19YL,6
GB2,6
BRNF,6
BRCE,6
ALPS,6
GB21,6
CDN1,6
URU3,6
E3G2,6
EURO,5
BCP2,5
CENC,5
PN1A,5
CSUC,5
MEXP,5
A2TP,5
EJPL,5
IT2,5
CLPF,5
BCE1,5
SPjr,5
CHLA,5
BRSC,5
PDV1,5
19EU,5
GBFL,5
BRGO,5
CHIÜ,5
UNFI,4
UNLA,4
21EU,4
RUP,4
GCQU,4
RU1,4
ECPL,4
COLE,4
PN1C,4
PN1F,4
C1P1,4
BE2,4
NLSC,4
TDeC,4
SL,4
SURU,4
FRCH,4
C1,4
SCC,4
C1P2,4
URUE,4
BESC,4
PR1P,4
AFCQ,4
AFCN,4
WMQ2,4
C20P,4
VZ1A,4
VZ1C,4
ARG3,4
E3G1,4
CAPL,4
AA17,3
CRPV,3
BRA4,3
PNF1,3
IJ1,3
NLAJ,3
NLJB,3
SCIN,3
UR2T,3
AR2T,3
L2,3
17EU,3
L1,3
IJ2B,3
CPP2,3
RCBR,3
SAKC,3
SA1,3
CO2P,3
GBCS,3
SER1,3
SFA,3
SCP,3
SC1,3
SCPA,3
USC3,3
US3P,3
P232,3
CHAN,3
S1PO,3
PTPR,3
ES3E,3
ESJP,2
RUSS,2
CIF,2
AUSF,2
AUS1,2
BO1A,2
KR1,2
CACP,2
CLLC,2
CL2B,2
VFVA,2
NLJV,2
211F,2
2NPP,2
AFT,2
IJ2A,2
COBI,2
PERF,2
TDeA,2
SCI,2
SCJ2,2
DKAR,2
DKPL,2
DK1,2
DKRE,2
DKP,2
NL2,2
E4G5,2
E4G4,2
E3FD,2
RO1,2
ROMP,2
FIYO,2
AFCL,2
C3PL,2
CN2B,2
BRA3,2
E4G1,2
TR2,2
CRPO,2
UEFA,2
PONL,2
NLBE,2
SERP,2
NLBV,2
UNGP,2
UNG1,2
510,2
FAYC,2
GB18,2
21PL,2
FR3,2
PDV2,2
ES3D,2
PTRL,2
C20Q,2
E3FA,2
UKR1,2
AR3P,2
ITJ3,2
BRPE,2
ARCP,2
CSL,2
CHFA,2
USLC,2
BRCB,2
ES3P,2
PT3A,2
P3Au,2
CPO1,2
ZYP1,2
GRS2,2
ANDP,1
AND2,1
AND1,1
ANPO,1
EJPD,1
EBEL,1
CA17,1
WER1,1
SL1,1
WRPO,1
CNLB,1
JPL1,1
SLP,1
CNLQ,1
CCAC,1
CSC2,1
BVC1,1
JAP2,1
B1P2,1
BO1C,1
FFAC,1
CL2P,1
181F,1
NLVB,1
ACO1,1
POAR,1
BE2A,1
RLW3,1
BE2E,1
ECP1,1
PEDP,1
Inka,1
PTDI,1
PERC,1
PERD,1
PEDI,1
QU2L,1
QEC1,1
AMCQ,1
CPP1,1
CPH1,1
HOCP,1
GCQ5,1
HOAP,1
HO1A,1
HOC1,1
DKRQ,1
E3PP,1
UAE1,1
UALC,1
UAEP,1
BRga,1
PL33,1
POPU,1
PL1,1
17AC,1
POT2,1
DFL,1
MLSR,1
CN2C,1
UNLB,1
NLBF,1
SB19,1
CBII,1
BEL3,1
C3CM,1
GR2,1
BRAL,1
BRMS,1
BRVE,1
BRPB,1
CUCF,1
JD21,1
AZ1,1
ASPK,1
ECP2,1
GU1A,1
SE1,1
SEC,1
L2PO,1
BVP,1
RLB3,1
CR1,1
CHC1,1
LCLC,1
RLGR,1
RO1R,1
RORE,1
CHDP,1
CH2C,1
CILP,1
IT3P,1
IT3A,1
ITJE,1
POSB,1
ITJ2,1
BRES,1
FARQ,1
ACQU,1
NLAE,1
CSLR,1
P23Q,1
GRPL,1
KRC,1
P2RL,1
E3FI,1
MAL1,1
MAL2,1
MTPO,1
MALC,1
FRYC,1
CN2A,1
C3NA,1
C3IF,1
CN2D,1
SCPM,1
A1,1
CYSC,1
ZYPM,1
ofb,1
ALPL,1
E21P,1
S2PO,1
CVSP,1
CVF,1
CISP,1
C2,1
VZ1P,1
VZ1L,1
UKR2,1
UKRP,1
NCD1,1
CHLP,1
ACLQ,1
SASS,1
CSUS,1
AJ1,1
DFBJ,1
RNME,1
L3,1
RLN3,1
SAPO,1
POLL,1
C3HF,1
ECP3,1
PER2,1
