player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
424984,Lucas Merolla,82696,Mazatlán FC,Centre-Back,30,Argentina,19,11,5,15,358,170,13891,7,4,69,21,59,0,2015,2025
371167,André Alcaráz,82696,Mazatlán FC,Goalkeeper,26,Mexico,13,13,8,21,347,133,11768,0,0,0,0,17,4,2014,2026
820227,Ricardo Rodríguez,82696,Mazatlán FC,Goalkeeper,25,Mexico,33,9,7,11,250,73,6536,0,0,0,0,5,0,2018,2026
639390,Facundo Almada,5662,Puebla FC,Centre-Back,28,Argentina,5,11,4,14,290,208,17590,20,5,111,40,34,0,2016,2026
100131,William Carvalho,4035,CF Pachuca,Defensive Midfield,34,Portugal,41,20,5,37,918,622,43262,40,35,152,48,103,143,2007,2026
1087247,Sebastián Santos,4941,Club León FC,Right-Back,23,Mexico,22,7,5,15,253,134,7813,11,3,43,13,17,0,2020,2026
886290,Salvador Rodríguez,82696,Mazatlán FC,Left-Back,24,Mexico,12,8,7,15,313,138,9520,5,1,12,2,21,1,2019,2026
1086892,Ramiro Franco,82696,Mazatlán FC,Centre-Back,22,Mexico,3,7,6,13,232,126,9441,2,0,11,3,23,1,2020,2026
495116,Jair Díaz,5662,Puebla FC,Left-Back,28,Mexico,0,11,9,21,514,266,20562,5,1,41,12,77,3,2016,2026
971631,Mauro Zaleta,1146,Club Necaxa,Left Midfield,24,Mexico,14,6,5,14,270,138,7706,12,2,25,11,17,0,2021,2026
955297,Luis Carrillo,82696,Mazatlán FC,Right-Back,21,Mexico,0,6,5,11,160,65,4309,1,0,0,0,5,4,2021,2026
1262087,Brian Aguas,82696,Mazatlán FC,Centre-Back,19,Mexico,0,4,5,8,134,64,5093,1,0,0,0,13,0,2023,2026
1095860,Christopher Castro,82696,Mazatlán FC,Centre-Back,20,Mexico,32,5,4,10,106,42,2912,0,0,0,0,4,0,2022,2026
1174453,Ángel Leyva,5662,Puebla FC,Centre-Back,19,Mexico,2,4,4,8,111,49,3493,1,0,9,2,11,0,2023,2026
332829,Jordan Sierra,82696,Mazatlán FC,Central Midfield,29,Ecuador,23,13,11,18,503,318,21186,21,19,132,35,30,15,2013,2025
310639,Jefferson Intriago,82696,Mazatlán FC,Defensive Midfield,29,Ecuador,0,13,4,17,580,380,29060,10,19,125,36,88,18,2013,2025
1086870,Sebastián Fierro,4941,Club León FC,Defensive Midfield,25,Mexico,15,7,7,18,346,142,9113,7,0,5,0,37,5,2019,2026
945134,Alberto Herrera,5662,Puebla FC,Defensive Midfield,25,Mexico,3,8,6,12,333,154,8990,15,4,43,13,27,11,2019,2026
335086,José Esquivel,82696,Mazatlán FC,Defensive Midfield,28,Mexico,16,13,9,26,627,318,22904,12,7,90,19,64,39,2014,2026
596906,Alan Torres,82696,Mazatlán FC,Defensive Midfield,26,Mexico,18,10,6,17,407,190,11053,5,3,65,18,24,6,2017,2026
433216,Jorge García,82696,Mazatlán FC,Defensive Midfield,24,Mexico,2,11,7,21,497,185,13520,16,2,2,1,37,2,2015,2026
1101843,Said Godínez,49283,FC Juárez,Defensive Midfield,21,Mexico,25,6,5,8,161,84,6739,5,0,9,1,8,0,2021,2026
1364590,Jesús Inzunza,82696,Mazatlán FC,Midfield,18,Mexico,0,3,4,5,105,55,3463,2,0,0,0,15,0,2024,2026
950872,Daniel Hernández,82696,Mazatlán FC,Right Winger,24,Mexico,28,8,7,15,323,145,7313,17,3,64,21,7,0,2019,2026
594561,Dudu Teodora,82696,Mazatlán FC,Centre-Forward,26,Brazil,7,7,5,14,258,183,8277,21,10,135,46,12,0,2017,2025
570547,Brian Rubio,82696,Mazatlán FC,Centre-Forward,29,Mexico,15,10,9,18,333,213,10672,39,10,180,76,44,0,2017,2026
283473,Yoel Bárcenas,82696,Mazatlán FC,Right Winger,32,Panama,11,16,9,30,761,529,36191,72,46,405,149,53,109,2011,2026
548298,Fábio Gomes,82696,Mazatlán FC,Centre-Forward,28,Brazil,90,10,12,24,401,246,15790,83,27,411,153,16,0,2016,2025
1087352,Omar Moreno,5662,Puebla FC,Attacking Midfield,21,Mexico,8,6,4,11,223,90,4370,12,2,56,19,5,8,2021,2026
325600,Mauro Laínez,7055,Tigres UANL,Left Winger,30,Mexico,19,14,17,23,624,366,19461,18,20,120,40,48,9,2013,2026
844725,Josué Ovalle,82696,Mazatlán FC,Right Winger,25,Chile,17,7,7,8,119,71,4237,11,6,25,10,8,0,2019,2025
1065536,Ángel Saavedra,82696,Mazatlán FC,Left Winger,22,Mexico,31,5,4,10,205,118,8310,22,1,11,3,18,0,2022,2026
450237,Billy Arce,82696,Mazatlán FC,Left Winger,27,Ecuador,9,12,14,28,480,282,15394,49,31,276,91,42,0,2011,2025
1086884,Gilberto Adame,6709,CF Atlante,Right Winger,21,Mexico,20,5,5,9,187,98,5222,4,0,5,1,7,0,2022,2026
1200339,Iván González,82696,Mazatlán FC,Right Winger,19,Mexico,199,4,4,9,143,52,2763,2,1,3,1,12,0,2023,2026
1118680,Anwar Ben Rhouma,82696,Mazatlán FC,Centre-Forward,21,United States,0,5,6,12,166,64,4041,23,0,0,0,12,0,2022,2026
1374366,Leonardo Chávez,82696,Mazatlán FC,Attack,20,Mexico,0,2,3,6,64,40,2049,5,0,0,0,0,0,2024,2025
1029149,Gabriel López,82696,Mazatlán FC,Attack,23,Mexico,0,7,4,12,318,161,10397,32,1,15,7,6,0,2020,2026
1374368,Jaime Estrada,82696,Mazatlán FC,Attack,18,Mexico,0,3,4,6,106,40,1947,2,0,0,0,6,0,2024,2026
