competition_id,n_players_with_match
MLS1,1020
USMX,852
MLSP,787
POUS,647
FS,640
MNP3,553
CCL,505
USL,244
MNPP,242
NCD1,211
CAN,149
USSP,143
EL,129
ELQ,124
FIWC,118
20WC,117
C220,111
U21Q,109
CLI,108
GOCU,103
17WC,102
USLP,101
KLUB,100
CLQ,100
CL,90
ECLQ,89
WMQ3,89
CS,88
U19Q,84
CO17,81
COPA,81
CNLA,79
CAMC,76
FAC,75
CNNF,75
CGB,69
WMQ6,63
UCOL,56
FRC,54
GB2,54
DFB,54
2SAM,53
GB1,52
USC3,51
U17Q,51
L1,51
EMQ,49
GB21,48
CDR,48
BRC,46
USLC,45
FR1,44
BRA1,43
ARCA,43
19YL,42
WMQ4,42
21EU,41
AR1N,41
EURO,38
OLYM,37
OLCC,37
ES1,37
CCB,36
UNLA,36
PLIC,35
UL2P,33
BE1,33
NO1,32
POPO,32
DKP,32
NOPO,31
PO1,31
SC1,31
FR2,30
MEXA,30
WMQ2,30
GBFL,30
OLCF,29
POCP,29
CDLP,29
POWM,29
DK1,28
SEC,27
ES2,27
L2,27
SFA,27
SE1,26
MEX1,26
AFCQ,26
21PL,26
COLP,25
COL1,25
UNLB,25
SCP,25
ARG1,25
CA16,25
AFCN,25
COPO,24
SU20,24
BCP1,24
FRL,23
19EU,22
CIT,22
TR1,22
IT1,22
DKRE,22
CWCQ,21
SAM7,21
ARGC,21
CB20,21
POCC,21
NLP,20
POMX,19
SCC,19
NL1,19
FAYC,19
GCQU,19
DKMR,19
TRP,19
SAM2,18
POEM,18
COLO,18
PO2,18
C1,18
POME,18
SPjr,18
BCPF,18
POBE,17
CHAN,17
CDN1,17
17EU,17
BRA2,17
L3,17
GB3,17
ofb,16
C20Q,16
GR1,16
CONC,16
DFBJ,16
DK2,16
AJ3,16
BRCG,16
US3P,15
ISR1,15
ARY3,15
MLSR,15
POPU,15
A1,15
ARLC,15
CDCA,15
TDV,14
GRP,14
COLF,14
CLPI,14
DKAR,14
FR4B,14
SUC,14
USC,14
C20P,14
RECO,14
UNLC,13
PL1,13
AUS1,13
AFCL,13
CNLB,13
SCPM,13
DKDL,13
URU1,13
CH1C,12
M20C,12
GB4,12
CAPL,12
DFL,12
URUC,12
SCBR,12
SCAG,12
ISPO,12
POGR,11
BE2,11
MXCA,11
MXCC,11
M20A,11
NL2,11
FFAC,11
WMQ1,11
FR3,11
BJ3,11
RLSW,11
AA17,11
UNFI,11
UNG1,11
EJPL,11
UNGP,11
KRC,11
AUSF,11
CLIY,11
BRCF,11
GB18,11
PT23,11
CO2T,10
SER1,10
AJ2,10
L1PO,10
SERP,10
BRCM,10
ES2P,10
CDCO,10
ES3C,10
URUI,10
SCIN,10
KR1,10
CNLQ,10
CITP,9
A2,9
COLE,9
UNPO,9
JEMP,9
UKR1,9
RUP,9
RU1,9
FRYC,9
FR4A,9
FRR1,9
NO2,9
SB19,9
SCPA,9
RLB3,9
VZ1A,9
DKRQ,9
IJ1,8
IT2,8
BESC,8
BRNE,8
UKRP,8
CLPF,8
SFA1,8
NEDC,8
PON2,8
RLW3,8
JAPC,8
JAP1,8
ACL,8
RTIP,8
SB17,8
TSP,8
AJ1,8
AFAC,8
URP1,8
TDCS,8
CLPD,8
GBCS,8
FRCH,8
BRRS,8
BRCR,8
EC1N,8
ECUP,8
POSU,8
E21P,8
20AC,8
RLN3,8
DKPL,8
ISRA,8
CCPL,8
CACG,7
VZ1C,7
M2L2,7
SR1C,7
SE2,7
TELK,7
SFAL,7
TS1,7
URUP,7
A1P2,7
A1P1,7
ARG2,7
SSC,7
ES1P,7
FR4D,7
FR5G,7
M2L1,7
ISRF,7
CCAC,6
NO31,6
COSP,6
CHL1,6
CHLA,6
CSUC,6
NLSC,6
FR4C,6
EAFC,6
F17M,6
NO41,6
DKRL,6
DK2R,6
A1EL,6
NO32,6
23AF,6
PTPR,6
FI1,6
VZ1L,6
CAFC,6
NAPL,6
NAFC,6
PN1C,6
PN1A,6
MEX2,6
17AC,6
PL2,6
ISR2,6
23AC,5
PT3A,5
PDV1,5
PDV2,5
CRPV,5
CRPD,5
NO42,5
C2P2,5
CHIÜ,5
CPMX,5
SC2,5
SA1,5
S21S,5
BJ2,5
JASP,5
DK2P,5
DKDD,5
