competition_id,n_players_with_match
NIR1,492
NIRC,427
NILC,425
NIRF,307
NIRU,274
ECLQ,273
NIRE,249
CASH,247
FS,215
NIR2,178
ELQ,173
NSC,158
SSC,156
CLQ,127
U17Q,119
NIMC,106
U19Q,103
NIPP,102
MUCU,93
U21Q,88
IRPO,87
IR1,83
GBFL,82
FAC,77
CGB,76
SFA,73
SCP,72
NIAR,68
NIR3,66
NWSC,58
FAYC,57
GB4,55
GB3,53
GB21,50
21PL,49
SC2,48
SC1,46
IR2,44
IRLC,42
ILIP,42
19YL,40
SC3,40
IRPC,35
GB18,34
GB2,31
UCOL,31
IR12,28
CNAT,28
SC1P,26
PLIC,25
POFD,25
SC4,24
NLN6,23
SCPA,20
NLS6,20
EL,17
GB1,17
SSCP,15
SC5L,14
SCPM,13
NIP2,13
E21P,12
IRMC,12
NIMI,12
19EU,11
17EU,10
NLC,10
POG2,10
POSD,9
WMQ6,8
CMCU,8
POG3,7
SC3M,7
WAL1,7
WALE,7
EMQ,7
POCC,6
WALC,6
GBR,6
BRCP,5
17WC,5
18GB,5
CL,5
NCD1,4
GBRN,4
UL2P,4
POCO,4
E6SP,4
USL,4
CDR,3
AUS1,3
GI1,3
GBEG,3
UEQ,3
SL2P,3
E6NP,3
CAN,3
WMQ2,3
MLSP,3
E3G2,2
AA17,2
NIAI,2
GN1P,2
UNPO,2
UNLD,2
GIRC,2
IT3B,2
GBRS,2
CILP,2
USC3,2
USLC,2
POPO,2
POCP,2
SC4M,2
GBQ2,2
SU20,2
20WC,2
UNLB,2
SEC,2
CO17,2
WAL2,2
GBKN,2
AFCN,2
AFCQ,2
EURO,2
POWM,2
MNP3,2
SC5H,2
ES2P,1
BBPO,1
BRBL,1
GIIL,1
GN2P,1
GISC,1
CZJ2,1
ITJ5,1
E4G3,1
SCIJ,1
TDV,1
ITJE,1
ITJ3,1
IT1,1
CITP,1
IT3A,1
CIT,1
ES3E,1
ITJF,1
IT3O,1
IJ1,1
E3FD,1
ES1,1
SC3A,1
GBQ1,1
NZL1,1
RO1R,1
PO1,1
AUSF,1
RO1,1
SC4A,1
WALP,1
POEM,1
UNLC,1
FIS,1
F1CC,1
FI1,1
FIL,1
SE1,1
SE2,1
RESU,1
SLO1,1
SKR2,1
SWRP,1
SKRP,1
SLAR,1
SK2,1
SLMR,1
SKC,1
CSSP,1
ITC4,1
FFAC,1
VIE1,1
EFD2,1
C20Q,1
CDN1,1
C220,1
CAFC,1
ACL,1
FRC,1
CPO1,1
PT3A,1
CPSC,1
P3As,1
CPSD,1
FR4C,1
PO2,1
ISR1,1
GBRP,1
LNWE,1
ACQU,1
A23Q,1
AFSE,1
SE3N,1
EST1,1
MALC,1
UNGP,1
MAL1,1
ESTP,1
UNG1,1
IN1L,1
DK1,1
DKP,1
DKRE,1
NAFC,1
WLC1,1
NASC,1
IRL3,1
MLS1,1
CAMC,1
USMX,1
POUS,1
CCL,1
E4G5,1
E3PL,1
LTVP,1
LTU2,1
