player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1468624,Sean Hamill,3463,Glenavon FC,Goalkeeper,17,Northern Ireland,40,2,2,6,35,3,211,0,0,0,0,0,0,2025,2026
527211,Kyle McClelland,1251,Cliftonville FC,Centre-Back,24,Northern Ireland,15,10,11,20,286,144,11317,2,3,15,2,31,15,2017,2026
552984,Jacob Carney,3461,Larne FC,Goalkeeper,25,England,16,10,10,22,349,96,8507,0,0,0,0,2,0,2017,2026
670278,Jordan McMullan,3463,Glenavon FC,Right-Back,23,Northern Ireland,2,6,4,7,175,92,6789,6,3,0,0,7,0,2020,2026
605191,Paddy Burns,3463,Glenavon FC,Left-Back,25,Northern Ireland,3,10,5,13,172,99,7811,4,4,1,1,5,6,2017,2026
188539,John Mountney,3463,Glenavon FC,Right-Back,33,Ireland,32,17,5,15,678,418,25193,34,26,21,2,28,0,2010,2026
564681,Aaron Wightman,1251,Cliftonville FC,Right-Back,22,Northern Ireland,2,7,3,10,244,78,4421,1,4,0,0,5,8,2020,2026
862223,Harry Murphy,3463,Glenavon FC,Centre-Back,22,Northern Ireland,4,7,3,10,230,71,5205,2,0,0,0,9,0,2020,2026
676811,Luke Cartwright,3463,Glenavon FC,Centre-Back,25,Northern Ireland,5,8,2,8,244,127,10005,1,1,0,0,13,0,2018,2026
897208,Oran O'Kane,3463,Glenavon FC,Left-Back,22,Northern Ireland,14,7,4,9,175,84,6648,8,5,0,0,14,0,2020,2026
1345959,James Heaney,3463,Glenavon FC,Left-Back,18,Northern Ireland,33,3,1,6,66,1,45,0,0,0,0,0,0,2024,2026
549567,Barney McKeown,21515,Dungannon Swifts FC,Centre-Back,25,Northern Ireland,5,11,5,11,343,218,16462,8,5,2,0,27,5,2015,2026
225254,Niall Quinn,3463,Glenavon FC,Left-Back,32,Northern Ireland,31,17,2,14,629,403,29840,27,58,1,1,18,0,2009,2026
1255608,Charlie McShane,3463,Glenavon FC,Centre-Back,19,Northern Ireland,44,2,2,7,34,2,28,0,0,0,0,0,0,2025,2026
888690,Isaac Baird,3471,Linfield FC,Central Midfield,22,Northern Ireland,26,7,3,8,185,115,8242,7,3,0,0,15,0,2020,2026
564670,Charlie Lindsay,9026,Glentoran FC,Attacking Midfield,22,Northern Ireland,21,7,6,17,206,128,7048,23,10,7,3,4,19,2019,2026
1305714,Ben Wilson,3463,Glenavon FC,Right Midfield,17,Northern Ireland,20,3,1,8,83,26,1623,2,2,0,0,5,4,2024,2026
264347,Kris Lowe,21515,Dungannon Swifts FC,Right Midfield,30,Northern Ireland,15,15,3,11,550,360,27481,12,14,0,0,24,1,2012,2026
1095026,Josh Kee,3461,Larne FC,Attacking Midfield,22,Northern Ireland,17,5,3,10,152,109,7409,13,5,0,0,3,0,2022,2026
1324348,Harry Gough,3463,Glenavon FC,Central Midfield,17,Northern Ireland,0,2,1,5,21,6,335,1,0,0,0,0,5,2024,2025
1109299,Gavin Gilmore,3463,Glenavon FC,Left Midfield,23,Ireland,23,5,4,5,92,35,1529,2,2,0,0,2,0,2020,2025
1057388,Corey Smith,21515,Dungannon Swifts FC,Left Winger,21,Northern Ireland,37,5,4,13,189,89,3782,2,8,2,0,6,8,2022,2026
683468,Jack Malone,9026,Glentoran FC,Attacking Midfield,26,Northern Ireland,29,10,3,13,290,208,14489,24,9,1,0,36,1,2017,2026
551361,Peter Campbell,3463,Glenavon FC,Left Winger,28,Northern Ireland,10,10,2,9,354,279,22566,72,73,0,0,51,0,2017,2026
428930,Nathaniel Ferris,9026,Glentoran FC,Centre-Forward,27,Northern Ireland,14,12,5,11,386,245,14452,79,16,0,0,30,0,2015,2026
1104105,Sean Carlin,15250,Limavady United FC,Central Midfield,21,Northern Ireland,0,5,4,9,143,106,6994,1,1,0,0,9,0,2022,2026
1295574,Luke McGerrigan,3463,Glenavon FC,Attacking Midfield,17,Northern Ireland,36,3,1,7,54,22,802,4,1,0,0,2,1,2024,2026
1130621,Paul McGovern,3463,Glenavon FC,Right Winger,18,Northern Ireland,29,5,3,10,155,103,5409,17,5,2,0,8,16,2022,2026
324493,Stephen Mallon,3463,Glenavon FC,Left Winger,27,Ireland,11,13,8,19,316,134,6334,10,6,13,8,7,15,2013,2026
701047,Conor Falls,5594,Portadown FC,Centre-Forward,22,Northern Ireland,9,9,7,15,138,56,2644,8,2,1,1,2,12,2018,2026
1160454,Mikey Harkin,3461,Larne FC,Left Winger,17,Northern Ireland,0,2,3,7,49,11,444,0,1,0,0,1,0,2022,2025
974626,Lorcan Donnelly,9026,Glentoran FC,Goalkeeper,20,Northern Ireland,33,6,6,13,130,58,5070,0,0,0,0,1,5,2021,2026
1057815,Jude Johnson,9026,Glentoran FC,Left Winger,19,Northern Ireland,45,4,4,13,98,23,1223,3,0,0,0,0,1,2022,2026
362326,Michael O'Connor,3463,Glenavon FC,Centre-Forward,27,Ireland,0,11,11,24,476,291,16845,66,29,0,0,64,9,2014,2025
981903,Bridel Bosakani,3463,Glenavon FC,Centre-Forward,21,Ireland,0,4,4,9,147,39,1490,9,0,2,0,2,0,2022,2025
923509,Ryan McKay,21532,Crusaders FC,Left-Back,21,Northern Ireland,22,6,4,12,234,99,7576,3,1,0,0,5,0,2021,2026
1449956,Rocco Devlin,21515,Dungannon Swifts FC,Right Winger,16,Northern Ireland,22,1,1,3,9,1,18,0,0,0,0,1,0,2025,2025
121337,Patrick McEleney,15244,Ballymena United FC,Attacking Midfield,33,Ireland,10,18,5,20,735,517,36596,70,77,61,21,41,3,2008,2025
89423,Davy McDaid,3463,Glenavon FC,Centre-Forward,35,Northern Ireland,0,20,11,21,747,564,37724,180,46,1,0,55,2,2006,2025
