competition_id,n_players_with_match
NLP,709
NL1,699
FS,510
NL2,473
NLJB,423
PONL,325
EL,310
PON2,250
NLVB,236
U19Q,220
NLAJ,218
U21Q,210
NLJV,202
19YL,191
CL,191
U17Q,187
NLBJ,186
ELQ,183
211F,161
ECLQ,156
181F,152
CLQ,149
211S,147
181S,132
212F,131
NLBE,128
UCOL,128
212S,125
PLIC,122
NLSC,119
NLBP,113
NLAE,95
NLBV,94
182S,93
21EU,88
182F,87
17EU,83
AA17,81
NTD,80
NLBA,74
WMQ6,72
FIWC,71
DFB,71
FAC,69
NLBB,66
EMQ,64
19EU,63
L1,61
CGB,59
CCB,57
NLAP,56
BE1,56
NLEV,49
UNLA,48
GB1,46
FRC,45
17WC,44
GB21,43
SU20,43
EURO,42
GB2,41
PRTD,40
FR1,38
CIT,38
L2,37
BE2,34
GBFL,33
CDR,32
IT1,31
510,29
511,28
DFBJ,27
DK1,27
ES1,27
UNFI,27
POWM,26
EJPL,26
NOPO,26
FAYC,25
NO1,25
WMQ3,24
WMQ1,24
POBE,23
DKP,23
TRP,22
WMQ2,21
20WC,21
AFCQ,20
TR1,20
TDV,20
DKRE,20
SEC,20
UNLB,20
AFCN,19
GB18,19
POEM,19
FR2,19
PO1,19
GOCU,18
DKAR,18
CNLA,17
21PL,17
SE1,17
RLW3,16
DKRQ,16
DKDL,16
AJ2,15
A1,15
GB3,15
UNPO,15
L3,15
POPO,15
ofb,14
CHAN,14
CNNF,14
ES2,14
BESC,14
PL1,14
FRL,14
BE2E,14
IT2,14
MLS1,14
BK19,14
JEMP,14
NO2,14
POPU,13
GCQU,12
CITP,12
AJ1,12
BJ2,12
23AF,12
POCP,12
OLYM,12
GR1,12
FRYC,12
FIYO,11
UNLC,11
POCC,11
DKMR,11
BJ1,11
AJ,11
AFAC,11
JAPC,11
GRP,11
CN2B,11
F19A,11
KLUB,10
BEL3,10
RLN3,10
DFL,10
BE2A,10
IJ1,10
SE2,10
FR3,10
SC1,9
SCP,9
E21P,9
ISR1,9
L1PO,9
AJ3,9
RLSW,9
MLSP,9
A23Q,9
JAP1,9
ARCP,9
DK2,9
SFA,8
C20Q,8
ISRF,8
ISPO,8
BJ3,8
NO31,8
AFCL,8
KR1,8
KRC,8
JAP2,8
CO17,8
POGR,8
GBCS,8
IS1,8
ES3C,7
CNLB,7
NDDA,7
PO2,7
FRCH,7
DKPL,7
CN2A,7
CN2C,7
TSP,7
TS1,7
S21S,7
JUSÖ,7
A920,7
EAFC,7
RUP,7
RU1,7
COPA,7
SUC,7
POUS,7
USMX,7
NO42,7
GB4,6
TR2,6
BU1,6
BULP,6
ESJP,6
RTIP,6
NO32,6
BJ,6
L2PO,6
RLB3,6
FRR1,6
A2,6
SCI,6
AFSE,6
ISL,6
ISP,6
SAKC,5
FIL,5
FI1,5
UEFA,5
AUS1,5
FFAC,5
AUSF,5
PT23,5
NO46,5
