competition_id,n_players_with_match
NO1,521
NOPO,507
FS,335
NO2,290
ECLQ,235
ELQ,206
RTIP,172
U19Q,162
NO31,156
CLQ,152
NO42,145
U17Q,138
NO45,130
NO32,130
U21Q,128
EL,124
NO44,121
NO43,116
NO46,103
NO41,99
UCOL,76
DKP,70
DKRE,60
19EU,60
SEC,58
19YL,56
DK1,56
SE1,48
CL,43
DK2,40
WMQ6,39
DKDL,37
EMQ,36
DKAR,36
DKMR,34
NO2R,34
21EU,33
SU20,30
20WC,30
DKRQ,30
UNLB,29
POEM,28
NLP,28
SE2,27
NL1,25
17EU,24
DKPL,22
DK2P,22
DFB,21
BE1,21
NL2,20
FAC,19
L2,17
GB2,17
CCB,17
CGB,16
GB21,15
NOSC,15
TR1,14
DK2R,14
UNLC,14
ISP,13
IS1,13
L1,13
ISL,13
GBFL,13
MLS1,13
FIWC,12
N3P1,11
DKDD,11
TRP,11
PLIC,10
GB1,10
DK3O,10
PONL,10
PL1,9
SC1,9
IS2,9
SE3N,9
DK3V,9
PON2,9
N3P2,8
TDV,8
SFA,8
IJ1,8
21PL,8
POBE,8
IT1,8
CIT,8
DKRL,8
FRC,8
WMQ2,8
POUS,8
SCP,7
RLW3,7
IS1P,7
JUNO,7
S21S,7
FR1,7
RESE,7
PO2,6
TS1,6
POWM,6
POPO,6
SE3S,6
JUSÖ,6
DFBJ,6
CITP,6
GRP,6
IT2,6
A1,6
GR1,6
FR2,6
DKDA,6
POPU,6
MLSP,6
SER1,6
SERP,6
RESU,6
POCP,5
SCPM,5
20AC,5
C1,5
UNPO,5
EJPL,5
GB18,5
UNLA,5
FAYC,5
L3,5
WMQ1,5
GB3,5
NLJB,5
ofb,5
S21N,5
TRS,5
RU1,5
RUP,5
SCC,5
ZYP1,5
CPO1,5
ZYPM,5
CAN,5
CAFC,5
FI1,4
PO1,4
EURO,4
BE2,4
17WC,4
212S,4
NLBE,4
NLJV,4
POGR,4
BU1,4
BULP,4
CHAN,4
AFCQ,4
CDR,4
USMX,4
E21P,4
ACL,4
FIS,3
FIL,3
PT23,3
KR1,3
