player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1420734,Peter Sunday,4309,Hamarkameratene,Left-Back,19,Nigeria,36,2,2,3,37,10,682,0,0,0,0,2,0,2024,2025
595594,Casper Øyvann,1293,Tromsø IL,Centre-Back,26,Norway,25,10,8,12,318,160,11881,0,6,33,5,9,0,2017,2026
564621,Santeri Väänänen,195,Rosenborg BK,Defensive Midfield,24,Finland,6,10,6,25,465,237,14721,11,5,43,10,39,46,2017,2026
592163,Oliver Petersen,687,Molde FK,Goalkeeper,24,Norway,0,8,7,15,378,74,6343,0,0,0,0,6,7,2017,2024
1264058,Blerton Isufi,4309,Hamarkameratene,Attacking Midfield,20,Kosovo,29,3,5,5,89,43,1954,11,3,8,4,1,0,2023,2025
1007815,Isak Holmen,195,Rosenborg BK,Defensive Midfield,19,Norway,0,6,3,10,229,101,7743,1,0,0,0,15,37,2021,2026
954792,Jesper Gregersen,10217,Sarpsborg 08 FF,Central Midfield,21,Norway,0,6,7,8,225,127,7861,10,3,2,0,19,3,2020,2025
960572,Stian Sjøvold,76,Vålerenga Fotball Elite,Defensive Midfield,20,Norway,0,5,4,11,257,113,5917,3,7,2,0,15,27,2021,2025
106437,Magnar Ødegaard,10217,Sarpsborg 08 FF,Centre-Back,33,Norway,5,18,6,18,705,444,35048,11,13,44,10,42,31,2008,2025
1237702,Angelos Chaminta,353,Lillestrøm SK,Attack,19,Greece,0,4,5,9,115,61,3801,23,2,0,0,6,2,2022,2025
1059440,Mustapha Isah,21101,Kristiansund BK,Centre-Forward,21,Nigeria,7,5,6,11,173,106,6308,27,6,56,24,9,0,2022,2026
239044,Ulrik Yttergård Jenssen,353,Lillestrøm SK,Left-Back,30,Norway,23,16,9,18,519,396,30956,18,13,65,22,65,50,2011,2026
898099,Omar Jebali,267,IK Start,Centre-Back,26,Tunisia,5,6,6,13,166,92,6979,4,2,34,11,9,0,2020,2025
944141,Alexander Gurendal,267,IK Start,Left Winger,21,Norway,7,5,3,6,105,53,2102,3,4,0,0,3,14,2021,2025
633870,Ilir Kukleci,4309,Hamarkameratene,Centre-Back,27,Norway,15,10,5,10,261,114,8403,6,0,6,2,14,0,2016,2025
911737,Magnus Holte,195,Rosenborg BK,Centre-Forward,20,Norway,0,6,5,12,217,115,5665,29,2,11,5,3,15,2020,2025
542762,Anders Klynge,501,FK Bodø/Glimt,Central Midfield,25,Denmark,22,11,7,19,354,277,18194,19,42,95,26,23,0,2015,2026
746604,Isak Helstad Amundsen,3837,Fredrikstad FK,Centre-Back,26,Norway,38,8,6,10,316,176,11487,9,3,33,6,21,0,2018,2025
890617,Tobias Guddal,1293,Tromsø IL,Centre-Back,24,Norway,21,7,5,12,196,141,10596,2,5,29,6,20,4,2020,2026
542877,Kasper Høgh,501,FK Bodø/Glimt,Centre-Forward,25,Denmark,9,11,12,23,447,268,16898,127,28,277,123,29,12,2016,2026
1317350,Igor Gosik,687,Molde FK,Centre-Forward,18,Norway,44,4,4,8,104,43,2813,20,0,0,0,3,10,2023,2026
675219,Erik Ansok Frøysa,5619,Aalesunds FK,Right-Back,25,Norway,0,8,6,7,252,130,10368,5,6,9,3,15,0,2018,2025
1310998,Mame Alassane Niang,4309,Hamarkameratene,Centre-Forward,20,Senegal,29,4,4,6,66,52,2748,15,1,20,9,1,0,2023,2026
464493,Teodor Berg Haltvik,23184,KFUM-Kameratene Oslo,Left Winger,26,Norway,17,10,8,10,291,198,10738,36,22,62,19,13,0,2016,2026
1007807,Joachim Prent-Eckbo,23184,KFUM-Kameratene Oslo,Centre-Back,19,Norway,26,6,7,12,259,103,7703,1,0,0,0,25,31,2021,2026
610440,Valdemar Lund,687,Molde FK,Centre-Back,23,Denmark,0,9,8,20,347,183,12431,10,6,31,6,35,25,2018,2026
914949,Niklas Ødegård,687,Molde FK,Central Midfield,22,Norway,0,6,6,17,301,180,9796,45,8,75,22,22,27,2020,2025
923535,Jens Hjertø-Dahl,1293,Tromsø IL,Central Midfield,20,Norway,6,7,2,8,223,164,11353,28,13,123,48,10,25,2020,2026
