competition_id,n_players_with_match
PL1,838
POPU,724
FS,553
PL2,379
ELQ,360
ECLQ,355
U21Q,263
U19Q,260
CLQ,244
PL2L,230
UCOL,216
PLZJ,215
PLSC,209
U17Q,206
SU20,166
BAPO,154
EL,152
PL31,146
PL33,128
19YL,123
PL34,114
WMQ6,105
21EU,97
EMQ,87
PL32,86
CL,74
17EU,67
CDR,66
BAPL,61
ES2,55
CIT,54
UNLA,53
IT1,53
POPO,52
DFB,47
EURO,47
PO1,46
19EU,45
FRC,45
IT2,44
PLIC,42
17WC,41
FIWC,41
BE1,41
POWM,40
ES1,40
PO2,38
UNLC,37
CCB,37
POCP,36
KR1,34
L2,34
PLJF,34
GR1,34
NL1,33
NLP,33
L1,33
FAC,33
TR1,33
TRP,33
KRC,32
SE1,31
SEC,31
PLJZ,31
CGB,31
C1,30
GRP,30
POEM,30
TS1,29
SLO1,29
PLJW,29
ES2P,29
ZYP1,28
CPO1,28
FR1,28
SL1,27
DKP,27
SCC,27
FR2,27
UNLB,27
SKC,26
DK1,26
GB1,25
CITP,25
ofb,25
GB21,25
A1,24
POBE,24
GB2,23
IJ1,22
PT23,22
WMQ2,22
TSP,21
UNG1,21
FRL,21
DFBJ,21
TDV,21
UNPO,21
SLAR,20
SLP,20
MLS1,20
DKRE,19
ES3C,19
POSB,19
MLSP,19
AFCQ,19
20WC,18
ES1P,18
NOPO,18
NO1,18
SER1,17
SERP,17
RO1,17
ZYPM,17
POGR,17
BE2,16
BOS1,16
KR2,16
TS2,16
UNGP,16
E3G2,16
ROMP,16
ES3D,16
ES3A,16
21PL,16
BU1,16
RU1,15
RUP,15
SLMR,15
BA2L,15
A2,15
BULP,15
USMX,15
GBFL,15
T1MR,15
GR20,15
SK2,14
BIHP,14
CH18,14
DKAR,14
ITJE,14
AJ3,14
PL3Z,14
POUS,14
FR4A,14
UKRP,13
SR1C,13
S1PO,13
FAYC,13
PL3W,13
TR2,13
HRSC,13
AFCN,13
FRYC,13
UKR1,12
SWEP,12
DK2,12
SE2,12
JGD3,12
E3FA,12
E3PL,12
E3G1,12
RLB3,12
RLSW,12
CHUC,12
C2,12
NO2,12
CHAN,12
NL2,12
