player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
727119,Szymon Weirauch,4000,Lechia Gdansk,Goalkeeper,22,Poland,1,8,5,8,380,129,11515,0,0,0,0,5,1,2019,2026
1459287,Michał Kaczorowski,4000,Lechia Gdansk,Goalkeeper,18,Poland,44,2,2,4,41,5,450,0,0,0,0,0,0,2025,2026
1063079,Kacper Gutowski,30974,Wieczysta Krakow,Goalkeeper,19,Poland,31,5,4,6,147,21,1887,0,0,0,0,4,0,2022,2026
617009,Alex Paulsen,4000,Lechia Gdansk,Goalkeeper,23,New Zealand,18,10,7,22,302,156,13935,0,0,0,0,6,23,2017,2026
177276,Bogdan Sarnavskyi,4000,Lechia Gdansk,Goalkeeper,31,Ukraine,29,16,13,25,566,234,20425,0,0,0,0,7,57,2010,2025
468916,Alvis Jaunzems,4000,Lechia Gdansk,Right-Back,26,Latvia,16,12,4,17,384,309,22150,17,35,92,19,16,59,2015,2026
489865,Matus Vojtko,30974,Wieczysta Krakow,Left-Back,25,Slovakia,27,11,6,18,424,248,18125,9,15,81,23,32,31,2016,2026
875035,Tomasz Wójtowicz,4000,Lechia Gdansk,Right-Back,22,Poland,33,7,2,9,242,172,11991,11,16,43,9,14,9,2020,2026
724843,Bujar Pllana,4000,Lechia Gdansk,Centre-Back,24,Albania,4,9,6,13,252,162,12566,9,6,59,16,32,9,2018,2026
726014,Maksym Dyachuk,4000,Lechia Gdansk,Centre-Back,22,Ukraine,15,7,5,14,182,104,8022,4,3,18,3,23,9,2019,2026
673067,Elias Olsson,30974,Wieczysta Krakow,Centre-Back,22,Sweden,5,9,8,18,262,144,10073,4,2,14,3,16,14,2018,2026
398802,Miłosz Kałahur,4000,Lechia Gdansk,Left-Back,26,Poland,23,11,5,5,380,225,17618,5,7,5,0,35,0,2015,2025
697437,Bartłomiej Kłudka,168,Zaglebie Lubin,Right-Back,23,Poland,0,7,4,8,308,198,13286,13,12,46,8,28,12,2019,2025
316445,Matej Rodin,4000,Lechia Gdansk,Centre-Back,30,Croatia,80,13,12,18,442,276,22984,17,6,100,30,55,0,2013,2025
1061721,Indrit Mavraj,4000,Lechia Gdansk,Centre-Back,20,Kosovo,76,5,7,15,142,75,5533,1,1,0,0,13,6,2022,2026
799819,Tomasz Neugebauer,4000,Lechia Gdansk,Attacking Midfield,22,Poland,99,7,3,9,240,179,10394,16,12,56,14,25,14,2020,2026
417229,Ivan Zhelizko,4000,Lechia Gdansk,Defensive Midfield,25,Ukraine,5,10,4,16,316,209,16159,20,20,141,50,55,32,2017,2026
618404,Bartosz Brzęk,4000,Lechia Gdansk,Right-Back,20,Poland,0,7,4,9,192,79,5888,1,6,0,0,10,0,2018,2026
623331,Bogdan Viunnyk,255,Legia Warszawa,Attacking Midfield,24,Ukraine,27,10,8,18,281,166,8516,22,17,118,42,16,46,2017,2026
251676,Rifet Kapic,4000,Lechia Gdansk,Attacking Midfield,30,Bosnia-Herzegovina,10,14,11,22,436,315,23610,49,40,58,20,44,0,2012,2026
1184740,Karl Wendt,4000,Lechia Gdansk,Attacking Midfield,20,Sweden,0,5,3,5,112,59,2647,6,0,5,3,5,0,2022,2026
1295951,Bartosz Szczepankiewicz,4000,Lechia Gdansk,Defensive Midfield,19,Poland,0,3,3,6,77,43,3050,3,1,0,0,7,0,2024,2026
510103,Tomas Bobcek,4000,Lechia Gdansk,Centre-Forward,24,Slovakia,89,11,4,18,321,197,12126,58,21,286,110,28,24,2016,2026
717390,Anton Tsarenko,4000,Lechia Gdansk,Attacking Midfield,21,Ukraine,17,7,4,15,190,95,4540,10,9,29,11,4,22,2019,2026
653596,Camilo Mena,6110,Korona Kielce,Right Winger,23,Colombia,30,10,6,13,291,194,13987,35,49,118,49,28,0,2017,2026
699585,Kacper Sezonienko,4000,Lechia Gdansk,Left Winger,23,Poland,79,8,4,11,264,199,9449,29,25,68,23,27,6,2019,2026
