competition_id,n_players_with_match
PO1,911
POPO,722
FS,569
POCP,474
PO2,396
PT23,281
EL,255
CL,243
19YL,229
ECLQ,214
U19Q,208
ELQ,201
U21Q,195
U17Q,174
PTPR,154
PLIC,142
PT3A,141
CLQ,141
BRC,139
CDR,137
BRA1,129
POSU,123
P23C,122
SU20,117
ES1,112
P23Q,110
CLI,103
AA17,102
UCOL,101
SPjr,98
ES2,97
CS,95
17EU,90
KLUB,87
FRC,85
P3Au,82
CB20,82
BRA2,81
21EU,77
P3As,74
CGB,73
FAC,71
FR1,70
PTRL,69
19EU,69
FIWC,68
WMQ6,65
17WC,61
GB1,56
BCP1,56
EMQ,56
C20P,55
CPSA,52
P232,51
GB2,50
20WC,50
E3G2,49
WMQ2,48
DFB,48
GB21,47
CIT,47
FR2,46
IT1,45
ES2P,44
E3G1,44
AFCQ,44
P23F,42
NLP,42
GR1,41
GBFL,40
BCPF,40
P23A,39
CPSB,39
CPSC,39
UNLA,39
NL1,38
L1,38
TR1,38
GRP,37
BRA3,37
BRCM,37
FRYC,37
BRNE,36
BRA4,36
CPSP,35
BRCG,35
C1,33
21PL,32
PL1,32
AFCN,32
P2RL,32
TRP,32
EURO,32
POLL,31
CPSD,31
SCC,31
POWM,31
2SAM,29
BE1,28
CCB,28
POPU,28
POGR,27
UNFI,27
FRL,26
NL2,26
BRPR,26
FAYC,25
BRNF,25
CLIY,24
BRRS,24
SCBR,24
ES3C,24
ES1P,24
BRCF,23
L2,22
FR3,22
RECO,22
GB18,21
SAM7,21
E3PL,21
ES3A,20
KR1,20
BRGO,20
FIYO,20
DKP,20
COPA,20
KRC,19
CHAN,19
BRSC,19
E3FD,19
E3PP,19
SER1,19
SUC,18
RS2f,18
F19A,18
UNLB,18
L3,17
BRCR,17
OLCF,17
OLYM,17
SA1,17
CITP,17
SAKC,17
DFBJ,17
UNPO,17
E21P,16
PON2,16
SERP,16
IT2,16
DK1,16
WMQ4,16
MLS1,16
E3FA,15
GB3,15
F19B,15
FRCH,15
BRVE,15
ZYP1,15
20AC,15
BE2,15
TDV,15
DKRE,15
POEM,15
SR1C,15
COPO,14
FR5I,14
ES3B,14
ROMP,14
TR2,14
NLJB,14
CPO1,14
USMX,14
IJ1,14
BRCB,13
RO1,13
FR4C,13
FRR1,13
URU1,13
URUC,13
URUI,13
FR5H,13
MEXA,13
E4G4,13
E4G5,13
A1,13
FR4B,13
GR20,13
POBE,13
COL1,12
BRPE,12
SEC,12
PONL,12
F19F,12
ofb,12
FR4D,12
F17M,12
