player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
539807,Christian Marques,7179,CD Tondela,Centre-Back,23,Portugal,4,9,9,24,343,207,17376,6,4,28,7,20,29,2017,2025
568154,Lucas Cañizares,7179,CD Tondela,Goalkeeper,23,Spain,30,9,6,17,312,53,4780,0,0,0,0,4,3,2017,2025
719646,Bernardo,1075,SC Braga,Goalkeeper,23,Brazil,0,7,5,18,248,158,14198,0,1,2,1,13,0,2019,2025
375770,Gabriel Souza,7179,CD Tondela,Goalkeeper,29,Brazil,1,10,6,8,342,94,8287,0,0,0,0,6,0,2016,2025
989929,Brayan Medina,7179,CD Tondela,Centre-Back,24,Colombia,20,5,4,13,219,110,8979,5,1,28,8,34,1,2021,2025
592498,Tiago Manso,7179,CD Tondela,Right-Back,26,Portugal,48,8,5,8,208,182,13425,7,12,96,26,52,0,2018,2025
461903,João Silva,7179,CD Tondela,Centre-Back,27,Portugal,44,9,7,19,332,198,16298,8,2,38,14,31,1,2017,2025
426213,Rodrigo Conceição,7179,CD Tondela,Right-Back,26,Portugal,27,11,8,19,354,225,13049,12,15,68,31,27,34,2015,2025
805835,Rémy Vita,7179,CD Tondela,Left-Back,25,Comoros,21,8,9,21,319,174,12131,7,1,75,14,10,8,2018,2025
700789,Nor Maviram,7179,CD Tondela,Left-Back,25,Nigeria,60,6,4,11,208,122,7644,5,7,40,9,19,0,2020,2025
1194211,Diego Tavares,7179,CD Tondela,Centre-Back,21,Portugal,0,3,2,7,93,16,1177,0,0,0,0,4,0,2023,2025
1074496,Juanse Rodríguez,7179,CD Tondela,Defensive Midfield,20,Ecuador,32,4,2,14,120,62,4223,1,3,18,2,6,23,2022,2025
211107,João Afonso,7179,CD Tondela,Centre-Back,35,Portugal,5,16,8,9,490,337,27231,12,16,68,23,48,0,2009,2025
670683,Hugo Félix,7179,CD Tondela,Attacking Midfield,22,Portugal,79,8,5,20,308,195,11195,33,40,164,51,19,45,2018,2025
