competition_id,n_players_with_match
PR1A,469
PR1C,451
CS,362
CLI,317
FS,162
ARCA,119
AR1N,94
PR1P,86
PAR2,72
2SAM,70
CDLP,69
WMQ4,56
CLIY,49
ARG2,49
ARG1,46
COPA,43
CLPI,40
SAM7,39
ARGC,38
17WC,37
MEX1,34
BRC,34
CDCA,33
MEXA,33
20WC,33
OLCF,31
BRA1,30
ARY3,30
ARLC,27
CLPF,26
BRA2,22
URUI,22
URUC,22
URU1,22
SAM2,21
A2TP,20
CH1C,19
M20C,19
POMX,19
MLS1,19
CA16,18
USMX,18
CCL,18
CLPD,17
SCAG,17
MLSP,16
TDCS,15
MXCC,15
POME,15
CDCO,15
URU2,14
URP1,14
CPP1,14
A1P1,14
MXCA,14
ECUP,14
CPP2,13
POUS,13
OLYM,12
TDV,12
FIWC,12
EL1A,12
EC1N,12
COL1,12
COLP,12
BO1A,12
TDeA,11
URU3,11
BRCG,11
TDeC,11
M20A,11
COPO,11
URUP,10
BCP1,10
MEX2,9
MXBC,9
CB20,9
EL1S,9
EL,8
ELQ,8
ARG3,8
RU1,8
RUP,8
BRCF,8
BRNE,8
KLUB,8
RECO,8
SA15,8
GR1,8
GRP,8
PO2,8
URSC,7
C20P,7
PO1,7
POPO,7
CLQ,7
AR2T,7
CPMX,7
ALPS,7
BO1C,7
CL2B,7
MXBA,6
MEXB,6
MARG,6
POCP,6
SCIN,6
COSP,6
BCPF,6
BRPR,6
BO12,6
SPjr,5
BRNF,5
ECLQ,5
CL,5
A1P2,5
SC14,5
COLO,5
COLF,5
B1AP,5
CSUC,5
AJSC,5
USL,4
C1,4
USSP,4
LPPL,4
CHLA,4
BRCM,4
BRVE,4
ECPE,4
AR3B,4
CL2P,4
MXBF,3
COBI,3
BRPA,3
CIT,3
CITP,3
IT1,3
VZ1L,3
URE2,3
CHIÜ,3
BRCB,3
BRCR,3
SCC,3
19YL,3
M2L1,3
ECSC,3
S1PO,3
FAC,3
CHL1,3
CDR,3
URUE,3
CAMC,3
MXSC,3
ECSE,3
AUS1,3
SURU,3
C1P1,3
BVC1,3
UR2T,3
EC2L,3
GU1A,3
GU1C,3
VEC1,3
VZOC,3
VZ1C,3
BRRS,2
BRC2,2
NLP,2
NL1,2
FIC1,2
CHPR,2
POAR,2
L1,2
DFB,2
TR1,2
POGR,2
USC,2
GB1,2
BRCE,2
BCE1,2
ES2,2
ES1,2
GRS2,2
B1P1,2
ECP3,2
POWM,2
FFAC,2
CGB,2
AUSF,2
CONC,2
AR3P,2
UKR1,2
UKRP,2
MNP3,2
WMQ1,2
CLLC,2
AR3D,2
AR3C,2
CRPD,2
A3RP,2
LCLC,2
CHPL,2
GUPA,2
VZ1A,2
CNNF,1
CNLA,1
GOCU,1
PNF1,1
PN1C,1
IRP5,1
IRN1,1
RS2f,1
BRMS,1
ITJE,1
ITJ2,1
IT2,1
UR2S,1
USLC,1
ISR1,1
ISPO,1
IJ1,1
ISRA,1
BRSC,1
BRPE,1
DKRE,1
DKP,1
DK1,1
DKRQ,1
DKMR,1
JAP2,1
WFVP,1
RLSW,1
L2,1
OBLB,1
21EU,1
M21C,1
M2L2,1
TRP,1
SCBR,1
UCOL,1
CHC3,1
POSU,1
ES1P,1
ES3B,1
PN1A,1
ECP1,1
ECPL,1
FR1,1
FRC,1
brti,1
NZPO,1
TRIN,1
GBR,1
NZL1,1
FAYC,1
NZLP,1
GBQ1,1
OFCP,1
OFCN,1
GB21,1
OC24,1
WMQ5,1
OF19,1
OCL,1
GB2,1
IT4H,1
CAN,1
CBII,1
UKRS,1
UKRM,1
PLIC,1
NLBB,1
NLBP,1
FARQ,1
ARCP,1
ALPL,1
RUSS,1
KRC,1
KR1,1
USLP,1
GBRN,1
RS,1
CMER,1
GBCS,1
UEQ,1
WEPO,1
UI,1
LPO,1
UEFA,1
UALC,1
UAE1,1
UAEP,1
ACLE,1
CR19,1
VPO1,1
VIE1,1
InkF,1
PTDI,1
BRMA,1
CRPO,1
IT4D,1
IT4,1
AZ1,1
ASPK,1
AR3F,1
BRSE,1
AR3R,1
ALBP,1
ALB1,1
BE1,1
CCB,1
RUSR,1
PDV1,1
HOCP,1
HO1A,1
GUPC,1
HOAP,1
COLE,1
HOC1,1
CCAC,1
CO22,1
ZYPA,1
CPO1,1
LETP,1
1CY2,1
LET1,1
CYP2,1
ZYP1,1
MNPP,1
RUJL,1
RU2,1
BRRD,1
PERE,1
S2PO,1
S2PA,1
ES3C,1
IJ2A,1
QSL,1
MEXP,1
PT23,1
CHLP,1
CHDP,1
BRGO,1
BRA3,1
AFCL,1
MALC,1
MAL2,1
ITJ1,1
SER2,1
AR3A,1
PVRR,1
SL1C,1
ELC1,1
SLP2,1
AND1,1
US3P,1
USC3,1
IN1L,1
